"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-26";"820.115";"849.64508";"783.28687";"872.93085";"156751.30358916";"188.45321767";"194";"831.77833484"
"ACMFT";"2022-04-26";"24.18355";"24.15773";"21.6";"28.5";"9888.38609839";"395.20353157";"96";"25.02099629"
"ADA";"2022-04-26";"4.3846";"4.21396999";"4.11015";"4.39989";"293826.10808641";"69240.67028358";"1078";"4.243548"
"ADS";"2022-04-26";"25.53";"22.46";"20.89999999";"25.55";"89872.43861258";"3828.37278093";"664";"23.47536244"
"AGIX";"2022-04-26";"0.60989";"0.56365";"0.54005";"0.6898";"31066.53387490";"52459.79770254";"362";"0.59219698"
"ALCX";"2022-04-26";"340.08512";"354.90264";"335";"374.6296";"6764.67490498";"19.41260390";"83";"348.46818797"
"ALGO";"2022-04-26";"3.42514";"3.39999";"3.26025";"3.54098";"53681.02112985";"15709.13900555";"772";"3.41718417"
"ALICE";"2022-04-26";"31.18747";"29.4913";"28.40973";"32.04749";"10117.27828585";"335.81392575";"49";"30.12763173"
"ALLFT";"2022-04-26";"1.73745";"1.69";"1.65001";"1.8";"3937.68881076";"2276.47920578";"28";"1.72972755"
"ALPHA";"2022-04-26";"2.4";"1.719";"1.6";"2.4864";"114148.71532677";"65116.17415996";"605";"1.75300095"
"AMFT";"2022-04-26";"4.70999";"4.57786";"4.4";"4.70999";"3873.04093029";"879.16595848";"21";"4.40535816"
"AMP";"2022-04-26";"0.1055";"0.10628";"0.10305";"0.10889";"40880.16433236";"387502.54311447";"239";"0.1054965"
"ANKR";"2022-04-26";"0.3567";"0.348";"0.33615";"0.36";"71052.46314990";"202241.84169084";"227";"0.35132424"
"ANT";"2022-04-26";"20.45";"20.39999999";"17.90039";"21.39999";"5800.17245515";"296.37548034";"61";"19.57035193"
"APE";"2022-04-26";"91.89507";"91.05979";"85.60015";"95";"1193088.22712720";"13279.37088867";"2114";"89.84523718"
"ARGFT";"2022-04-26";"5.17176";"5.09995";"5.01";"5.17176";"3698.21613744";"731.86413349";"12";"5.05314575"
