"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-13";"790.37395";"849.99998";"767.036";"850";"141711.46701182";"175.50251469";"173";"807.46117662"
"ACMFT";"2022-04-13";"28.6961";"28.9986";"27.5551";"28.999";"10872.82955502";"377.03212589";"34";"28.83793928"
"ADA";"2022-04-13";"4.49";"4.63";"4.43";"4.68996";"242982.67067140";"53247.40519639";"779";"4.56327721"
"AGIX";"2022-04-13";"0.65";"0.71346";"0.63";"0.76543";"100286.71851506";"147220.21766588";"396";"0.68120208"
"ALCX";"2022-04-13";"375.98207";"389";"360";"389";"13521.05348678";"36.19399563";"46";"373.57172789"
"ALGO";"2022-04-13";"3.48999";"3.55005";"3.36";"3.6";"117297.95650599";"33512.16930939";"428";"3.50016005"
"ALICE";"2022-04-13";"29.76038";"30.79966";"29.63451";"32.24998999";"10946.21940840";"362.77372514";"29";"30.17368307"
"ALLFT";"2022-04-13";"1.96958";"1.99";"1.71811";"1.99985";"2690.38327921";"1413.28311956";"30";"1.9036407"
"AMFT";"2022-04-13";"4.86104999";"5.20864";"4.86";"5.20864";"805.16436584";"160.68306755";"19";"5.01088495"
"AMP";"2022-04-13";"0.11205";"0.11005";"0.102";"0.11229";"28403.01846512";"258805.34573939";"178";"0.10974664"
"ANKR";"2022-04-13";"0.36667";"0.36972";"0.35803";"0.37428";"69442.98772049";"188480.92555807";"204";"0.36843509"
"ANT";"2022-04-13";"21.08999";"20.85991";"20.1";"23.5";"10859.30563925";"521.72320097";"63";"20.81430463"
"APE";"2022-04-13";"55.97999999";"62.40823";"53";"63.16995";"1227719.13062434";"20776.10448395";"1444";"59.09284541"
"ARGFT";"2022-04-13";"5.66987";"5.98872";"5.2";"5.98872";"25047.67417741";"4422.20794181";"39";"5.66406521"
"ASRFT";"2022-04-13";"18.6338";"18.66397";"17.6802";"18.93978999";"1131.73415834";"63.69119797";"14";"17.76908261"
"ATMFT";"2022-04-13";"28.9";"26.75005";"26";"29.4409";"75157.14681229";"2752.82664576";"111";"27.30180882"
"ATOM";"2022-04-13";"119.39";"119.47999";"114.00005";"121.97602";"37494.53665110";"318.28016936";"217";"117.80355881"
"AUDIO";"2022-04-13";"5.33999";"5.3889";"4.75";"5.3889";"57992.01181528";"11208.95283368";"103";"5.17372253"
"AVAX";"2022-04-13";"368.9499";"378.59769";"360";"393";"135917.04966150";"362.53156249";"540";"374.91094217"
"AXS";"2022-04-13";"225.24401";"233.5";"220.503";"233.609";"124468.35606748";"549.67045362";"258";"226.44178024"
"BADGER";"2022-04-13";"45.29993";"43.85";"40.33005";"55";"44807.97932527";"970.41414497";"114";"46.17407893"
"BAL";"2022-04-13";"73.99999";"73.59965";"70.25895";"74.49244";"4044.69051690";"55.99121137";"17";"72.23795338"
"BAND";"2022-04-13";"17.73999999";"18.49074999";"17.59556";"18.55183";"1015.70434585";"55.81999527";"15";"18.19606649"
"BARFT";"2022-04-13";"42.59999";"42.49";"38.75005";"42.59999";"6296.56838813";"153.86429797";"30";"40.92286821"
"BAT";"2022-04-13";"3.38486";"3.54982";"3.37409";"3.54982";"21962.92448221";"6378.85480511";"26";"3.44308267"
"BCH";"2022-04-13";"1435.11";"1637.66001";"1433.29001";"1654.07999";"356068.08770749";"224.93904243";"750";"1582.95369208"
"BLZ";"2022-04-13";"0.7801";"0.7711";"0.7151";"0.89";"48188.70554358";"61047.81389935";"198";"0.78936005"
"BNT";"2022-04-13";"11.28513";"11.02753";"10.42";"11.28513";"2751.89921611";"254.29487661";"31";"10.82168564"
"BTC";"2022-04-13";"189093.18229254";"195570.98";"186065";"195999.99";"9369238.69732082";"48.85356141";"5372";"191782.10199846"
"CAIFT";"2022-04-13";"2.80995";"2.99";"2.75051";"3.02";"1613.61039165";"566.18285932";"22";"2.849981"
"CHZ";"2022-04-13";"1.06561001";"1.17131999";"1.06373";"1.19855";"1052439.65082314";"919733.24933398";"1083";"1.14428792"
