"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-29";"830.44565";"1080";"829.43168";"1080";"866078.55609752";"868.62233054";"847";"997.07148394"
"ACMFT";"2022-03-29";"30.21715";"32.40001";"29.89005";"36.99995";"30286.83709505";"912.84494844";"132";"33.17851202"
"ADA";"2022-03-29";"5.74";"5.63999999";"5.5638";"5.9";"860936.06776434";"149249.26417301";"1653";"5.7684443"
"ALCX";"2022-03-29";"597.69998999";"569.43999";"533.17999999";"598.47022";"42202.91172874";"74.71011635";"87";"564.88885027"
"ALGO";"2022-03-29";"4.43769";"4.36989";"4.23";"4.7";"103732.64500949";"23450.28554954";"640";"4.42351308"
"ALICE";"2022-03-29";"36.0419";"35.29999999";"35.29999999";"37.68969";"23161.89218167";"639.53915348";"51";"36.21653507"
"ALLFT";"2022-03-29";"2.25999";"2.33912";"2.24051";"2.59225";"9035.58065957";"3830.56294532";"38";"2.35881273"
"AMFT";"2022-03-29";"5.84";"6.43999";"5.65022";"7.4898";"48567.31738035";"7657.51087098";"146";"6.34244184"
"AMP";"2022-03-29";"0.13046";"0.13183";"0.128";"0.13319";"37217.71463036";"285524.75497992";"273";"0.13034846"
"ANKR";"2022-03-29";"0.41457";"0.40699";"0.40278";"0.42989";"264727.07309156";"635698.31837771";"263";"0.41643506"
"ANT";"2022-03-29";"26.89999";"26.48484";"24.80048";"26.89999";"16358.94345469";"630.63135651";"66";"25.94058047"
"APE";"2022-03-29";"72.88";"66.97";"64.87";"74";"936874.41965347";"13575.51632916";"1955";"69.01206531"
"ARGFT";"2022-03-29";"6.76322";"7.06";"6.67";"7.2";"22356.30279676";"3212.69930012";"72";"6.95872869"
"ASRFT";"2022-03-29";"18.50005";"18.32505";"18.25350999";"19.64";"60260.66156636";"3159.70071725";"108";"19.07163587"
"ATMFT";"2022-03-29";"34.03873";"36.97981";"33.42014";"38.54994";"111883.39454638";"3134.27662384";"179";"35.69671984"
"ATOM";"2022-03-29";"143.67003";"141.10015";"141.1";"149.22";"110276.05628717";"756.54069696";"250";"145.76354812"
"AUDIO";"2022-03-29";"5.01999999";"5.24";"4.65";"5.65";"57435.72661855";"10914.66445212";"169";"5.26225307"
"AVAX";"2022-03-29";"448.46127";"437.98997";"430.0079";"457";"298576.85768754";"670.19620713";"702";"445.50663598"
"AXS";"2022-03-29";"323.90794";"303.72920999";"296.68903999";"335.65994999";"848386.51800991";"2720.60107638";"951";"311.83789691"
"BAL";"2022-03-29";"69.27";"69.31731";"63.80001";"72.79947";"26466.13376371";"374.38094383";"30";"70.69305796"
"BAND";"2022-03-29";"22.04899";"21.44389";"21.11305";"22.97952";"1507.46788483";"68.08113700";"15";"22.14222545"
"BARFT";"2022-03-29";"42.69";"44.9";"40.60304";"45";"33857.50403328";"786.66819826";"88";"43.03911624"
"BAT";"2022-03-29";"4.27227";"4.13874";"4.13874";"4.4";"65178.78917324";"15148.24087550";"62";"4.30272991"
"BCH";"2022-03-29";"1782.68952";"1754.11007";"1746.18999";"1829.99999";"160455.28968230";"89.58730820";"495";"1791.04934511"
"BLZ";"2022-03-29";"0.92072";"0.9055";"0.9054";"1";"46954.33121554";"48891.78398642";"290";"0.96037263"
"BNT";"2022-03-29";"12.06975";"13.37495";"12.06975";"13.4632";"1622.21172158";"123.79445864";"23";"13.10407379"
"BTC";"2022-03-29";"227197.81770001";"226361.84081831";"223765.43999999";"229779.38491999";"8821818.83524960";"38.86768652";"5796";"226970.51523018"
"CAIFT";"2022-03-29";"3.22001";"3.54";"3.20491";"3.5877";"13243.70764343";"3793.46933300";"66";"3.49118616"
"CHZ";"2022-03-29";"1.26777999";"1.47";"1.25454";"1.5";"3786897.02884796";"2670576.96920843";"2742";"1.41800707"
"CITYFT";"2022-03-29";"71.39";"77";"71.39";"77.5";"187876.70069894";"2501.58682273";"201";"75.10301021"
"COMP";"2022-03-29";"603.52";"682.56699";"603.52";"721.22744";"81354.61153420";"118.84359988";"138";"684.55189523"
"CRV";"2022-03-29";"12.66738";"13.08222";"12.66738";"13.7217";"168669.18977164";"12725.91409809";"218";"13.25399405"
"CTSI";"2022-03-29";"2.03659";"2.01423";"1.95";"2.09988";"17655.59823676";"8851.45595082";"91";"1.9946547"
"CVX";"2022-03-29";"148.99999";"141.28905";"135.02001";"151.85253";"57107.97925916";"396.83839347";"117";"143.90739454"
"DAI";"2022-03-29";"4.7975";"4.78514";"4.75135";"4.79973";"23869.42354031";"4998.08113810";"56";"4.77571749"
"DOGE";"2022-03-29";"0.69525999";"0.67906";"0.67";"0.72";"244186.98718295";"352775.64173973";"1232";"0.69218777"
"DOT";"2022-03-29";"107.62051";"106.84697999";"104";"110";"201482.54597090";"1883.53508701";"519";"106.97042351"
"DYDX";"2022-03-29";"28.06993";"26.52622";"26.00005";"29.18994";"38414.76844639";"1395.85037973";"77";"27.52069204"
"ENJ";"2022-03-29";"8.40118999";"8.14506999";"8.05078001";"8.64";"42805.12601529";"5148.49165900";"132";"8.31411"
"ENS";"2022-03-29";"96.49999";"97";"89.86824";"103.9";"35983.30859287";"371.83752148";"145";"96.77159112"
"ETH";"2022-03-29";"16196.89649";"16115.44019001";"16009.9999";"16609.06998999";"5558793.36158141";"341.31102648";"3468";"16286.59178963"
"FET";"2022-03-29";"2.16811";"2.1715";"2.12202";"2.36985";"32015.01569469";"14080.78066956";"79";"2.27366766"
"FIL";"2022-03-29";"125.07";"126";"120";"175";"788401.77535466";"6002.62655434";"968";"131.34279939"
"GALA";"2022-03-29";"1.28295";"1.27";"1.235";"1.33995";"346690.18768545";"268286.54012326";"539";"1.29223846"
"GALFT";"2022-03-29";"16.23";"17.61011";"16.23";"22";"94466.59455065";"5053.08341162";"109";"18.69484171"
"GALOFT";"2022-03-29";"3.05989";"3.2298";"2.99649";"3.5";"80842.69883560";"24780.02141143";"190";"3.2624144"
"GNO";"2022-03-29";"2343.95998999";"2264.99998999";"2111.11009";"2605.11499999";"114924.99319561";"48.12097282";"206";"2388.25165953"
"GODS";"2022-03-29";"7.10648";"7.01";"7";"7.56";"27030.66299925";"3728.48192639";"81";"7.24977713"
"GRT";"2022-03-29";"2.13";"2.21575";"2.13";"2.35578999";"87049.51375901";"37992.82470308";"174";"2.29120931"
"ICP";"2022-03-29";"103.27955";"104.19834";"100.46121001";"110.99995";"94169.12298463";"892.56946150";"245";"105.50341127"
"ILV";"2022-03-29";"3029.08395";"3064";"2955";"3173.99989";"49940.01476358";"16.16731061";"142";"3088.9500405"
"IMX";"2022-03-29";"13";"12.72571";"10.62012";"13.52989";"43833.77872067";"3502.39311261";"159";"12.51537943"
"INTERFT";"2022-03-29";"28.99005";"29.58372";"28.99005";"30.9499";"12863.85398701";"431.54570648";"22";"29.80878686"
"JUVFT";"2022-03-29";"30.9961";"32.949";"30.05";"33.05598";"29139.55808093";"905.09452984";"55";"32.19504385"
"KEEP";"2022-03-29";"2.9279";"3.01949";"2.9101";"3.14";"64764.18189365";"21666.51609367";"167";"2.98913686"
"KNC";"2022-03-29";"16.6961";"16.95277";"16.23622";"17.98995";"91849.92791935";"5437.39911421";"90";"16.89225418"
"KP3R";"2022-03-29";"2520.00011";"2394.03938";"2337.69999999";"2636.87467";"27445.21231271";"11.14103405";"88";"2463.43491901"
"LDO";"2022-03-29";"16.60011";"17.08928999";"15.9";"19.98";"53825.14702084";"3134.38441480";"199";"17.17247787"
"LINK";"2022-03-29";"81.36055";"80.8769";"79.5";"83.61499";"152663.40865728";"1874.14816969";"269";"81.45749152"
"LPT";"2022-03-29";"142.96999";"142.61098999";"135.71068";"144.12089";"6584.73386566";"47.18467612";"29";"139.55238028"
"LQTY";"2022-03-29";"12.4400999";"14.6";"12.44";"18.5";"87269.19299632";"6129.18660465";"365";"14.23829924"
"LRC";"2022-03-29";"5.50832";"5.99";"5.50832";"7";"154386.17093972";"25211.48019954";"318";"6.12364564"
"LTC";"2022-03-29";"620.57093";"609.95";"606.33214";"629.019";"362262.96145367";"586.32985296";"565";"617.84839988"
"MANA";"2022-03-29";"13.06813";"12.67647";"12.5";"13.27823";"222373.11919841";"17247.46141112";"460";"12.89309272"
"MATIC";"2022-03-29";"8.04866001";"7.93534999";"7.88";"8.28416";"113397.47425502";"14075.96404900";"200";"8.05610712"
"MBCCSH01";"2022-03-29";"100";"100";"100";"100";"200.00000000";"2.00000000";"3";"100"
"MBPRK01";"2022-03-29";"147.69";"139.97";"125";"147.69";"18575.47505822";"143.19679919";"36";"129.71990409"
"MBPRK02";"2022-03-29";"135";"135";"135";"135";"149.99999985";"1.11111111";"1";"135"
"MBPRK03";"2022-03-29";"106.01";"106.01";"106.01";"106.01";"367.54417339";"3.46707078";"2";"106.01"
"MBPRK04";"2022-03-29";"147.85";"150.8864";"115";"150.8864";"22357.73882070";"162.02787097";"58";"137.98699376"
"MBPRK05";"2022-03-29";"100";"107.9399";"100";"107.95";"5989.40658525";"55.56704148";"10";"107.78703392"
"MBPRK06";"2022-03-29";"100";"100";"100";"100";"275.00000000";"2.75000000";"3";"100"
"MBSANTOS01";"2022-03-29";"50";"50";"50";"50";"473.65000000";"9.47300000";"7";"50"
"MBVASCO01";"2022-03-29";"24.02";"25.66";"24.0105";"25.67";"5794.82581749";"228.71815882";"20";"25.33609857"
"MC";"2022-03-29";"12.60028";"13.4424";"12.60028";"13.79994";"14820.93540840";"1119.23285831";"49";"13.24204815"
"MCO2";"2022-03-29";"52";"51.49847";"51";"52.11727999";"65851.90404460";"1280.15612922";"129";"51.44052552"
"MENGOFT";"2022-03-29";"4.12172";"4.12169999";"4.09";"4.44";"106394.80908771";"25485.31251236";"275";"4.17475002"
"MIR";"2022-03-29";"8.21983";"8.66611999";"8.0203";"8.9679";"89171.91364633";"10214.29672861";"171";"8.730108"
"MKR";"2022-03-29";"10020.29999999";"10000.20027999";"10000.20027999";"10371.69987";"13358.02238868";"1.30404565";"20";"10243.52359803"
"NAVIFT";"2022-03-29";"3.49001";"4.26999999";"3.49001";"4.44665999";"10966.51304715";"2648.45725510";"66";"4.1407174"
"NFTOKN01";"2022-03-29";"100";"100";"100";"100";"867.29250600";"8.67292506";"7";"100"
"OCEAN";"2022-03-29";"2.94979";"2.8656";"2.8101";"3.19";"37097.75338209";"12375.31244643";"149";"2.99772256"
"OGFT";"2022-03-29";"19.35182";"19.86";"19.22005";"20.0679";"49286.17805931";"2487.75615747";"60";"19.81149877"
"OGN";"2022-03-29";"2.9";"3.40999";"2.67";"3.42";"94169.99342537";"30834.27970953";"227";"3.05406821"
"OMG";"2022-03-29";"26.33932";"26.61";"20.1";"28.422";"63504.39802169";"2318.45016985";"103";"27.39088329"
"OPUL";"2022-03-29";"3.51085";"3.78307";"3.36001";"4.1092";"43691.27556906";"11204.42518699";"264";"3.89946604"
"OXT";"2022-03-29";"1.33864";"1.32";"1.3004";"1.42";"5219.23755686";"3858.76662667";"82";"1.35256626"
"PAXG";"2022-03-29";"9230.53998999";"9213.42";"9053.46179999";"9370";"69560.28885844";"7.58751658";"233";"9167.72808665"
"PERP";"2022-03-29";"22.96001";"23.31842";"20.9502";"24.8";"39108.56124165";"1693.77667263";"126";"23.08956184"
"PFLFT";"2022-03-29";"2.92999";"3.03115";"2.74021";"3.26";"24336.27480490";"8197.59232379";"79";"2.96871006"
"PLA";"2022-03-29";"5.4022";"5.05783999";"5.05783999";"5.5";"18308.42921473";"3481.51089392";"69";"5.2587597"
"POLS";"2022-03-29";"7.5099";"7.28363";"7.02";"7.76985";"27141.98040823";"3726.53618809";"64";"7.283434"
"PORFT";"2022-03-29";"4.88992999";"4.59";"4.09999999";"5.68";"73918.64919026";"15497.62171564";"231";"4.76967695"
"PSGFT";"2022-03-29";"65.98";"65.51694999";"63.31001";"67.69985";"179056.45564738";"2717.23614404";"198";"65.8965383"
"QNT";"2022-03-29";"665.83723";"713.16";"665.83723";"720.61";"25507.05623264";"36.45083654";"60";"699.76600412"
