"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-05-04";"713.13892";"792.384";"709.27498";"799.84191";"105667.69503786";"137.84420739";"114";"766.5733442"
"ACMFT";"2022-05-04";"29.4301";"27.00015";"26.71005";"29.5";"8556.08478935";"301.00952572";"53";"28.42463131"
"ADA";"2022-05-04";"3.92080999";"4.41716";"3.86787001";"4.4612";"835685.83632702";"194916.16322498";"1602";"4.28741168"
"ADS";"2022-05-04";"22.75799";"21.25005";"19.09";"24.48";"42024.24783532";"1912.84876456";"268";"21.96945655"
"AGIX";"2022-05-04";"0.53918";"0.53011";"0.46001";"0.5899";"14259.40968039";"25988.52540646";"144";"0.54868098"
"ALCX";"2022-05-04";"303.77445";"319.25139";"303.69065";"333.09101";"8985.16684223";"27.74613997";"55";"323.8348416"
"ALGO";"2022-05-04";"3.53";"3.56409";"3.2798";"3.85734";"458147.86041984";"134221.17945762";"1182";"3.41337978"
"ALICE";"2022-05-04";"25.25659";"26.7973";"23.05963";"26.7973";"7025.68518898";"269.94821283";"37";"26.02604816"
"ALLFT";"2022-05-04";"1.53005";"1.58";"1.45";"1.58";"2179.40243089";"1432.08363225";"26";"1.52184019"
"ALPHA";"2022-05-04";"1.38922";"1.5673";"1.30926";"1.59945";"30686.91827361";"21002.04107427";"219";"1.4611398"
"AMFT";"2022-05-04";"3.61005";"3.72005";"3.39";"3.9";"1399.28103394";"398.11043731";"19";"3.5148062"
"AMP";"2022-05-04";"0.092";"0.0973";"0.09022";"0.10099";"22686.87838972";"241490.07452574";"182";"0.09394538"
"ANKR";"2022-05-04";"0.30678";"0.33339";"0.30497";"0.3343";"105716.74221993";"328446.71034177";"225";"0.32186878"
"ANT";"2022-05-04";"16.15653";"17.31028999";"16.05";"18.82999999";"5459.75318329";"317.31573481";"45";"17.20605877"
"APE";"2022-05-04";"71.53557001";"78.79182";"70.11005";"89";"2005532.51190312";"25079.72064352";"2077";"79.96630187"
"ARGFT";"2022-05-04";"4.29948";"4.13898";"3.95";"4.94";"13683.23961405";"2845.74357310";"33";"4.80831784"
"ASRFT";"2022-05-04";"15.10176";"15.44995";"13.66529";"15.47727";"2002.48825533";"138.19224154";"26";"14.49059826"
"ATMFT";"2022-05-04";"22.14997";"22.83999";"21.14999999";"22.90993";"7913.18488515";"365.70533013";"38";"21.63814479"
