"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-28";"859.97091";"810.14479";"808.13415";"873";"152081.23240043";"180.70758103";"174";"841.58745047"
"ACMFT";"2022-04-28";"34.98154";"31.75512";"29.30005";"37.4";"32942.99548834";"974.87434654";"148";"33.79204264"
"ADA";"2022-04-28";"4.18126";"4.15";"4.1354";"4.2499";"399046.54057840";"95043.92896327";"888";"4.19854844"
"ADS";"2022-04-28";"22.2";"21.59913";"20.8";"23.42";"40937.97522664";"1901.62775144";"234";"21.52785959"
"AGIX";"2022-04-28";"0.54125";"0.55426";"0.53127";"0.59";"28472.05550193";"50628.66980196";"238";"0.5623702"
"ALCX";"2022-04-28";"358.22988";"350.5";"349.60075";"372.8";"16158.87864826";"45.17194408";"57";"357.71935384"
"ALGO";"2022-04-28";"3.33985";"3.52879";"3.30011";"3.5288";"50273.50516341";"14584.98564534";"734";"3.44693552"
"ALICE";"2022-04-28";"29.99";"31.0891";"29.91641";"40.5";"47602.01158681";"1469.58902359";"101";"32.39137665"
"ALLFT";"2022-04-28";"1.71001";"1.65001";"1.65";"1.81999";"1897.51432270";"1134.19679085";"31";"1.67300272"
"ALPHA";"2022-04-28";"1.64";"1.63";"1.5105";"1.67995";"30266.24427565";"18765.69528445";"193";"1.6128496"
"AMFT";"2022-04-28";"4.35301";"4.30999999";"4.25000999";"4.68685";"773.48234137";"178.02163782";"24";"4.34487824"
"AMP";"2022-04-28";"0.10551";"0.10379";"0.10205";"0.125";"70349.38041689";"651028.73127036";"311";"0.10805879"
"ANKR";"2022-04-28";"0.34872";"0.3435";"0.3435";"0.35609";"90685.44523180";"260043.23727304";"220";"0.34873218"
"ANT";"2022-04-28";"20.2";"20.47";"18.70823";"21.34";"8315.66794455";"419.65070062";"55";"19.81568941"
"APE";"2022-04-28";"97.40935";"106.21759";"96.74453";"141";"10429911.28763299";"89984.53022413";"8260";"115.90782617"
"ARGFT";"2022-04-28";"4.91301";"4.9968";"4.91301";"5.6187";"2101.21488646";"409.42380673";"16";"5.13212678"
"ASRFT";"2022-04-28";"16.98995";"15.26";"15.26";"16.98995";"2091.44021110";"133.94649134";"31";"15.61399772"
"ATMFT";"2022-04-28";"25.5";"23.89193";"23.05";"25.86725";"13402.40154579";"565.80500637";"37";"23.68731523"
"ATOM";"2022-04-28";"107.75199";"103.59581";"100.01";"107.85102";"38942.09058229";"377.62370548";"257";"103.12406243"
"AUDIO";"2022-04-28";"5.40037001";"5.05";"4.90014";"5.61965";"25043.83732721";"4786.67355058";"138";"5.23199191"
"AVAX";"2022-04-28";"349.57472";"330";"330";"351.73196";"151546.69256816";"446.47415440";"490";"339.42993356"
"AXS";"2022-04-28";"190.99922";"185.5";"185.5";"198.13372";"396108.28286436";"2070.91086727";"321";"191.27249227"
"BADGER";"2022-04-28";"45.59796";"42";"42";"46.34652";"38928.72284989";"906.11975824";"97";"42.96200639"
"BAL";"2022-04-28";"71.83129";"70.06765";"69.7";"71.83129";"11325.81752180";"159.60469651";"19";"70.96168076"
"BAND";"2022-04-28";"16.9818";"17.53219";"16.9818";"17.7242";"15906.95681209";"908.15741515";"28";"17.51563831"
"BARFT";"2022-04-28";"31.77889";"29.34999";"27.30001";"31.77889";"16297.99744271";"569.25960050";"57";"28.63016702"
"BAT";"2022-04-28";"3.30963";"3.25413";"3.23824";"3.36438";"7700.90769850";"2343.05784216";"45";"3.28669124"
"BCH";"2022-04-28";"1517.59999";"1506.43";"1506.43";"1560";"73653.62774194";"48.11839313";"461";"1530.67513171"
"BLZ";"2022-04-28";"0.69296";"0.69028";"0.6722";"0.72402";"8604.51963873";"12431.81544279";"103";"0.69213701"
"BNT";"2022-04-28";"10.75";"10.86711";"9.00001";"11.49985";"5337.89094270";"485.80582154";"43";"10.98770477"
"BTC";"2022-04-28";"196057.00001001";"196254.60722";"195352.52368001";"201000";"11544590.45808751";"58.28461234";"5840";"198072.69868662"
"CAIFT";"2022-04-28";"2.51025";"2.55158";"2.51025";"2.78994";"4410.63134639";"1662.60820010";"14";"2.65283868"
"CHZ";"2022-04-28";"1.02652001";"0.99";"0.99";"1.0449";"357162.02575391";"351669.30595568";"630";"1.01561899"
"CITYFT";"2022-04-28";"61.5";"58.959";"55.11";"61.5";"39859.84083168";"688.61379688";"73";"57.88417399"
"COMP";"2022-04-28";"619.44799";"603.54105";"603.54105";"626.27";"10922.93873665";"17.75956787";"30";"615.04529933"
"CRV";"2022-04-28";"12.24475";"11.86873";"11.85522";"12.51051";"79448.31608124";"6444.55228767";"86";"12.32798067"
"CTSI";"2022-04-28";"1.7";"1.71";"1.6";"1.71999";"3328.86920405";"2014.27493162";"58";"1.65263894"
"CVX";"2022-04-28";"136.85";"139.98999";"132.00004999";"139.98999";"22421.16566278";"166.07206785";"78";"135.00864987"
"DAI";"2022-04-28";"4.97128";"4.96562";"4.96553";"5.0245";"19124.25101730";"3828.50846422";"33";"4.99522234"
"DOGE";"2022-04-28";"0.7045";"0.68780001";"0.67644";"0.70938";"278880.38530312";"404843.90805478";"1414";"0.68885903"
"DOT";"2022-04-28";"85.57999999";"84.99995";"70.5";"87";"106836.13295679";"1266.09625557";"404";"84.38231492"
"DYDX";"2022-04-28";"21.35527";"21.64635";"18";"22.69";"28895.44175068";"1353.28239281";"58";"21.35211534"
"ENJ";"2022-04-28";"6.47319999";"6.32";"6.32";"6.58180999";"75469.66103443";"11698.36676667";"124";"6.45129893"
"ENS";"2022-04-28";"89";"88.0001";"73.25";"101.99995";"137336.19348710";"1444.80953625";"278";"95.0548775"
"ETH";"2022-04-28";"14380.21009";"14506.75953";"14214.05";"14784.48159";"4757078.77509624";"325.71355243";"2492";"14605.09929539"
"FARM";"2022-04-28";"451.415";"436.18768";"436";"459.99995";"2811.94794535";"6.27369291";"17";"448.21255768"
"FET";"2022-04-28";"1.66993";"1.5798";"1.52425";"1.66993";"6342.93795648";"4055.70257214";"51";"1.5639554"
"FIL";"2022-04-28";"89.4412";"88";"87.44";"91.73251";"45845.85094667";"514.80814775";"145";"89.05424505"
"GALA";"2022-04-28";"0.8559";"0.83";"0.7701";"0.96";"213374.78481007";"251211.40912404";"458";"0.84938333"
"GALFT";"2022-04-28";"16.8";"15.13243";"15.05001";"17.53999";"10293.07154232";"632.17669755";"33";"16.28195341"
"GALOFT";"2022-04-28";"2.4577";"2.34";"2.34";"2.5999";"4226.72725316";"1770.02066556";"62";"2.38795361"
"GHST";"2022-04-28";"8.65";"9.43995";"8.58012";"9.49";"7021.44731620";"761.85638720";"100";"9.21623475"
"GNO";"2022-04-28";"1674.99999";"1595.00005";"1595";"1674.99999";"4481.98938563";"2.79560098";"22";"1603.22929405"
