"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-05-03";"736.14049";"710.1";"696.18256";"740.68744";"67121.92951595";"94.38863613";"119";"711.12299391"
"ACMFT";"2022-05-03";"28.72916";"26.70005";"26.7";"29.86";"9185.15237684";"337.51064200";"49";"27.21440818"
"ADA";"2022-05-03";"3.99976";"3.88774999";"3.78";"4.118693";"235955.62470410";"59644.86291966";"813";"3.95600917"
"ADS";"2022-05-03";"21.30689";"21.55005";"20.20005";"25";"59677.78590960";"2618.55531332";"310";"22.79034764"
"AGIX";"2022-05-03";"0.55101999";"0.50444999";"0.49006";"0.56769";"8962.13236439";"17356.97569404";"154";"0.51634181"
"ALCX";"2022-05-03";"330";"303.77445999";"225.25321";"331.66213";"12811.88179529";"41.81001864";"74";"306.43090369"
"ALGO";"2022-05-03";"3.44";"3.53355";"3.20057";"5.43";"860458.74478429";"241249.02349805";"2560";"3.5666828"
"ALICE";"2022-05-03";"26.85884";"26.78";"23.0568";"26.85884";"4249.16032074";"163.33430823";"42";"26.01511199"
"ALLFT";"2022-05-03";"1.59895";"1.53005";"1.53";"1.6";"1012.12836856";"641.05787744";"27";"1.57884085"
"ALPHA";"2022-05-03";"1.36023";"1.33813";"1.26015";"1.46787";"6130.19923559";"4420.36923365";"133";"1.38680705"
"AMFT";"2022-05-03";"4.14035";"3.61005";"3.61";"4.15894";"1146.29282393";"311.64156319";"27";"3.67824115"
"AMP";"2022-05-03";"0.0946";"0.09105";"0.09";"0.09492";"11282.26174699";"122763.84260094";"127";"0.09190215"
"ANKR";"2022-05-03";"0.32007999";"0.30768";"0.29981";"0.32399";"77338.48383305";"248265.87052524";"190";"0.31151476"
"ANT";"2022-05-03";"18.17999";"17.48";"16.02867";"18.20999";"5256.46544345";"306.88112932";"43";"17.12866951"
"APE";"2022-05-03";"77.06999999";"72.20699999";"68.0001";"79.89983999";"848558.42613709";"11575.88961595";"1325";"73.30394935"
"ARGFT";"2022-05-03";"4.49005";"4.43";"4.30033";"4.59999999";"2783.08683082";"613.40284328";"17";"4.53712737"
