"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-29";"808.09345";"793.82057";"759.958";"817.97095";"99928.57569892";"126.53641401";"166";"789.72188741"
"ACMFT";"2022-04-29";"31.50005";"33.88993";"29.80078";"34";"6725.50880443";"213.75540260";"77";"31.46357342"
"ADA";"2022-04-29";"4.17817";"4.0654";"3.97";"4.1951";"361360.67958589";"89358.85621522";"838";"4.04392686"
"ADS";"2022-04-29";"21.59913";"18.70005";"17";"22";"32484.42878694";"1689.71299552";"139";"19.22482035"
"AGIX";"2022-04-29";"0.55118999";"0.49005";"0.48031";"0.55367999";"36647.66579814";"69903.15479816";"198";"0.5242634"
"ALCX";"2022-04-29";"350.5";"330.00009";"325.909";"355.619";"3702.42000485";"11.04736842";"36";"335.1404483"
"ALGO";"2022-04-29";"3.5282";"3.24626";"3.13109";"3.5288";"53425.55684239";"16303.34728345";"477";"3.27696858"
"ALICE";"2022-04-29";"30.94";"29.79991";"28.91176";"33.99949999";"17838.84966046";"574.92415409";"62";"31.02817916"
"ALLFT";"2022-04-29";"1.78999";"1.78969";"1.64";"1.78999";"5011.11963448";"3048.44368576";"28";"1.64382883"
"ALPHA";"2022-04-29";"1.63";"1.53199";"1.45018";"1.71105";"23870.39711256";"15636.35922102";"170";"1.52659559"
"AMFT";"2022-04-29";"4.30999999";"4.17676";"4.0189";"4.48899";"8370.72702711";"2016.63800207";"34";"4.15083273"
"AMP";"2022-04-29";"0.10379";"0.09997";"0.0703";"0.10594";"28175.74618024";"292954.83039194";"228";"0.09617778"
"ANKR";"2022-04-29";"0.3428";"0.3308";"0.322";"0.34506";"97045.22456900";"289627.07287892";"294";"0.33506958"
"ANT";"2022-04-29";"20.47";"20.01598";"18.61";"20.47";"1894.35572872";"95.39697104";"26";"19.85760876"
"APE";"2022-04-29";"106.9999";"111.58396";"91.10004";"119.73472";"7341004.86438328";"69126.39156781";"5398";"106.19684751"
"ARGFT";"2022-04-29";"5.19106";"5.19988";"4.51";"5.49857";"5558.12156497";"1150.05959783";"24";"4.83289872"
"ASRFT";"2022-04-29";"16.73257";"16.18049";"14.76";"16.74847";"791.73199621";"52.65276288";"20";"15.03685567"
"ATMFT";"2022-04-29";"23.89";"24.99";"22.35";"24.99995";"19892.20671323";"848.11984391";"47";"23.45447622"
"ATOM";"2022-04-29";"103";"97.0002";"90.01";"108";"106505.08198615";"1062.81753786";"359";"100.21012844"
"AUDIO";"2022-04-29";"5.2111";"4.88";"4.50708";"5.34727";"30805.78622310";"6324.52066527";"125";"4.87084916"
"AVAX";"2022-04-29";"328.0003";"322.26042";"305.10027";"350";"175111.47991473";"547.01193372";"461";"320.12369222"
"AXS";"2022-04-29";"185.51683";"172.177";"166.13399999";"185.52234";"378946.24239843";"2187.29297452";"363";"173.24896427"
"BADGER";"2022-04-29";"41.5001";"38.6";"38.50015";"43.06098";"9770.56072904";"244.00455377";"61";"40.04253436"
"BAL";"2022-04-29";"69.29619";"72.99999";"67.06999999";"72.99999";"23701.09196897";"340.53360077";"30";"69.59986302"
"BAND";"2022-04-29";"16.93919";"16.05017";"16.05017";"16.93919";"1906.84941478";"117.41343602";"14";"16.24047025"
"BARFT";"2022-04-29";"29.34899";"27.99999";"25.06001";"29.34899";"1329.70726979";"48.51848550";"28";"27.40619902"
"BAT";"2022-04-29";"3.1535";"3.14476";"3.08041";"3.17494";"6000.96122150";"1910.68329290";"38";"3.14074093"
"BCH";"2022-04-29";"1508.60851";"1466.86005";"1453.57005";"1531.15954";"84250.75236551";"56.80828518";"280";"1483.07156427"
"BLZ";"2022-04-29";"0.69041";"0.66768";"0.63749";"0.7";"19574.90015545";"29021.91119264";"100";"0.67448694"
"BNT";"2022-04-29";"10.41855";"10.76995";"9.59001";"10.76995";"1213.65670462";"118.08141888";"32";"10.27813449"
"BTC";"2022-04-29";"196236.91401652";"193394.49817688";"190266.14005";"196997.51179";"7118245.12581910";"36.99004804";"4907";"192436.76348085"
"CAIFT";"2022-04-29";"2.64995";"2.7288";"2.51181";"2.85";"1683.44342229";"607.94919225";"32";"2.76905281"
"CHZ";"2022-04-29";"0.99481";"0.96027227";"0.93";"1.00867";"720480.99286053";"744546.36093771";"948";"0.96767781"
"CITYFT";"2022-04-29";"58.5187";"60.84";"55.8702";"60.9";"48920.90037062";"832.81428573";"94";"58.74166811"
"COMP";"2022-04-29";"602.37805";"577.36799";"561.50612";"602.37805";"7851.54284283";"13.73704435";"20";"571.55983796"
"CRV";"2022-04-29";"11.80852";"11.2111";"11";"11.91976";"23666.49032403";"2088.89755381";"66";"11.32965581"
"CSCONS01";"2022-04-29";"102.520143";"103";"102.52";"103";"551177.99393922";"5376.28972919";"431";"102.52014338"
"CTSI";"2022-04-29";"1.71";"1.51961";"1.41018";"1.71";"7561.33684945";"4883.44291005";"65";"1.54836188"
"CVX";"2022-04-29";"133.53713";"128.38758";"124";"138.52807";"20295.06585419";"157.16507897";"65";"129.13215828"
"DAI";"2022-04-29";"4.98257999";"5.01919";"4.94445";"5.02614";"11112.96128609";"2226.28341723";"51";"4.99171004"
"DOGE";"2022-04-29";"0.6878";"0.67875999";"0.665";"0.72";"246317.29876250";"359602.13909201";"1240";"0.68497172"
"DOT";"2022-04-29";"84.99995";"82.1005";"79";"93.4998";"134093.80448107";"1629.07818610";"415";"82.31268801"
"DYDX";"2022-04-29";"21.92377";"20.71533";"20.14098";"22.8";"5121.68901896";"234.83861164";"26";"21.80939915"
"ENJ";"2022-04-29";"6.29005001";"6.03695";"5.91601";"6.38297999";"27779.19519948";"4521.94094620";"121";"6.14320167"
"ENS";"2022-04-29";"96.03567";"80";"77.76572";"96.99311";"27765.99165307";"323.71277841";"120";"85.77354218"
"ETH";"2022-04-29";"14493.1194";"14155.39981999";"13850.00054";"14586.49981999";"3534830.84233302";"250.63867618";"2443";"14103.29361855"
"FARM";"2022-04-29";"441.02348";"414.5364";"400.00013";"443.91246";"2494.56534660";"5.77615291";"20";"431.87314904"
"FET";"2022-04-29";"1.54";"1.47";"1.47";"1.64999";"2924.71781500";"1904.12388028";"42";"1.53599135"
"FIL";"2022-04-29";"87.77541";"85.97832";"83.97261";"88.97086";"5714.09998524";"67.03886488";"59";"85.23563153"
"GALA";"2022-04-29";"0.80900001";"0.76";"0.7201";"0.84985999";"130519.29763797";"164170.04293873";"431";"0.79502505"
"GALFT";"2022-04-29";"16.0933";"15.59448";"13.33305";"18.2";"20347.62008042";"1194.68720279";"44";"17.03175528"
"GALOFT";"2022-04-29";"2.47685";"2.5205";"2.15001";"2.82";"8070.36555114";"3278.53160648";"99";"2.4615793"
"GHST";"2022-04-29";"9.41995";"9.20004999";"8.58012";"9.42995";"10825.19215114";"1188.68842787";"93";"9.10683733"
"GNO";"2022-04-29";"1595.00005";"1420";"1092.5";"1659.98784";"20142.41024458";"14.11311239";"35";"1427.21248778"
"GODS";"2022-04-29";"4.58908";"4.34999999";"3.2736";"6.46";"41551.41570079";"9448.12198212";"177";"4.39784919"
"GRT";"2022-04-29";"1.75155";"1.76716";"1.69";"1.7898";"22829.27360606";"13095.80300595";"85";"1.74325114"
"ICP";"2022-04-29";"74.65994999";"70.52883";"69.09535";"74.96014999";"12013.78598150";"170.03890557";"72";"70.65315988"
"ILV";"2022-04-29";"2515.89999";"2401.39001999";"2390";"2550";"16476.14442412";"6.53276640";"57";"2522.077695"
"IMX";"2022-04-29";"8.66933";"8.05411999";"7.52005";"8.66934";"9303.00251745";"1187.52540739";"44";"7.83393977"
"INTERFT";"2022-04-29";"30.05078";"29.99995";"29.06479";"32.55213";"3558.43564138";"118.80297907";"35";"29.95241086"
"JUVFT";"2022-04-29";"24.82934";"25.00823";"23.6006";"25.21085";"1200.11876293";"49.49378440";"14";"24.24786824"
"KEEP";"2022-04-29";"2.43999";"2.45";"2.2";"2.4668";"4315.45539379";"1806.89739784";"57";"2.38832343"
"KNC";"2022-04-29";"28.33277";"26.13351";"25.53565";"28.3329";"100809.37124483";"3783.48246961";"108";"26.64459847"
"KP3R";"2022-04-29";"1748.3001";"1707.82224";"1500.00005";"1770.02529";"7505.18583825";"4.59513206";"27";"1633.29056493"
"LDO";"2022-04-29";"16.05011";"15.99999";"13.82";"17.1";"29577.86151838";"1894.29999682";"109";"15.61413797"
"LINK";"2022-04-29";"62.33673";"60.7803";"59.52";"62.33673";"159790.92488264";"2655.31838601";"239";"60.17768932"
"LOOKS";"2022-04-29";"7.3";"7";"6.62";"7.8995";"7390.40087411";"1030.46728846";"94";"7.17189274"
"LPT";"2022-04-29";"114.39175";"119.77181";"114.39175";"127.14323";"686.30894232";"5.61730396";"14";"122.17764023"
"LQTY";"2022-04-29";"7.7109";"7.94999";"7.25001";"8.4";"1652.94887366";"218.07927987";"46";"7.57957782"
"LRC";"2022-04-29";"4.16";"3.9";"3.9";"4.28993";"52336.80740057";"13285.33198301";"57";"3.93944294"
"LTC";"2022-04-29";"513.66389";"501.92241";"492.01";"513.9797";"197935.48239273";"397.28772357";"353";"498.21696128"
"MANA";"2022-04-29";"8.86342999";"8.33034999";"8.11041";"8.90897";"178633.68942979";"21040.08322992";"375";"8.49016077"
"MATIC";"2022-04-29";"6.01695";"5.81";"5.58862";"6.1";"63040.89622402";"10877.59331130";"226";"5.79548199"
"MBCCSH02";"2022-04-29";"100";"100";"100";"100";"290.88000000";"2.90880000";"2";"100"
"MBCCSH03";"2022-04-29";"100";"100";"100";"100";"4124.44009800";"41.24440098";"6";"100"
"MBFP06";"2022-04-29";"100";"100";"100";"100";"407190.26640700";"4071.90266407";"22";"100"
"MBPRK01";"2022-04-29";"131.9899";"131.9899";"127.01";"131.99";"2246.64977931";"17.36938150";"12";"129.34541044"
"MBPRK03";"2022-04-29";"106.01";"106.01";"106.01";"106.01";"28.47164635";"0.26857510";"1";"106.01"
"MBPRK04";"2022-04-29";"115";"115";"115";"115";"1499.99999990";"13.04347826";"1";"115"
"MBPRK06";"2022-04-29";"100.14";"104.5";"100.14";"104.5";"449.71001537";"4.38873483";"4";"102.46916999"
"MBSANTOS01";"2022-04-29";"50";"50";"50";"50";"150.00000000";"3.00000000";"3";"50"
"MBVASCO01";"2022-04-29";"25.23";"24.12";"24.12";"25.23";"375.50029158";"15.35932591";"6";"24.44770648"
"MC";"2022-04-29";"9.93891";"9.30679";"8.54245";"9.99349999";"5316.90747308";"570.57225109";"23";"9.31855249"
"MCO2";"2022-04-29";"41.35300999";"40.00001";"40";"43.90999";"32837.48538666";"800.32585581";"84";"41.03014434"
"MENGOFT";"2022-04-29";"2.88131";"2.7999";"2.65";"2.929";"16410.97126755";"5924.82669333";"140";"2.76986519"
"METIS";"2022-04-29";"282.40112";"272";"270";"290";"5833.53048059";"20.73925332";"35";"281.27967726"
"MIR";"2022-04-29";"5.78";"6.11415";"5.34581";"6.23999";"11336.10381484";"1963.94448342";"81";"5.77211011"
"MKR";"2022-04-29";"8046.96";"7748.55";"7748.55";"8046.96";"11153.34757582";"1.43130827";"23";"7792.41468074"
"MPL";"2022-04-29";"267.77";"255";"232";"268.99";"3148.03298340";"12.45375219";"42";"252.77787251"
"NAVIFT";"2022-04-29";"3.18";"2.85273";"2.8";"3.18";"2411.89266595";"807.21258717";"41";"2.98792747"
"NFTOKN01";"2022-04-29";"100";"100";"100";"100";"2151.14000000";"21.51140000";"12";"100"
"OCEAN";"2022-04-29";"2.12849999";"2.3438";"2.12849999";"2.49995";"7115.35306013";"3078.95092237";"40";"2.3109667"
"OGFT";"2022-04-29";"15.55";"15.89608";"14.73433";"16.71";"6262.94825159";"403.13575900";"21";"15.53558103"
"OGN";"2022-04-29";"2.50999999";"2.44935";"2.32005";"2.57784";"7731.93648663";"3173.49334213";"41";"2.43641175"
"OMG";"2022-04-29";"20.30195";"19.63539";"19.06515";"20.48718999";"12944.63830087";"654.91987297";"27";"19.76522447"
"OPUL";"2022-04-29";"1.95";"1.95999";"1.3728";"2.02";"13698.23497403";"7469.46662087";"138";"1.83389734"
"OXT";"2022-04-29";"1.10569";"1.0501";"1.04004999";"1.10569";"7714.60287560";"7335.39380735";"26";"1.0516958"
"PAXG";"2022-04-29";"9544.97999";"9468.18036";"9000";"9630";"116888.17151429";"12.42484729";"258";"9407.61433811"
