"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-15";"594.3473";"638.72898999";"588";"646";"69175.78835209";"111.76939287";"110";"618.91530924"
"ACMFT";"2022-03-15";"23.10015";"22.958";"22.9";"24.39846";"62915.19930385";"2724.90021092";"71";"23.08899204"
"ADA";"2022-03-15";"4.07";"4.23052999";"4.03005001";"4.25995";"267828.15853048";"64909.55965496";"742";"4.12617432"
"ALCX";"2022-03-15";"506.89";"513.82998999";"469.05006";"530";"26691.19082856";"53.64052454";"87";"497.59376996"
"ALGO";"2022-03-15";"3.6";"3.71";"3.50316";"3.7499";"55819.01385133";"15271.96703701";"377";"3.65499831"
"ALICE";"2022-03-15";"28.12347";"30.54995";"28.12347";"30.54995";"24931.95279371";"838.16314114";"54";"29.74594272"
"ALLFT";"2022-03-15";"2.08363";"2.11439999";"2.08005";"2.17994999";"2273.87819999";"1081.48466943";"28";"2.10255241"
"AMFT";"2022-03-15";"7.53554";"7.52521";"6.05001";"8.14703";"8305.06853076";"1139.64806556";"97";"7.28739755"
"AMP";"2022-03-15";"0.12973";"0.12945";"0.1223";"0.12973";"18038.37202742";"143191.28455064";"136";"0.12597395"
"ANKR";"2022-03-15";"0.35913";"0.36914";"0.34464";"0.37495";"109784.53256084";"299719.72649690";"244";"0.36629064"
"ARGFT";"2022-03-15";"8.19999999";"8.12632";"7.92449";"8.5";"6667.60369241";"815.73966054";"28";"8.17369071"
"ASRFT";"2022-03-15";"17.35011";"16.7";"16.5";"18.915";"40446.16378888";"2346.35070688";"95";"17.2379021"
"ATMFT";"2022-03-15";"34.79";"35.81";"32.55001";"39.9799";"211103.35445221";"5966.43404833";"317";"35.38182987"
"ATOM";"2022-03-15";"138.78844";"143.98831999";"136.19999999";"143.99884";"93237.16333843";"668.10711088";"306";"139.55421491"
"AUDIO";"2022-03-15";"3.52006";"3.42";"3.42";"3.75";"27375.90192745";"7491.12174557";"77";"3.65444627"
"AVAX";"2022-03-15";"346.11412";"360.01288";"340";"370";"241782.44237620";"674.95535877";"790";"358.21990185"
