"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-30";"793.158";"717.02811";"700";"797.295";"136684.97729726";"185.03896945";"158";"738.68211492"
"ACMFT";"2022-04-30";"33.2";"30.15";"30.15";"35.09999";"11033.83267689";"330.58030761";"62";"33.37716259"
"ADA";"2022-04-30";"4.08908999";"3.8603";"3.7001";"4.119999";"288703.81518021";"73643.52150973";"849";"3.92028802"
"ADS";"2022-04-30";"18.70005";"18.57004999";"18.57004999";"21.37753";"25125.26712684";"1233.40809818";"173";"20.37060334"
"AGIX";"2022-04-30";"0.51335";"0.51691";"0.48035";"0.53868";"7352.03637159";"14446.82214270";"115";"0.50890336"
"ALCX";"2022-04-30";"343.9047";"325.00009";"315.12004";"349.99";"12058.38668151";"36.93844328";"41";"326.44544844"
"ALGO";"2022-04-30";"3.16706";"2.90616";"2.57117";"3.27999";"29574.66510458";"9978.74607527";"430";"2.96376567"
"ALICE";"2022-04-30";"29.66";"27.26401";"22.90778";"30.99995";"29497.62666287";"1056.08376491";"69";"27.931143"
"ALLFT";"2022-04-30";"1.78969";"1.5";"1.38005";"1.78969";"2850.79525365";"1780.77421575";"41";"1.60087406"
"ALPHA";"2022-04-30";"1.48013";"1.4199";"1.23005";"1.615";"25811.11855613";"18212.05783294";"113";"1.41725437"
"AMFT";"2022-04-30";"4.17676";"3.66";"3.37";"4.17676";"1113.58289893";"303.18582650";"24";"3.67293851"
"AMP";"2022-04-30";"0.09997";"0.09635";"0.09222";"0.1023";"28036.72442005";"287976.46802551";"161";"0.09735769"
"ANKR";"2022-04-30";"0.3308";"0.30188";"0.29018";"0.33186";"181039.01684900";"578842.45633945";"608";"0.31276043"
"ANT";"2022-04-30";"19.98508";"19.24999";"18";"20.27";"6176.34259770";"326.56764086";"49";"18.91290448"
"APE";"2022-04-30";"113.29999";"94.07332";"93.0707";"124.6";"6927373.00409874";"63749.08139988";"4730";"108.66624039"
"ARGFT";"2022-04-30";"4.95293";"4.6901";"4.51999999";"4.95293";"3918.42726025";"848.28670762";"17";"4.61922511"
"ASRFT";"2022-04-30";"16.18049";"14";"14";"16.18049";"2361.26989643";"162.30030042";"16";"14.54877095"
"ATMFT";"2022-04-30";"22.4051";"23.23";"21.50005";"24.9898";"16010.95641179";"723.89871474";"37";"22.11767487"
"ATOM";"2022-04-30";"97.0002";"88.05711";"85.35001";"100";"51787.88458151";"554.16013927";"227";"93.45292256"
"AUDIO";"2022-04-30";"4.92535";"4.32627999";"4.05";"5.07988";"26534.52841261";"6068.89692694";"102";"4.37221602"
"AVAX";"2022-04-30";"319.01562";"292.9499";"270.00012";"329.9844";"316891.73470261";"1080.54363179";"646";"293.27065134"
"AXS";"2022-04-30";"171.245";"149.63400001";"135";"173.34593";"251751.68604159";"1645.53710112";"381";"152.99058639"
"BADGER";"2022-04-30";"38.60005";"37.29184";"35";"42.4202";"25901.20866481";"684.35756300";"48";"37.84747924"
"BAL";"2022-04-30";"67.61357";"67.99999";"60.1754";"72.99999";"3561.22202416";"57.21755026";"26";"62.24002964"
"BAND";"2022-04-30";"16.77818999";"14.92629";"14.7495";"16.77818999";"3737.95032320";"246.67701836";"24";"15.15321673"
"BARFT";"2022-04-30";"27.99999";"24.15005";"24.15005";"28.8999";"49136.81048355";"1928.42709270";"64";"25.48025314"
"BAT";"2022-04-30";"3.13292";"2.88571";"2.81";"3.16581";"11921.58460635";"3984.37547383";"56";"2.99208362"
"BCH";"2022-04-30";"1466.86";"1386.48012";"1344.9501";"1490.50999";"59737.12155319";"42.65628287";"294";"1400.42960928"
"BLZ";"2022-04-30";"0.66768";"0.60489";"0.58397";"0.66769";"18193.78306364";"29455.02964804";"83";"0.61768001"
"BNT";"2022-04-30";"10.29268";"9.94861";"9.50001";"10.76995";"1845.60692686";"182.79404817";"37";"10.09664672"
"BTC";"2022-04-30";"193213.00001";"189761.64635047";"187336.49";"193535.44";"5654116.80510516";"29.71690574";"3639";"190266.00059152"
"CAIFT";"2022-04-30";"2.61343";"2.48";"2.48";"2.80999";"4024.60489564";"1608.24019915";"25";"2.50248992"
"CHZ";"2022-04-30";"0.96";"0.86375";"0.8432";"0.96601";"1190273.89744326";"1345163.89161384";"1065";"0.88485418"
"CITYFT";"2022-04-30";"60.84";"56.5";"55.87";"64.26994999";"100300.82316635";"1678.17497091";"149";"59.76779829"
"COMP";"2022-04-30";"580.23191";"516.28599";"516.22405";"580.23191999";"10152.49732404";"18.28703005";"35";"555.17474933"
"CRV";"2022-04-30";"11.2";"10.1";"9.82363";"11.2";"117322.98708392";"11019.12366208";"138";"10.64721575"
"CSCONS01";"2022-04-30";"102.52";"103";"102.52";"103";"410.50028251";"3.99137366";"3";"102.84686864"
"CTSI";"2022-04-30";"1.51";"1.3901";"1.3901";"1.53";"4751.63531614";"3263.79078877";"34";"1.45586394"
"CVX";"2022-04-30";"127.87544";"113";"113";"132.28987";"22768.26481397";"191.29693827";"85";"119.02053958"
"DAI";"2022-04-30";"5.01884999";"5.01455";"4.99641";"5.03562";"3581.86868535";"714.86426866";"42";"5.01055772"
"DOGE";"2022-04-30";"0.67802999";"0.65223999";"0.63";"0.68533";"172476.02096700";"263376.49617869";"913";"0.65486489"
"DOT";"2022-04-30";"86.45109";"78.95999999";"75.0001";"86.45109";"98829.29678554";"1234.86219690";"389";"80.03265225"
"DYDX";"2022-04-30";"20.49005";"20.18875";"16.08925";"21.87";"11663.49298778";"628.38093769";"39";"18.56118206"
"ENJ";"2022-04-30";"6.06628999";"5.28823";"5.07738";"6.06628999";"61863.15385236";"11322.14661044";"133";"5.4639068"
"ENS";"2022-04-30";"80.00515";"101.26413";"80";"116.7";"180013.15961881";"1703.24940652";"513";"105.68808004"
"ETH";"2022-04-30";"14155.39981999";"13820.80000001";"13643.9";"14221.49999999";"2213763.07283649";"159.38584185";"1766";"13889.33325031"
"FARM";"2022-04-30";"414.5364";"406.00004";"401.00013";"464.99995";"6293.38687366";"14.59261213";"34";"431.27212712"
"FET";"2022-04-30";"1.47";"1.32";"1.31";"1.62999";"3412.88145703";"2381.46992197";"41";"1.4330987"
"FIL";"2022-04-30";"85.87";"74.1998";"35.09012";"89.48981";"47451.92912822";"647.57991733";"269";"73.2757886"
"GALA";"2022-04-30";"0.76005";"0.66713999";"0.5403";"0.82699";"284507.07168226";"401780.39655282";"540";"0.70811586"
"GALFT";"2022-04-30";"15.56999";"13.48578";"12.13";"15.57378";"5407.17493749";"386.07774384";"23";"14.00540441"
"GALOFT";"2022-04-30";"2.52";"2.214";"2.214";"2.65";"10414.26465830";"4309.55874610";"95";"2.4165501"
"GHST";"2022-04-30";"9.38433";"9.10005";"9.00005";"9.5";"8295.74983967";"883.62631363";"76";"9.38830104"
"GNO";"2022-04-30";"1572.27811";"1420.00065";"1270.15";"1660";"19378.67123196";"13.09045532";"47";"1480.36647757"
"GODS";"2022-04-30";"4.35001";"3.6007";"3.42";"4.48999";"24367.30148303";"6511.55498869";"143";"3.7421632"
"GRT";"2022-04-30";"1.78008";"1.5597";"1.48";"1.78008";"32193.75350491";"20029.48364495";"121";"1.60731819"
"ICP";"2022-04-30";"70.99544";"62.59394";"52.10896";"71.38999";"30599.05958578";"488.72715513";"116";"62.60969799"
"ILV";"2022-04-30";"2405.39001999";"2519.99998999";"2358";"2540";"10141.76006559";"4.17694170";"58";"2428.03486234"
"IMX";"2022-04-30";"8.04674999";"6.86855";"6.16024";"8.33269";"10578.52462614";"1422.35766771";"83";"7.43731683"
"INTERFT";"2022-04-30";"29.9";"27.00006";"27.00006";"32.46999";"4128.71784204";"140.84325505";"30";"29.31427451"
"JUVFT";"2022-04-30";"25.00823";"24.995";"22.00005";"25.995";"4860.55200082";"197.59653398";"22";"24.59836669"
"KEEP";"2022-04-30";"2.45";"2.25844999";"2.24854999";"2.46";"3213.32611670";"1392.85517391";"32";"2.30700662"
"KNC";"2022-04-30";"26.01546";"23.14175";"22.967";"26.1";"50923.26040094";"2079.30564559";"71";"24.49051225"
"KP3R";"2022-04-30";"1565.10005";"1634.54833";"1269.00015";"1689.22753";"2312.81535343";"1.48923089";"34";"1553.02671261"
"LDO";"2022-04-30";"15.00051";"14.33";"14.33";"16.39999";"8886.04702509";"598.85780780";"51";"14.8383254"
"LINK";"2022-04-30";"60.8175";"55.83";"54.1297";"61.1001";"141116.55190749";"2504.16193304";"268";"56.35280612"
"LOOKS";"2022-04-30";"7.0001";"7.68";"6.66";"7.69";"2043.37953807";"271.95226092";"80";"7.51374351"
"LPT";"2022-04-30";"119.77181";"117.96645";"110";"121.12595";"12662.56116226";"109.73342292";"29";"115.39384105"
"LQTY";"2022-04-30";"7.94999";"6.32";"6.32";"8.29998999";"3083.35653742";"418.20875644";"54";"7.37276895"
"LRC";"2022-04-30";"3.9";"3.2636";"3.22514";"4.18999";"11169.51490789";"3105.10286327";"66";"3.59714811"
"LTC";"2022-04-30";"502.2287";"481.56699";"475";"507.89298";"178350.44264354";"363.88175098";"373";"490.13296809"
"MANA";"2022-04-30";"8.3506";"7.14743";"6.51592";"8.40665";"249858.03789982";"33431.30126894";"464";"7.47377542"
"MATIC";"2022-04-30";"5.72";"5.26448";"5.09282";"5.79868";"47794.26466009";"8736.95551992";"214";"5.47035687"
"MBCCSH02";"2022-04-30";"100";"100";"100";"100";"200.00000000";"2.00000000";"2";"100"
"MBCCSH03";"2022-04-30";"100";"100";"100";"100";"12418.21000000";"124.18210000";"9";"100"
"MBFP06";"2022-04-30";"100";"100";"100";"100";"1008.53000000";"10.08530000";"5";"100"
"MBPRK01";"2022-04-30";"131.94999999";"128";"128";"131.94999999";"221.41279918";"1.69821481";"2";"130.37973634"
"MBPRK04";"2022-04-30";"115";"115";"115";"115";"115.00000000";"1.00000000";"1";"115"
"MBPRK05";"2022-04-30";"100";"100.0001";"100";"105.8493";"1844.55813718";"17.79573617";"7";"103.65169047"
"MBPRK06";"2022-04-30";"104.5";"100.1402";"100.1402";"104.5";"893.66700489";"8.74251808";"6";"102.22077858"
"MBPRK07";"2022-04-30";"100";"100";"100";"100";"1100.00000000";"11.00000000";"2";"100"
"MBSANTOS01";"2022-04-30";"50";"50";"50";"50";"350.00000000";"7.00000000";"4";"50"
"MBVASCO01";"2022-04-30";"24.12";"24.02";"24.02";"25.18";"1157.54844233";"47.66627007";"11";"24.2844351"
