"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-20";"785.31194";"741.99701";"741.66205";"797.323";"59449.58999953";"78.33563851";"85";"758.90860316"
"ACMFT";"2022-03-20";"24.3396";"24.40019";"24.3";"25.78995";"2739.61119517";"111.29890457";"24";"24.6148981"
"ADA";"2022-03-20";"4.46397999";"4.37995998";"4.340431";"4.58";"302940.81569494";"68138.95645463";"530";"4.44592684"
"ALCX";"2022-03-20";"528.99";"500.16674";"494.00004";"582.99995";"12951.37970053";"24.20353977";"74";"535.10270909"
"ALGO";"2022-03-20";"3.89079";"3.7796";"3.71";"3.9";"40744.25265390";"10828.83576598";"304";"3.76257"
"ALICE";"2022-03-20";"33.35";"30.58425";"30.58005";"33.77324";"9448.33867505";"296.18913681";"33";"31.89967997"
"ALLFT";"2022-03-20";"2.19994999";"2.02999999";"2.02999999";"2.2";"2331.20692327";"1130.13255197";"26";"2.062773"
"AMFT";"2022-03-20";"5.65011";"5.59999";"5.22004999";"5.79993";"6689.57047784";"1212.70751248";"55";"5.51622745"
"AMP";"2022-03-20";"0.13793";"0.127";"0.127";"0.13899";"49911.15650875";"376967.59294773";"272";"0.13240171"
"ANKR";"2022-03-20";"0.3775";"0.3689";"0.3689";"0.3919";"89566.40009516";"236025.62825533";"237";"0.37947743"
"ANT";"2022-03-20";"24.35";"23.15";"23.15";"25.41145";"4799.20382122";"204.53563865";"44";"23.46390024"
"APE";"2022-03-20";"61.77679";"52.15939999";"47.8";"62.1";"1561049.42233729";"29148.92615469";"3266";"53.55426865"
"ARGFT";"2022-03-20";"7.86";"7.16";"7.16";"7.87";"37636.68011800";"5024.66121290";"109";"7.49039159"
"ASRFT";"2022-03-20";"17.45938";"16.63";"16.63";"18.09998999";"33123.67061074";"1915.63178864";"43";"17.29125127"
"ATMFT";"2022-03-20";"32.1015";"33.49980999";"31.9";"33.689";"27948.56218974";"857.98132333";"54";"32.57479088"
"ATOM";"2022-03-20";"142.21091";"140.03";"138.51014";"144.7647";"89497.34816360";"631.34486358";"167";"141.75667424"
"AUDIO";"2022-03-20";"5.898";"5.58";"5.0003";"6.4999";"152378.95827791";"26599.31157112";"476";"5.72868052"
"AVAX";"2022-03-20";"445.10061";"430.5144";"410.35013";"468.07";"332608.57474214";"760.72828449";"701";"437.22388338"
"AXS";"2022-03-20";"258.87229999";"248.37206";"247.59277001";"263.46499999";"96835.78773514";"381.25372659";"154";"253.99302611"
"BAL";"2022-03-20";"59.83515";"59.475";"58.8822";"59.87";"3034.72349145";"50.81328400";"12";"59.72303406"
"BAND";"2022-03-20";"18.95023";"17.85541";"17.85541";"18.95023";"6098.10522643";"332.78984762";"16";"18.32419249"
"BARFT";"2022-03-20";"40.79999999";"39.90005";"39.90005";"42.88989999";"15091.91736354";"365.22174861";"63";"41.32261405"
"BAT";"2022-03-20";"4.21072";"4.03334";"4.03334";"4.245";"9713.64252182";"2366.62270706";"37";"4.10443223"
"BCH";"2022-03-20";"1646.93872";"1624.35807";"1589.99999";"1675.28";"165164.43627227";"101.64275960";"327";"1624.95033509"
"BLZ";"2022-03-20";"0.78";"0.72";"0.72";"0.7889";"15392.30247923";"20991.76315194";"109";"0.73325439"
"BNT";"2022-03-20";"12.09798";"11.96449";"11.00001";"12.09798";"731.75351756";"63.79454922";"17";"11.47047085"
"BTC";"2022-03-20";"211100";"205391.31";"204802.91511146";"211746.36";"5862274.18580995";"28.13597779";"3400";"208355.09004039"
"CAIFT";"2022-03-20";"2.96";"3.02999";"2.96";"3.03";"1200.98649758";"404.21753262";"12";"2.97113905"
"CHZ";"2022-03-20";"1.0461";"1.00949998";"1.00266008";"1.05583";"644308.10953973";"629254.53511539";"618";"1.02392287"
"CITYFT";"2022-03-20";"63.7";"61.3";"60.8780499";"63.7";"53546.20601417";"859.01888825";"53";"62.33414276"
"COMP";"2022-03-20";"575.82204";"576.27799";"575.32924";"582.39999";"2649.55727245";"4.59633551";"7";"576.4499277"
"CRV";"2022-03-20";"11.29166";"10.67099999";"10.67099999";"11.29166";"104703.18573982";"9602.99189465";"105";"10.9031838"
"CSCONS01";"2022-03-20";"100";"100";"100";"100";"53100.00000000";"531.00000000";"3";"100"
"CTSI";"2022-03-20";"1.67432";"1.65603";"1.62007";"1.78";"3806.94687348";"2231.65472206";"43";"1.70588525"
"CVX";"2022-03-20";"98.99431";"93.91005";"91";"101.49953";"19914.23234658";"210.13859348";"70";"94.76713447"
"DAI";"2022-03-20";"5.03111999";"5.05";"5.03111999";"5.0593";"466.75013735";"92.63893746";"7";"5.03837965"
"DOGE";"2022-03-20";"0.61646999";"0.59490001";"0.59248";"0.61999998";"46210.02437674";"76754.09360260";"490";"0.60205289"
"DOT";"2022-03-20";"99.35617";"94.00010001";"94.0001";"99.35857998";"47467.69701257";"490.62979053";"221";"96.74850147"
"DYDX";"2022-03-20";"25.6016";"24.31";"24.10021";"27.09908";"8439.12006318";"337.55258676";"37";"25.00090473"
"ENJ";"2022-03-20";"7.41088001";"7.06511001";"7.06511001";"7.47742999";"35051.21525269";"4824.26855145";"63";"7.265602"
"ENS";"2022-03-20";"82.96859999";"80.00148";"76.1901";"84.99995";"19885.50206027";"243.96052804";"93";"81.51114534"
"ETH";"2022-03-20";"14711.60013001";"14284.70029";"14200.00014";"14803.12";"2802845.91941761";"193.77955244";"1757";"14464.09532959"
"FET";"2022-03-20";"1.71985";"1.69826";"1.62336";"1.71985";"1865.94071292";"1131.39389849";"33";"1.64924056"
"FIL";"2022-03-20";"90.10171";"91.34999";"88.55";"94.98";"18444.75354590";"201.07716032";"79";"91.7297296"
"GALA";"2022-03-20";"1.24957999";"1.15772999";"1.13235";"1.26952";"147350.32699976";"124502.25276298";"278";"1.18351534"
"GALFT";"2022-03-20";"16.36211";"15.04";"15.02";"16.39999";"4299.76018496";"280.94255781";"34";"15.30476627"
"GALOFT";"2022-03-20";"2.9701";"3.03";"2.87";"3.19999";"12614.68694511";"4220.58868488";"60";"2.98884536"
"GNO";"2022-03-20";"1572.25";"1576.71";"1570";"1750";"3472.84028718";"2.11333509";"25";"1643.29845447"
"GODS";"2022-03-20";"5.4207";"5.40817";"5.2001";"5.97";"9819.01519126";"1804.60664043";"98";"5.44108337"
"GRT";"2022-03-20";"2.04294999";"1.95383";"1.95383";"2.10236";"30524.64930312";"15152.64238894";"78";"2.01447698"
"ICP";"2022-03-20";"88.64093";"83.5724";"82.6039";"88.64093";"38587.87525596";"453.11065906";"74";"85.16214413"
"ILV";"2022-03-20";"2999.96";"2784.85242";"2739.24022";"3408.88";"22140.74537120";"7.73997465";"110";"2860.57078639"
"IMX";"2022-03-20";"10.72481";"10.9";"9.65005";"11.39681";"38516.52208772";"3788.98181578";"148";"10.16540167"
"INTERFT";"2022-03-20";"29.8";"29";"29";"29.8";"693.70612479";"23.89950722";"5";"29.02595933"
"JUVFT";"2022-03-20";"31.55005";"30.9";"30.76005";"31.55005";"7843.61151059";"252.50168948";"23";"31.06360011"
"KNC";"2022-03-20";"16.38815";"15.55";"15.55";"17.03";"18159.13093904";"1133.09170361";"34";"16.02617941"
"KP3R";"2022-03-20";"1889.39259";"1849.9999";"1735";"2090.00308";"22504.59069578";"11.27911989";"87";"1995.24350439"
"LDO";"2022-03-20";"18.74904";"17.23";"16";"18.74917";"47008.25432668";"2698.04924991";"184";"17.42305272"
"LINK";"2022-03-20";"75.00612";"72.21595";"72.21595";"75.40568";"41524.26779317";"562.24926060";"108";"73.85384153"
"LPT";"2022-03-20";"131.50560999";"137.98999";"125.13915";"139.98999";"7082.75297229";"54.11519754";"42";"130.88288122"
"LQTY";"2022-03-20";"13.83999";"13.39979";"12.64";"13.83999";"3492.34097539";"265.04768306";"44";"13.1762743"
"LRC";"2022-03-20";"4.87747";"4.19994";"4";"4.87747";"49647.67611511";"11578.29396158";"162";"4.28799582"
"LTC";"2022-03-20";"584.99";"572.92285001";"561.1417";"588.77749999";"186705.70073270";"325.47397467";"354";"573.64248838"
"MANA";"2022-03-20";"12.32";"11.89065";"11.89065";"12.46";"106631.08613073";"8793.87645937";"233";"12.12560656"
"MATIC";"2022-03-20";"7.56011001";"7.26196001";"7.26196001";"7.65788999";"40214.08745952";"5413.02126112";"121";"7.42913901"
"MBCCSH02";"2022-03-20";"100";"100";"100";"100";"111.96000000";"1.11960000";"1";"100"
"MBPRK01";"2022-03-20";"126.3204";"126.3203";"126.3203";"126.3204";"128.08886697";"1.01400000";"2";"126.32038163"
