"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-02-27";"682.5";"684.23298";"671.38928999";"748.48";"29047.36132067";"40.96292902";"78";"709.11338655"
"ACMFT";"2022-02-27";"21.6899";"21.00005";"21";"24.3";"32499.69812837";"1480.30505416";"48";"21.95473023"
"ADA";"2022-02-27";"4.50000999";"4.49874";"4.36";"4.74994999";"306077.10488038";"67162.54770537";"764";"4.5572587"
"ALCX";"2022-02-27";"622.31363";"621.90000999";"620.30001";"699.99886";"1184.20175977";"1.78188620";"18";"664.5776592"
"ALGO";"2022-02-27";"4.47976";"4.28";"4.08518";"4.48";"65231.08917060";"15331.73224057";"282";"4.25464573"
"ALICE";"2022-02-27";"35.69437";"35.48439";"34.59";"40.99";"44943.03309872";"1217.43103780";"35";"36.91628659"
"ALLFT";"2022-02-27";"2.05001";"2.20827999";"2.00999999";"2.23036";"4139.29912509";"2042.69665340";"15";"2.02638953"
"AMFT";"2022-02-27";"5.67995";"5.15";"5.00105";"5.68";"394.43441073";"72.84316758";"13";"5.4148443"
"AMP";"2022-02-27";"0.14299";"0.14115";"0.1018";"0.14963";"54700.67386887";"415353.77628126";"188";"0.13169658"
"ANKR";"2022-02-27";"0.33338";"0.32912";"0.32235";"0.3519";"79951.21938871";"238529.15068288";"195";"0.33518427"
"ARGFT";"2022-02-27";"7.88";"8.3";"7.87";"8.3";"248.25437028";"31.12411412";"12";"7.97627104"
"ASRFT";"2022-02-27";"13.89";"14.49987";"12.23707";"17.39";"24881.92831762";"1720.36657396";"86";"14.46315494"
"ATMFT";"2022-02-27";"24.01";"24.75";"23.30005";"29.38";"41959.89269284";"1529.06088838";"89";"27.44161008"
"ATOM";"2022-02-27";"147.97266";"142.3694";"135.07";"158";"194468.64250557";"1321.96401741";"571";"147.10585155"
"AUDIO";"2022-02-27";"3.96404999";"3.86224999";"3.68415001";"4.1916";"9461.45575230";"2385.96736025";"57";"3.965459"
