"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-05-17";"453.3";"465.801";"428.33805";"474.99995";"86660.60817198";"189.98314727";"162";"456.14892382"
"ACMFT";"2022-05-17";"17.99493";"22.996";"17.02408";"27.0539499";"54027.23408663";"2564.48041910";"156";"21.06751671"
"ADA";"2022-05-17";"2.86412";"2.82950001";"2.76005001";"2.98984999";"228387.15696709";"79251.58425146";"910";"2.88179926"
"ADS";"2022-05-17";"16.01";"15.8";"12";"20";"23908.05636999";"1545.57621847";"135";"15.46870098"
"AGIX";"2022-05-17";"0.32364";"0.34005";"0.3151";"0.34005";"4396.02830190";"13341.59529571";"98";"0.32949795"
"ALCX";"2022-05-17";"176.12376";"172.327";"162.79005";"176.12376";"5650.29195267";"32.99821723";"44";"171.23021868"
"ALGO";"2022-05-17";"2.41157";"2.42519999";"2.33226999";"2.54362";"48028.97010743";"19478.66513822";"740";"2.46572184"
"ALICE";"2022-05-17";"14.95";"15.94662";"14.47805";"15.94662";"8619.85017865";"560.26501823";"38";"15.38530855"
"ALLFT";"2022-05-17";"0.85001";"1.07";"0.85001";"1.0899";"634.34820103";"637.69209536";"35";"0.99475625"
"ALPHA";"2022-05-17";"0.71001";"0.7718";"0.71";"0.83995";"6668.15232416";"8267.46667207";"100";"0.80655327"
"AMFT";"2022-05-17";"2.74276";"2.70999";"2.54999999";"2.79999";"361.50118540";"135.04007890";"15";"2.67699181"
"AMP";"2022-05-17";"0.07223";"0.06397999";"0.05";"0.07295";"23692.69554016";"353054.48881141";"240";"0.06710775"
"ANKR";"2022-05-17";"0.19949";"0.20223";"0.18913";"0.20555";"78629.01922675";"397851.62391337";"265";"0.19763402"
"ANT";"2022-05-17";"8.10005";"9.35978";"8.10005";"9.36999999";"2926.55565396";"331.53849543";"67";"8.82719712"
"APE";"2022-05-17";"42.24009998";"44.49928999";"40.79999999";"46";"685814.18469915";"15737.69554915";"994";"43.57780226"
"ARGFT";"2022-05-17";"2.80001";"3.0913";"2.80001";"3.33";"2782.81500902";"903.99167366";"30";"3.07836354"
"ASRFT";"2022-05-17";"7.44265";"7.35001";"7.31905";"8.96";"7011.36593569";"862.50374728";"40";"8.1290846"
"ATMFT";"2022-05-17";"13.49999";"13.53523";"12.1255";"17";"8825.15286833";"608.00788206";"54";"14.51486589"
"ATOM";"2022-05-17";"57.9066";"57.05";"54.2";"64";"15342.62955658";"263.75520107";"216";"58.16996023"
"AUDIO";"2022-05-17";"2.25199999";"2.31765";"2.15587";"2.42957";"18947.08064580";"8268.01546922";"89";"2.29161165"
"AVAX";"2022-05-17";"170.917";"169.96784";"162.38999999";"186";"95170.05262866";"555.28181404";"518";"171.3905448"
"AXS";"2022-05-17";"109.51999";"104.45305";"101.75205001";"109.51999";"132779.63400537";"1255.24814624";"190";"105.77958979"
"BADGER";"2022-05-17";"25.98862";"27.19919";"21.66961";"27.29347";"6342.36221355";"245.28719842";"67";"25.85688227"
"BAL";"2022-05-17";"44.08295";"42.92757";"42.37433";"44.77983";"8084.83471214";"185.08381182";"25";"43.68201969"
"BAND";"2022-05-17";"8.58036";"8.90354999";"8.15787";"8.91823";"2840.01376858";"331.53664662";"24";"8.56621371"
"BARFT";"2022-05-17";"16.9399";"21.92999";"15.51432";"21.92999";"31488.81380213";"1715.43998547";"71";"18.35611508"
"BAT";"2022-05-17";"2.08185";"2.01869";"1.95";"2.1155";"3980.08248930";"1935.45170906";"46";"2.05641012"
"BCH";"2022-05-17";"1027.73993";"1026.99988";"986.897";"1065.24997";"159580.66511716";"154.90404832";"580";"1030.19041043"
"BLZ";"2022-05-17";"0.37424";"0.35091";"0.35005";"0.38995";"4870.34083728";"13150.08902457";"92";"0.37036561"
"BNT";"2022-05-17";"7.01927";"7.08";"5.91845";"8.47999";"3647.42385269";"503.43775333";"79";"7.24503442"
"BTC";"2022-05-17";"152984.99987999";"150047.45118436";"147400";"156258.86527";"7163892.05236335";"47.35641397";"5543";"151276.06699488"
"CAIFT";"2022-05-17";"2.2783";"1.98999";"1.72";"2.2783";"2893.96719928";"1522.78803782";"48";"1.90043993"
"CHZ";"2022-05-17";"0.59313998";"0.59492999";"0.56446001";"0.61483";"443724.39778538";"741963.10002637";"612";"0.59804105"
"CITYFT";"2022-05-17";"24.93839";"27.99971";"22.02445";"28.56525";"25561.43511531";"982.02965757";"105";"26.02918854"
"COMP";"2022-05-17";"359.47199";"357.45501";"344.19704";"370";"7151.00376161";"20.27331476";"23";"352.72987403"
"COTI";"2022-05-17";"0.9";"0.64999999";"0.54683";"0.9";"79369.44978834";"124074.19663377";"963";"0.63969344"
"CRV";"2022-05-17";"7.21588";"6.93835";"6.5";"7.47716";"100266.38342128";"14456.11260258";"140";"6.93591605"
"CSCONS02";"2022-05-17";"100.44";"100.44";"100.44";"100.44";"47855.87999886";"476.46236558";"7";"100.44"
"CTSI";"2022-05-17";"1.03294";"0.98284";"0.91005";"1.19988999";"8231.71292876";"8184.78586844";"50";"1.00573344"
"CVX";"2022-05-17";"57.80429";"58.80596";"52.01005";"63.99";"36358.55169145";"601.05495066";"76";"60.49122738"
"DAI";"2022-05-17";"5.07881";"4.97562";"4.94031";"5.13";"13356.88259401";"2675.16737954";"28";"4.99291472"
"DIA";"2022-05-17";"2.18";"1.95015";"1.71005";"2.21998";"5584.00596519";"2746.40759877";"152";"2.03320365"
"DOGE";"2022-05-17";"0.4552";"0.44779001";"0.4385";"0.4598";"62941.40502357";"139765.16308784";"915";"0.45033686"
"DOT";"2022-05-17";"56.79417999";"53.54389";"51.9813";"59.44978999";"77720.25126994";"1406.92245802";"346";"55.24131826"
