"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-01-30";"826.62594";"785.916";"777";"846.58899";"67077.22752046";"81.46184004";"108";"823.41900806"
"ACMFT";"2022-01-30";"21.99961";"21.9";"21.9";"23.00995";"12088.89686904";"543.34181544";"18";"22.2491561"
"ADA";"2022-01-30";"5.75365999";"5.56962999";"5.5";"5.9";"544589.54922967";"95453.96872798";"1006";"5.70525832"
"ALCX";"2022-01-30";"970.99995";"872.00013";"871.15";"993.3813";"62221.76798455";"66.97540797";"103";"929.0240981"
"ALGO";"2022-01-30";"5.21378";"5.08";"4.96005";"5.37635";"122078.70986257";"23776.27679892";"284";"5.13447546"
"ALICE";"2022-01-30";"38.11218";"35.3051";"35";"39";"26324.84090916";"707.69987147";"35";"37.19774719"
"ALLFT";"2022-01-30";"2.66";"2.461";"2.461";"2.67999";"1319.34129435";"517.15254964";"21";"2.55116463"
"AMFT";"2022-01-30";"5.50005";"5.43";"5.00000999";"5.7399";"4867.78082078";"853.55569864";"24";"5.70294455"
"AMP";"2022-01-30";"0.1637";"0.15501";"0.15484999";"0.16685";"10701.87726332";"66467.99960356";"231";"0.16100796"
"ANKR";"2022-01-30";"0.39314";"0.42";"0.3839";"0.44078";"161054.80021160";"387389.07863160";"295";"0.41574429"
"ARGFT";"2022-01-30";"10.39999";"9.69";"9.62005";"10.39999";"5972.78651201";"598.33867097";"33";"9.98228394"
"ASRFT";"2022-01-30";"16.43";"16.15005";"16.15005";"17.53859";"5045.72514759";"296.85202223";"19";"16.99744239"
"ATMFT";"2022-01-30";"28.2";"27.50587";"27.50587";"29.94999";"7588.19032571";"266.64516888";"34";"28.45800791"
"ATOM";"2022-01-30";"163.97359";"148";"145";"164.77";"250598.95836127";"1625.04002543";"491";"154.21094523"
"AUDIO";"2022-01-30";"5.13993999";"4.67015001";"4.67";"5.15";"34156.01167271";"6825.26034278";"91";"5.00435294"
"AVAX";"2022-01-30";"381.62771";"355.01999";"351.11183906";"395";"386034.13418506";"1021.37706668";"712";"377.95457405"
