"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-01-28";"809.07102";"809.98099";"770";"823.043";"64123.27307548";"80.47200410";"138";"796.83951944"
"ACMFT";"2022-01-28";"22";"21.6999";"20.77005";"22";"3679.56585885";"169.63471736";"7";"21.69111321"
"ADA";"2022-01-28";"5.67183";"5.66045001";"5.51001";"5.92";"668270.41605086";"118398.98322174";"1043";"5.64422428"
"ALCX";"2022-01-28";"800";"921";"768.90004";"1098";"144438.92542031";"160.80190506";"347";"898.24138194"
"ALGO";"2022-01-28";"5.16";"5.16066";"4.88999999";"5.39";"73493.50336821";"14238.78087064";"398";"5.16150252"
"ALICE";"2022-01-28";"36.50929";"38";"35.01";"39.43985";"14288.97722473";"392.23917223";"54";"36.42924581"
"ALLFT";"2022-01-28";"2.69899";"2.43";"2.3998";"2.69899";"5779.77323642";"2379.09806016";"37";"2.4293968"
"AMFT";"2022-01-28";"5.11125999";"5.1106";"5.1106";"5.39999";"2178.66212236";"418.84528412";"26";"5.20159162"
"AMP";"2022-01-28";"0.16";"0.16149";"0.13";"0.17";"48714.43845507";"314518.69115965";"835";"0.15488567"
"ANKR";"2022-01-28";"0.4";"0.39";"0.37388";"0.4";"68878.49815679";"180109.79701037";"154";"0.38242505"
"ARGFT";"2022-01-28";"12.31322";"10.1";"9.05";"14.8";"125962.62601739";"11156.29582820";"248";"11.29072121"
"ASRFT";"2022-01-28";"16.78999";"16.49994999";"9.9";"16.78999";"16587.37442194";"1217.56749628";"91";"13.62337157"
"ATMFT";"2022-01-28";"28.4208";"27.69";"27.06346";"29.99999";"24061.82748923";"853.34523032";"59";"28.19706097"
"ATOM";"2022-01-28";"167.84999";"158.09305";"147.7040499";"172";"306251.90259624";"1896.92012758";"576";"161.44691499"
"AUDIO";"2022-01-28";"4.51495";"4.94999999";"4.51495";"4.98";"30831.12558994";"6352.36790619";"66";"4.8534855"
"AVAX";"2022-01-28";"347.77925";"363.00858";"336.7778";"385";"189964.31554761";"527.90737862";"502";"359.84402423"
"AXS";"2022-01-28";"256.39042999";"250.441";"245.01007";"262.99";"191331.70125923";"759.41947616";"343";"251.94468573"
"BAL";"2022-01-28";"64.24439";"64.5665";"61.85238";"65.0825";"6157.45753850";"96.67015468";"24";"63.69553828"
"BAND";"2022-01-28";"18.62";"18.77809";"18.18665";"19.01245";"8170.95646929";"435.73425901";"17";"18.75215524"
"BARFT";"2022-01-28";"30.55015";"33.49949";"30.55015";"33.54999";"1517.33048899";"47.49599696";"13";"31.94649204"
"BAT";"2022-01-28";"4.67";"4.8";"4.5045";"4.8";"25997.16737066";"5566.73240153";"58";"4.67009468"
"BCH";"2022-01-28";"1576.10905";"1591.81";"1552.43983";"1619.75956";"87875.02045168";"55.44400114";"249";"1584.93288083"
"BNT";"2022-01-28";"12.99946";"13";"12.09163";"13";"7184.54923488";"561.15777135";"34";"12.80308248"
"BTC";"2022-01-28";"201123.62599";"203014.55985";"197105.30422";"205777.77";"8862549.78741535";"44.07238662";"4771";"201090.7615199"
"CAIFT";"2022-01-28";"3.06001";"3.39979";"3.06";"3.39979";"1817.48810634";"582.66706853";"9";"3.11925661"
"CHZ";"2022-01-28";"0.96893";"0.97615999";"0.94031";"0.98446";"1167445.11638521";"1217028.70907743";"678";"0.95925848"
"CITYFT";"2022-01-28";"48.98087";"51.94995";"45.06";"52";"22560.60876713";"453.96612293";"54";"49.69667917"
"COMP";"2022-01-28";"672.93997";"666.7793";"647.92909";"674.49699999";"13027.24584571";"19.56443975";"31";"665.86347537"
"CRV";"2022-01-28";"15.5798";"15.72795";"15.01139";"15.98";"48322.92430388";"3091.99239889";"91";"15.62840979"
"CTSI";"2022-01-28";"2.5499";"2.56";"2.32019999";"2.76";"45629.84425073";"17823.10937485";"198";"2.5601506"
