"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-18";"766.17255";"825";"748.41809";"825";"191631.19063153";"241.98143276";"336";"791.92518387"
"ACMFT";"2022-03-18";"23.87";"24.159";"22.9509";"24.7389792";"9086.00364982";"374.30625063";"44";"24.27425038"
"ADA";"2022-03-18";"4.18015";"4.29661";"4.102";"4.4";"625907.00222532";"146579.03809582";"927";"4.27009898"
"ALCX";"2022-03-18";"468.02224";"493.26397";"468.02";"495.9197";"6901.58151168";"14.57516179";"28";"473.51663131"
"ALGO";"2022-03-18";"3.68909";"3.87187";"3.51128";"3.9255";"40893.63932076";"10799.99576902";"387";"3.78644956"
"ALICE";"2022-03-18";"31.10958";"32";"29.54325";"32";"2174.75721061";"69.82536137";"28";"31.14566352"
"ALLFT";"2022-03-18";"2.04";"2.09017";"2.03001";"2.1";"7230.46294423";"3480.17274693";"30";"2.0776161"
"AMFT";"2022-03-18";"6.2589";"6.1";"5.60025";"6.56379";"24832.19740374";"4106.14833834";"76";"6.04756461"
"AMP";"2022-03-18";"0.12468";"0.1288";"0.1225";"0.12989999";"56585.75166813";"449257.82786091";"240";"0.12595384"
"ANKR";"2022-03-18";"0.35493";"0.36459";"0.35187";"0.37205";"85756.94985915";"239729.22463641";"191";"0.35772422"
"ANT";"2022-03-18";"25.06";"24.54";"22";"25.6871";"31996.89543889";"1377.47612539";"118";"23.22863884"
"APE";"2022-03-18";"68.9";"71.98999999";"51.4";"86.99995";"9040296.80513405";"125620.60796386";"14626";"71.96507763"
"ARGFT";"2022-03-18";"7.85";"7.97982";"7.51";"8.19999";"48764.62675094";"6357.43093180";"96";"7.67049257"
"ASRFT";"2022-03-18";"16.50005";"16.89987";"15.99999";"17.25";"28454.90626767";"1771.97760638";"27";"16.05827645"
"ATMFT";"2022-03-18";"34.217";"33.49993";"32";"34.899";"55526.25881258";"1665.06932402";"126";"33.34771592"
"ATOM";"2022-03-18";"139.29068";"142.17759";"138.5";"150";"72275.95396753";"508.12552018";"288";"142.24035419"
"AUDIO";"2022-03-18";"3.72999999";"3.77";"3.58953";"4.29";"37308.82915630";"9748.67729912";"119";"3.82706576"
"AVAX";"2022-03-18";"403.04775";"442.98";"367.00321";"488.07";"733045.47019614";"1722.71279544";"1491";"425.51809688"
"AXS";"2022-03-18";"248.12";"253.37000001";"244.551";"257.59563999";"194020.52880944";"778.09396058";"288";"249.3535982"
"BAL";"2022-03-18";"57.23305";"59.73095";"57.02885";"60.08015";"7080.62784332";"119.63653413";"18";"59.18449489"
"BAND";"2022-03-18";"17.56268";"18.8631";"17.5";"19.06769999";"6850.78474496";"373.50106202";"41";"18.34207567"
"BARFT";"2022-03-18";"42.99899";"41.95";"40.19189999";"42.99899";"3401.52403342";"81.25645331";"16";"41.8615863"
"BAT";"2022-03-18";"4.18646";"4.29025";"4.10056";"4.36796";"18350.89472069";"4387.03965839";"59";"4.18297898"
"BCH";"2022-03-18";"1477.42358";"1567.80999";"1474.9";"1567.8901";"146276.33629439";"96.14448901";"359";"1521.42195356"
"BLZ";"2022-03-18";"0.7";"0.72053";"0.6901";"0.74305";"22683.13303085";"31386.92460479";"143";"0.72269371"
"BNT";"2022-03-18";"11.52827";"12.35";"10.80001";"12.39974";"2516.72257863";"211.83673744";"36";"11.88048215"
"BTC";"2022-03-18";"204721.17";"209999.37565331";"203800";"212639.99993";"9263724.20107640";"44.48227867";"5947";"208256.51198764"
"CAIFT";"2022-03-18";"2.93";"2.99697";"2.91";"3.04999";"24446.73983613";"8365.54022328";"26";"2.92231454"
"CHZ";"2022-03-18";"1.0327";"1.04924995";"1.01020001";"1.05990998";"844435.15018081";"816814.52283715";"801";"1.03381505"
"CITYFT";"2022-03-18";"61.90279";"62.51";"61.90279";"65.5";"112236.20208210";"1769.75198951";"130";"63.41916988"
"COMP";"2022-03-18";"561.29999999";"605.4211";"561.29999999";"605.4211";"13625.04334316";"23.25278527";"33";"585.95317442"
"CRV";"2022-03-18";"10.52469999";"11.34502";"10.51169999";"11.48934";"222508.51988812";"20264.87922860";"191";"10.9800072"
"CSCONS01";"2022-03-18";"100";"100";"100";"100";"14606.95000000";"146.06950000";"7";"100"
