"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-01-21";"1040.23817";"946.20021";"908";"1043.82966";"471669.50566535";"471.58345638";"496";"1000.18246883"
"ACMFT";"2022-01-21";"25.71";"23.2";"22.33305";"28";"8849.52239081";"357.80981669";"56";"24.73247512"
"ADA";"2022-01-21";"6.83228";"6.31972";"6.1";"6.9";"2117383.69582428";"328132.81154221";"3145";"6.45282526"
"ALCX";"2022-01-21";"1248.52031";"1109.99988";"807.27679";"1248.52031";"73888.81349603";"67.28430445";"193";"1098.1582421"
"ALGO";"2022-01-21";"6.3763";"5.60005";"5.01011999";"7.15";"234485.65870138";"40206.95668737";"464";"5.83196735"
"ALICE";"2022-01-21";"50.00006";"47.99158";"40.00012";"53.99999";"77294.78183487";"1730.89679470";"139";"44.65591598"
"ALLFT";"2022-01-21";"3.00001";"2.67";"2.08";"3.64";"10957.67789299";"3658.31787581";"66";"2.99527768"
"AMFT";"2022-01-21";"6.222";"5.85";"5.85";"6.42001";"5181.65443925";"827.32933387";"28";"6.26310977"
"AMP";"2022-01-21";"0.18797";"0.17299";"0.1575";"0.1938";"85207.11342227";"490401.79561533";"530";"0.17374959"
"ANKR";"2022-01-21";"0.43685";"0.40373";"0.37752";"0.43685";"525646.01313686";"1279206.96960596";"495";"0.41091553"
"ARGFT";"2022-01-21";"8.50005";"8.5";"8.19";"10.11999999";"73814.87471885";"8032.35112450";"91";"9.18969721"
"ASRFT";"2022-01-21";"19";"18.98999";"17.5";"19";"3638.45583173";"202.30310539";"18";"17.98517044"
"ATMFT";"2022-01-21";"33.333";"31.75";"30.50005";"39.7";"51646.49973833";"1594.20113705";"65";"32.39647654"
"ATOM";"2022-01-21";"215.19018";"185.0598";"178";"220.75844";"539782.22670750";"2710.63576269";"937";"199.13491666"
"AUDIO";"2022-01-21";"6.9299";"5.78939";"5.29";"6.9299";"56585.04608288";"9635.79132737";"201";"5.87238184"
"AVAX";"2022-01-21";"440.12359";"379.99";"355";"458.17";"680839.18243841";"1668.75502935";"1184";"407.99228794"
"AXS";"2022-01-21";"364.439";"323.72514";"316.31405";"365.8898";"1123468.82041631";"3210.82844780";"849";"349.89998334"
"BAL";"2022-01-21";"77.7";"71.18087";"69.36";"78.38325";"44136.01678760";"595.07772598";"86";"74.1684907"
"BAND";"2022-01-21";"24.3459";"22.3835";"21.4124";"24.4341";"242268.66726981";"10577.41229529";"152";"22.90434186"
"BARFT";"2022-01-21";"40.86692";"40.86692";"32.6";"40.86692";"2621.73872483";"68.98340135";"25";"38.00535597"
"BAT";"2022-01-21";"4.8665";"4.50653";"4.32422";"4.91303999";"193872.62179364";"41826.79536512";"206";"4.6351297"
"BCH";"2022-01-21";"1906.42";"1725.70999";"1700";"1914.18981";"443511.09615052";"246.11762869";"646";"1802.02896684"
"BNT";"2022-01-21";"15.39995";"12.52988";"10.14";"15.39995";"11742.25574390";"897.10033482";"52";"13.08912201"
"BTC";"2022-01-21";"218568.99927";"201417.80000001";"195000";"218945.99669";"28955636.07846346";"139.28120189";"15496";"207893.35305515"
"CAIFT";"2022-01-21";"3.65";"3.55";"3.13331";"3.97699";"2186.09932784";"612.68456183";"34";"3.56806661"
"CHZ";"2022-01-21";"1.2533";"1.10103";"1.06654";"1.2605";"2746324.82438142";"2390786.89619210";"2612";"1.14871167"
"CITYFT";"2022-01-21";"55";"55";"50.50005";"63.3189";"71104.86774874";"1252.09660749";"89";"56.7886434"
"COMP";"2022-01-21";"850";"775.94299";"750.57293";"857.01511";"77674.76527915";"95.27409017";"120";"815.27690414"
"CRV";"2022-01-21";"21.19445";"18.70075";"17.89999999";"21.35598999";"808082.69232320";"41241.61217173";"527";"19.59386769"
"CVX";"2022-01-21";"205.01";"173.2332";"150.88";"213.94712";"286629.91151683";"1669.71958030";"279";"171.6635026"
"DAI";"2022-01-21";"5.48452";"5.5";"5.46";"5.54866";"57311.04007621";"10400.11801547";"62";"5.51061439"
"DOGE";"2022-01-21";"0.84";"0.7982";"0.77411";"0.85502";"485412.63128276";"589143.03303076";"2005";"0.82393002"
"DOT";"2022-01-21";"126.98475";"110.65509";"105";"126.98475";"494986.83550822";"4224.33511951";"1131";"117.17508708"
"DYDX";"2022-01-21";"40";"41.10199999";"35";"59";"249687.02395578";"5497.69031466";"450";"45.41671314"
"ENJ";"2022-01-21";"11.09";"9.44239999";"9.28654";"11.09";"402778.63352072";"39769.23198704";"427";"10.12789569"
"ETH";"2022-01-21";"15998.59";"14375.02";"13656.18";"15998.59";"19529768.20859551";"1301.91863530";"8992";"15000.7594016"
"FIL";"2022-01-21";"137.27198";"133.99995";"117.89";"139.18135";"17175.71513815";"129.98816768";"93";"132.13291213"
"GALA";"2022-01-21";"1.3514";"1.21685";"1.13062";"1.41997";"490848.70333461";"380532.69703441";"1467";"1.28989888"
"GALFT";"2022-01-21";"17.77";"15";"13.0333";"20.14999999";"23185.20552990";"1417.87548562";"49";"16.35207447"
"GALOFT";"2022-01-21";"4.18";"3.31001";"3.1";"4.4";"19385.32322394";"4778.07612443";"172";"4.05713988"
"GRT";"2022-01-21";"2.61681";"2.40296";"2.32961";"2.68675";"268792.32769022";"105938.99504656";"314";"2.5372369"
"ICP";"2022-01-21";"130.4592";"133.92478";"124.9";"146.99679";"460767.92337212";"3501.46500582";"546";"131.59289686"
"IMOB02";"2022-01-21";"100";"100";"100";"100";"400.00000000";"4.00000000";"3";"100"
"INTERFT";"2022-01-21";"37.45";"36";"36";"38.5";"8737.68301138";"235.73740712";"13";"37.06532246"
"JUVFT";"2022-01-21";"40";"37";"36.86";"43.10393";"26765.30777880";"699.95276690";"42";"38.23873416"
"KNC";"2022-01-21";"9.07086999";"8.39405";"7.66";"9.23021999";"129880.11965091";"15348.06689256";"189";"8.46231128"
"LINK";"2022-01-21";"108.9969";"96.9";"95";"108.9969";"1631441.61143023";"15833.01350969";"1311";"103.04049891"
"LPT";"2022-01-21";"156.00299999";"147.85289";"124.20302";"171.98913";"82169.22441522";"547.31637286";"225";"150.13112797"
"LRC";"2022-01-21";"5.63001";"5.12952";"4.5";"5.89999";"93569.49322349";"17585.08307671";"328";"5.32095827"
"LTC";"2022-01-21";"690";"629.01068";"614.21001";"691.15017";"2003205.42092966";"3070.03975894";"1547";"652.50145868"
"MANA";"2022-01-21";"14.09554";"12.3577";"11.72956";"14.13753";"3689214.41900938";"284920.70193491";"1382";"12.94821469"
"MATIC";"2022-01-21";"10.42462";"9.55611";"9.07301";"10.60265";"812992.36503580";"82572.16591556";"639";"9.84584037"
"MBCCSH01";"2022-01-21";"100";"100";"100";"100";"1022.00000000";"10.22000000";"4";"100"
"MBCCSH02";"2022-01-21";"100";"100";"100";"100";"101841.11110800";"1018.41111108";"37";"100"
"MBPRK01";"2022-01-21";"136.0508";"136.0508";"136.0508";"136.0508";"67.82132380";"0.49850000";"1";"136.0508"
"MBPRK02";"2022-01-21";"135";"135";"135";"140.5697";"4869.77449700";"35.70559841";"11";"136.38686127"
"MBPRK03";"2022-01-21";"106.01";"106.01";"106.01";"106.01";"65.79435595";"0.62064292";"1";"106.01"
"MBPRK04";"2022-01-21";"144.63";"142.8201";"142.8201";"145";"3980.58082303";"27.50848518";"15";"144.70374493"
"MBPRK05";"2022-01-21";"106.8488";"106.8388";"106.8388";"106.8488";"2259.24308232";"21.14610389";"2";"106.83968517"
"MBPRK06";"2022-01-21";"100";"100";"100";"100";"16227.48791500";"162.27487915";"14";"100"
"MBSANTOS01";"2022-01-21";"50";"50";"50";"50";"1046.64000000";"20.93280000";"9";"50"
"MBVASCO01";"2022-01-21";"21.9899";"21.07";"21.05999999";"22.02";"1460.37949600";"68.65846947";"18";"21.27020172"
"MCO2";"2022-01-21";"37";"33";"32";"37";"148816.77795151";"4237.96281685";"319";"35.11516839"
"MENGOFT";"2022-01-21";"6.25";"5.79999";"5.52";"7.8";"53229.06787848";"8606.20923364";"285";"6.18496093"
"MKR";"2022-01-21";"10176.59999";"10848.79999999";"9496.19";"11330.1001";"135510.76261768";"13.18064686";"162";"10281.04038117"
"NAVIFT";"2022-01-21";"4.3";"4.09999";"3.7";"4.49";"2206.88792630";"540.67261974";"26";"4.0817453"
"OGFT";"2022-01-21";"21.0603";"18.962";"17.21315";"22.79";"50585.86930388";"2426.29230734";"70";"20.84904162"
"OMG";"2022-01-21";"28.126";"26.81";"25.28";"28.38884";"261357.64890086";"9638.52787775";"240";"27.11593017"
"PAXG";"2022-01-21";"10124.56981";"10126.20051";"10053.9";"10233.18999";"100124.00207976";"9.89549541";"208";"10118.13940902"
"PFLFT";"2022-01-21";"3.11905";"2.87";"2.87";"3.11905";"8145.43630507";"2717.77382701";"41";"2.99709866"
"PORFT";"2022-01-21";"4.00011";"3.64";"3.60025";"4.46999";"6404.52247534";"1668.17117713";"44";"3.83924777"
"PSGFT";"2022-01-21";"78.90689999";"77.5";"72.02";"81.4";"138706.03123093";"1810.46714891";"160";"76.61339302"
"QNT";"2022-01-21";"769.12887";"601.08212";"600.00505";"799.98";"110507.47228431";"165.69151790";"89";"666.94706937"
"RACA";"2022-01-21";"0.01301";"0.01108";"0.0102";"0.01349";"344239.77213914";"29912444.49999539";"2077";"0.01150824"
"RAD";"2022-01-21";"38.81";"32.8957";"30.01449";"38.81";"135805.37615228";"3951.14954428";"348";"34.37110507"
"REN";"2022-01-21";"2.11601999";"1.90555";"1.82348";"2.11804";"962817.55071014";"490352.32266834";"1318";"1.96352195"
"SAND";"2022-01-21";"21.87999";"18.76708";"17.07999999";"21.87999";"434676.52142181";"22294.88420310";"913";"19.49669338"
"SAUBERFT";"2022-01-21";"5.35154";"5.35001";"5.222";"6.73999";"9009.20064933";"1430.29306299";"45";"6.29884943"
"SCCPFT";"2022-01-21";"3.94985";"3.4199";"3.3";"4.059";"13551.55677422";"3817.57117884";"229";"3.54978496"
"SLP";"2022-01-21";"0.09134";"0.0769";"0.06";"0.09499";"148793.31079087";"1924457.31084946";"791";"0.07731702"
"SNX";"2022-01-21";"25.89971";"23.2508";"22.61764";"25.9589";"201742.94496143";"8066.60361796";"219";"25.00965146"
"SOL";"2022-01-21";"697.03025";"619.29299";"595";"700.51509";"1272533.14147548";"1963.86133963";"2058";"647.97504579"
"SPFCFT";"2022-01-21";"3.52";"3.18001";"3.15";"3.97999";"21431.51973787";"5768.47109149";"136";"3.71528597"
"STVFT";"2022-01-21";"21.5";"18.14999999";"18.14999999";"21.52";"777.91102477";"40.55485587";"28";"19.18169866"
"SUSHI";"2022-01-21";"30.97";"27.5728";"26.4427";"31.63345";"269413.74593604";"9126.65252068";"512";"29.51944815"
"THFT";"2022-01-21";"3.8";"3.3313";"3.3313";"4.10999";"2530.10952443";"687.62016582";"18";"3.67951617"
"UFCFT";"2022-01-21";"13.13";"13.46999";"12";"13.4997";"5140.09378586";"409.26840799";"50";"12.55922442"
"UMA";"2022-01-21";"41.03175";"36.63298";"35.333";"41.03175";"99420.98050276";"2523.42180990";"144";"39.3992713"
"UNI";"2022-01-21";"78.01071";"69.65219999";"67.9736";"78.83553999";"563744.03828523";"7671.36427044";"537";"73.48680344"
"USDC";"2022-01-21";"5.50883";"5.51476";"5.4504";"5.55";"1278530.85388670";"232344.30431828";"1150";"5.50274239"
"USDP";"2022-01-21";"5.66949";"5.5";"5.3005";"12";"153517.13665807";"26232.47732891";"417";"5.85217837"
"VSPRK01";"2022-01-21";"100";"100";"100";"100";"555.95999900";"5.55959999";"3";"100"
"WBTC";"2022-01-21";"202000.04569";"171500.01439999";"111333.66";"232000";"53603.10838863";"0.26681878";"79";"200897.05975203"
"WBX";"2022-01-21";"0.04419";"0.04018999";"0.03955";"0.046";"478117.63287281";"11491940.34862878";"1319";"0.0416046"
