"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-28";"801.70204";"826.78513";"795.81496";"856.05621";"109202.27957636";"131.10095424";"203";"832.96327024"
"ACMFT";"2022-03-28";"28.20486";"29.94371";"28.20485";"32.5";"21598.77361308";"694.02384466";"92";"31.12108291"
"ADA";"2022-03-28";"5.61056";"5.73";"5.514129";"6";"1484910.66990906";"256000.37985899";"2502";"5.80042369"
"ALCX";"2022-03-28";"552.81024";"597.98999";"528.13185999";"599.44983";"19973.46150886";"34.26880332";"78";"582.84677531"
"ALGO";"2022-03-28";"4.53";"4.44";"4.22004999";"4.6595";"81181.58887735";"17992.61896023";"751";"4.51193842"
"ALICE";"2022-03-28";"36.90599";"36.17654";"34.60926";"38.99852";"79157.90518417";"2122.48581745";"94";"37.29490418"
"ALLFT";"2022-03-28";"2.2";"2.2";"2.18";"2.36625";"6838.15771820";"3061.66730017";"32";"2.23347511"
"AMFT";"2022-03-28";"5.80338";"5.84";"5.60137";"6.09985";"9634.82780625";"1647.42507663";"49";"5.84841638"
"AMP";"2022-03-28";"0.13006";"0.13278";"0.12855";"0.1389";"61083.44293751";"457683.55364619";"409";"0.13346217"
"ANKR";"2022-03-28";"0.4181";"0.41345";"0.40126";"0.43";"291045.58938422";"691050.36194286";"419";"0.42116407"
"ANT";"2022-03-28";"26.1";"26.97999";"23.55262";"27.6";"34345.83030542";"1300.79921175";"119";"26.40363708"
"APE";"2022-03-28";"73.18998999";"73";"67.008";"75";"1623876.61891368";"22527.65939525";"2885";"72.08368123"
"ARGFT";"2022-03-28";"6.6";"6.78323";"6.50001";"6.89999";"26675.50219537";"3935.15652662";"55";"6.77876521"
"ASRFT";"2022-03-28";"18.07447";"18.41";"17.74042";"19.37";"17687.80283108";"956.61533581";"67";"18.4899846"
"ATMFT";"2022-03-28";"33.10517";"34.25";"33";"34.89923";"65172.59547843";"1912.11158664";"93";"34.08409631"
"ATOM";"2022-03-28";"141.18031";"144.629";"136.1";"149.22";"197122.15521624";"1358.36894165";"454";"145.11680087"
"AUDIO";"2022-03-28";"5.05";"5.30995";"4.9";"5.59";"66900.20112405";"12656.79693131";"189";"5.28571339"
