"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-05";"1092.40148";"1004.57";"984.38696";"1101.14974";"230053.20196821";"219.82897724";"230";"1046.50990445"
"ACMFT";"2022-04-05";"35.15";"34.69993";"32.20004999";"37";"88359.51736777";"2546.77772092";"152";"34.69463261"
"ADA";"2022-04-05";"5.62995";"5.36173";"5.257421";"5.69979999";"600794.12561788";"109141.99200299";"1229";"5.50470185"
"ALCX";"2022-04-05";"597.99999";"540.77988";"500.00031";"627.54999999";"39774.34618374";"69.18964860";"160";"574.85978016"
"ALGO";"2022-04-05";"4.28";"4.07939999";"3.99";"4.28";"164709.64888626";"40431.26505974";"585";"4.07381882"
"ALICE";"2022-04-05";"39";"34.92819999";"32.86056";"39.00999";"19125.35171366";"535.63674417";"59";"35.70582474"
"ALLFT";"2022-04-05";"2.33805";"2.11994";"2.11994";"2.33805";"1087.49710636";"488.72384243";"27";"2.2251771"
"AMFT";"2022-04-05";"5.94999";"5.65238";"5.65";"6.3";"10983.68858074";"1876.91057038";"55";"5.85200422"
"AMP";"2022-04-05";"0.13349";"0.12806";"0.125";"0.13399";"32104.72073850";"247109.92249091";"253";"0.1299208"
"ANKR";"2022-04-05";"0.42265";"0.41202";"0.40115";"0.45";"149348.02541535";"351754.21581587";"240";"0.42458062"
"ANT";"2022-04-05";"27.89989";"26.69993";"25.05";"28.99995";"40665.48226163";"1530.30114673";"105";"26.57351616"
"APE";"2022-04-05";"56.93568999";"54.00125";"52.01037";"61";"392104.51458238";"6834.05401253";"966";"57.37509739"
"ARGFT";"2022-04-05";"6.5999";"6.32";"6.3";"6.78933";"3252.19004727";"510.20827750";"32";"6.37424007"
"ASRFT";"2022-04-05";"19.16129";"18.5565";"18.50001";"19.95";"35578.11781504";"1869.55879784";"56";"19.03022138"
"ATMFT";"2022-04-05";"37.35138";"32.68999";"29.3";"37.88899";"157200.75529352";"4753.15612352";"209";"33.07292064"
"ATOM";"2022-04-05";"141.71609";"139.04875";"132.5";"145.79785999";"85606.31604260";"613.82223449";"320";"139.46434526"
"AUDIO";"2022-04-05";"7.66051999";"7.28001";"7.2";"7.94095";"117096.79918051";"15566.74907691";"290";"7.52223849"
"AVAX";"2022-04-05";"452.87343";"434.97999";"416.00004";"452.8824";"196683.91240608";"452.58552493";"661";"434.57844224"
"AXS";"2022-04-05";"295.86300999";"275.20000001";"263.00000001";"302.25976";"413917.35611868";"1433.32095603";"508";"288.7820445"
"BAL";"2022-04-05";"76.08833";"73.34191";"72.95784999";"79.46525";"20293.22336196";"263.60265651";"40";"76.98413828"
"BAND";"2022-04-05";"24.80455";"23.2364";"22.4782";"25.62631";"274356.93852178";"11835.13882497";"277";"23.18155642"
"BARFT";"2022-04-05";"43.12877";"44.98999";"43.12494";"45.09";"19337.94394948";"432.00253025";"38";"44.76349696"
"BAT";"2022-04-05";"4.128";"3.81418";"3.78";"4.128";"28430.07598769";"7060.76039213";"93";"4.02648927"
"BCH";"2022-04-05";"1738.02126";"1683.44999";"1650";"1765";"195536.39947070";"113.42566899";"421";"1723.91665142"
"BLZ";"2022-04-05";"1";"0.91107";"0.9";"1.04285";"76088.69204206";"77737.88937196";"208";"0.97878515"
"BNT";"2022-04-05";"11.61005";"12.2271";"11.61005";"13.88";"13634.31489305";"1090.28983435";"79";"12.50522059"
"BTC";"2022-04-05";"216316.36687561";"212647.81255999";"209001";"219745.26";"8168900.65288983";"38.09318493";"5648";"214445.19978838"
"CAIFT";"2022-04-05";"3.04";"2.9525";"2.9525";"3.14";"1913.70863336";"633.19129489";"25";"3.02232303"
"CHZ";"2022-04-05";"1.26148";"1.1887";"1.15019999";"1.28868";"1319309.47001662";"1074254.12412421";"1137";"1.22811673"
"CITYFT";"2022-04-05";"83.76";"73.01119";"71.01009";"83.77";"200203.81676547";"2602.24025614";"238";"76.93517779"
"COMP";"2022-04-05";"768.37599";"705.21515";"693.13104";"768.37599";"53251.71045590";"72.93499487";"90";"730.12564888"
"CRV";"2022-04-05";"13.6193";"12.96829";"12.49793";"13.71991";"59435.33639521";"4501.91319084";"96";"13.20223955"
"CSCONS01";"2022-04-05";"100";"100";"100";"100";"2071.86000000";"20.71860000";"7";"100"
"CTSI";"2022-04-05";"2.27952999";"2.137";"2.00005";"2.27952999";"12860.31277093";"5968.68648900";"65";"2.1546303"
"CVX";"2022-04-05";"169.67949999";"168.9357";"166.07004";"190";"68212.52543860";"390.82980258";"147";"174.53255864"
"DAI";"2022-04-05";"4.65";"4.70022";"4.64628999";"4.72248";"15155.43070645";"3219.33782027";"29";"4.7076236"
"DOGE";"2022-04-05";"0.69994";"0.76044";"0.69276001";"0.85";"1097832.19987367";"1424458.25454703";"3432";"0.77070156"
"DOT";"2022-04-05";"109.125";"100.33616";"99.11";"109.18";"175949.46316728";"1684.05971716";"575";"104.47934914"
"DYDX";"2022-04-05";"31.00001";"31.38999";"28.16005";"31.95";"15455.15990214";"509.10153427";"52";"30.35771621"
"ENJ";"2022-04-05";"8.32";"7.78";"7.52";"8.40548";"63220.66866041";"7928.55390939";"142";"7.97379564"
"ENS";"2022-04-05";"88.19345";"88.77762";"84.8";"95";"13075.75342154";"144.82358054";"80";"90.28746128"
"ETH";"2022-04-05";"16359.6182";"15756.77773999";"15400";"16460";"4597023.54510550";"287.47227057";"3059";"15991.18946669"
"FET";"2022-04-05";"2.3599";"2.28005";"2.11805";"2.49989999";"46297.24593149";"19543.01959419";"120";"2.36899143"
"FIL";"2022-04-05";"120.51";"113.32149";"109.00001";"122.5";"70361.10024958";"600.66075866";"242";"117.13949885"
"GALA";"2022-04-05";"1.20006001";"1.12999999";"1.11";"1.28";"362368.91730090";"309947.67635430";"588";"1.16912932"
"GALFT";"2022-04-05";"16.32";"16.61";"16.32";"16.95";"3066.92918376";"183.10606926";"18";"16.74946765"
"GALOFT";"2022-04-05";"3.07999";"3.16";"2.91";"3.19";"32541.01041724";"10564.24207677";"102";"3.08029768"
"GNO";"2022-04-05";"1979.43783";"2080";"1754.77871";"2251.73999999";"31766.92589999";"15.44659508";"111";"2056.56494104"
"GODS";"2022-04-05";"7.6";"7.44";"6.5001";"7.91999";"21620.64830634";"3014.26947590";"61";"7.17276556"
"GRT";"2022-04-05";"2.30395";"2.12006";"2.04999999";"2.30395";"36994.06379190";"17086.81368402";"118";"2.16506508"
"ICP";"2022-04-05";"102.55914";"101.70636999";"94.0706";"106.99999999";"95006.77089088";"932.28217165";"309";"101.90774186"
"ILV";"2022-04-05";"3039.97999";"2903.14583";"2800.01";"3114.99994";"21322.29723003";"7.12274326";"123";"2993.55128378"
"IMX";"2022-04-05";"12.17999";"11.79999";"11.1";"12.81";"55394.65773466";"4728.89392966";"155";"11.71408336"
"INTERFT";"2022-04-05";"31.5936";"33.56337";"30.57937";"34.5";"18516.87998569";"548.57841382";"38";"33.75429932"
"JUVFT";"2022-04-05";"30.75019";"30.12";"30.1";"32.19";"9948.84271241";"324.82477571";"41";"30.62833704"
"KEEP";"2022-04-05";"3.061";"3.03";"2.93011";"3.1999";"14644.55467605";"4752.85208840";"156";"3.08121405"
"KNC";"2022-04-05";"14.65";"13.73";"13.36455";"14.72785";"29015.79684971";"2063.48954742";"59";"14.06151869"
"KP3R";"2022-04-05";"2355.32";"2358.00001";"2348.0056";"2458.65";"8872.31417278";"3.72591671";"37";"2381.24329214"
"LDO";"2022-04-05";"23.75989";"21.50009";"21";"25.4599";"52470.18724051";"2317.75788076";"279";"22.6383384"
"LINK";"2022-04-05";"81.3622";"77.54991";"75.99005";"81.55";"446439.44447903";"5724.62884230";"256";"77.98574488"
"LPT";"2022-04-05";"137.08994";"130.4086";"123";"137.08994";"3107.69057101";"24.50992792";"28";"126.79313383"
"LQTY";"2022-04-05";"14.7198";"14.2397";"12.2326";"14.72";"24045.03553810";"1777.30563810";"140";"13.52892548"
"LRC";"2022-04-05";"5.54995";"5.04171";"4.9";"5.55";"40719.72419782";"7817.67761743";"112";"5.20867272"
"LTC";"2022-04-05";"581.535";"564.90012";"553.90994";"590";"252506.85573104";"437.87324876";"588";"576.66655007"
"MANA";"2022-04-05";"12.26931";"11.7403";"11.36601";"12.44705";"307151.85848069";"25602.72615802";"434";"11.99684192"
"MATIC";"2022-04-05";"7.66";"7.40999999";"7.29";"7.8048";"40014.41781136";"5317.60256758";"153";"7.52489816"
"MBCCSH01";"2022-04-05";"100";"100";"100";"100";"635.55000000";"6.35550000";"5";"100"
"MBPRK01";"2022-04-05";"125.57";"125.57";"125.57";"125.57";"123.98380353";"0.98736803";"1";"125.57"
"MBPRK02";"2022-04-05";"135";"135";"135";"135";"135.00000000";"1.00000000";"1";"135"
"MBPRK03";"2022-04-05";"106.01";"106.01";"106.01";"106.01";"14.35089067";"0.13537299";"1";"106.01"
