"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-17";"807.89411";"806.73398";"787.883";"837.28";"40422.35728838";"49.41784856";"72";"817.97080338"
"ACMFT";"2022-04-17";"29.18791";"28.53952";"28.48";"30.99999";"6270.30919364";"217.42822635";"45";"28.83852432"
"ADA";"2022-04-17";"4.49319999";"4.43885499";"4.34999999";"4.5694";"155336.73113402";"34751.90419583";"488";"4.46987682"
"AGIX";"2022-04-17";"0.76689";"0.71999";"0.674";"0.7956";"33457.32165184";"44390.16185904";"296";"0.75371028"
"ALCX";"2022-04-17";"380.98995";"375.24384";"370.00004";"408.82889";"6126.73583177";"16.14827094";"43";"379.40506785"
"ALGO";"2022-04-17";"3.4715";"3.43";"3.3602";"3.57";"17387.06882719";"4966.63992260";"323";"3.50077096"
"ALICE";"2022-04-17";"32.60584999";"30.51081";"30.51081";"33.22561";"2323.83198157";"71.51301962";"27";"32.49522945"
"ALLFT";"2022-04-17";"2.09";"1.9898";"1.76011";"2.09";"674.33049313";"355.88202826";"29";"1.89481468"
"AMFT";"2022-04-17";"5.09999999";"5.18999";"5.09999999";"5.18999";"199.99999997";"38.54531653";"2";"5.18869782"
"AMP";"2022-04-17";"0.10602";"0.10305";"0.10305";"0.1129";"22431.08299860";"208104.95806020";"123";"0.10778735"
"ANKR";"2022-04-17";"0.3557";"0.34696";"0.34088";"0.36529";"32923.49309497";"94749.48770732";"143";"0.34747937"
"ANT";"2022-04-17";"21.00001";"21.10001";"21.00001";"21.38";"908.32432904";"43.06526640";"18";"21.09180796"
"APE";"2022-04-17";"54.62000001";"55.42036001";"54.14258";"57.8799";"113025.57509615";"2016.10241304";"425";"56.06142543"
"ARGFT";"2022-04-17";"5.42476";"5.42256";"5.42256";"5.79834";"1517.82907024";"279.18246200";"7";"5.43669204"
"ASRFT";"2022-04-17";"17.581";"17.26";"17.26";"17.581";"1517.31339080";"87.44451083";"10";"17.35172827"
"ATMFT";"2022-04-17";"26.95982";"25.23805";"25.23805";"26.95982";"10694.42619253";"419.57548266";"21";"25.48868233"
"ATOM";"2022-04-17";"114.76443";"110.42035";"110";"115";"24467.17264301";"215.72235408";"114";"113.41973689"
"AUDIO";"2022-04-17";"6.10015001";"6.44511999";"5.81005001";"6.81";"63893.13064692";"10035.43661650";"130";"6.36675145"
"AVAX";"2022-04-17";"368.9975";"364.96297";"360";"373.07";"79032.14518472";"215.02711689";"297";"367.54501631"
"AXS";"2022-04-17";"226";"217.88628999";"215.533";"226.93299999";"40275.48460177";"183.16480876";"147";"219.8865867"
"BADGER";"2022-04-17";"42.49551";"41.36474";"39.0019";"49.97";"96950.36320426";"2279.08608195";"148";"42.53914056"
"BAL";"2022-04-17";"71.93794";"69.21835";"69.21835";"72.34385";"182.59345043";"2.52699809";"5";"72.25705913"
"BAND";"2022-04-17";"18.0136";"17.14777";"17";"18.14918";"4342.59807630";"245.03685142";"23";"17.72222443"
"BARFT";"2022-04-17";"37.29979";"37.08968999";"32.81";"37.29979";"21925.52521600";"630.34016584";"69";"34.78363969"
"BAT";"2022-04-17";"3.63503";"3.52";"3.42763";"3.64748";"17491.60694502";"4902.09786673";"37";"3.56818803"
"BCH";"2022-04-17";"1624.55999";"1553.00001";"1552.91023";"1652.22399";"87465.68703705";"53.88067968";"248";"1623.3218949"
"BLZ";"2022-04-17";"0.7896";"0.7501";"0.75";"0.79";"1242.19077172";"1608.97852779";"61";"0.77203688"
"BNT";"2022-04-17";"11.11661";"10.54085";"10.44999999";"11.11661";"2515.39555709";"235.98564712";"16";"10.659104"
"BTC";"2022-04-17";"190020.00000001";"188711.98999";"187993.59";"191999.98482";"2370181.27308874";"12.46865785";"2643";"190091.13102648"
"CAIFT";"2022-04-17";"2.98999";"2.96999";"2.8";"2.98999";"1030.80821545";"358.82823195";"24";"2.87270655"
"CHZ";"2022-04-17";"1.10121";"1.08287";"1.0521";"1.14999999";"520091.58378659";"478261.18844033";"488";"1.08746349"
"CITYFT";"2022-04-17";"71.08719";"69.5";"69.5";"73.70865999";"49685.65572692";"699.52135359";"63";"71.0280758"
"COMP";"2022-04-17";"693";"686.89527";"679.17105";"708.92499";"10982.25584903";"15.87061711";"36";"691.98669295"
"CRV";"2022-04-17";"10.56246";"10.12648";"10.08";"11.09363";"27321.07195824";"2560.35250363";"65";"10.67082439"
"CSCONS01";"2022-04-17";"100";"100";"100";"100";"19.26842600";"0.19268426";"1";"100"
