"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-01-22";"959.32994";"811.66276";"751.29009";"959.33";"239691.53814539";"288.32577599";"447";"831.3219216"
"ACMFT";"2022-01-22";"23.2";"20.21831";"11.71";"28.48";"41132.96587057";"1847.41089511";"129";"22.2651961"
"ADA";"2022-01-22";"6.31842";"5.87594";"5.002";"6.4";"1612768.00702070";"276207.84150360";"2764";"5.83896531"
"ALCX";"2022-01-22";"1105.62768";"860.00004";"800.33015";"1105.63749";"30568.13657230";"33.50116638";"79";"912.44991967"
"ALGO";"2022-01-22";"5.7";"5.26999999";"4.53012";"5.87";"148551.94803141";"28554.10653796";"495";"5.20247229"
"ALICE";"2022-01-22";"47.96";"40.79999";"22.88063";"47.96";"95310.15854739";"2607.72257004";"174";"36.54919416"
"ALLFT";"2022-01-22";"2.89";"2.21871";"2.13023";"2.89039";"1120.63565651";"434.11962317";"35";"2.58139829"
"AMFT";"2022-01-22";"5.731";"5.888";"4.00005";"6.33564";"5169.30625119";"1041.98520579";"41";"4.96101693"
"AMP";"2022-01-22";"0.1752";"0.1608";"0.13152";"0.18";"138263.42741663";"898980.50441210";"466";"0.15380025"
"ANKR";"2022-01-22";"0.40542";"0.34821";"0.31485";"0.40542";"436459.88129314";"1237208.56043866";"552";"0.35277793"
"ARGFT";"2022-01-22";"8.3";"8.19";"8.19";"8.3";"7174.90608579";"875.00000000";"5";"8.19989266"
"ASRFT";"2022-01-22";"17.13316";"16";"15";"18.97999";"3946.30625936";"253.33687288";"34";"15.57730706"
"ATMFT";"2022-01-22";"31.5";"26.50005";"25.1";"39.72999999";"34637.03348153";"1205.74514564";"138";"28.72666218"
"ATOM";"2022-01-22";"185.06531";"159";"142.00321";"191";"454841.57057728";"2729.05522148";"721";"166.66631257"
"AUDIO";"2022-01-22";"5.78939";"5.28857";"4.72";"5.92";"61543.58200481";"12140.02405214";"205";"5.06947776"
"AVAX";"2022-01-22";"399.09";"329.03491";"284.05320999";"399.99";"437872.18107036";"1341.09512932";"791";"326.50344595"
"AXS";"2022-01-22";"325.95993";"280.61189";"1.5";"413.5";"1709862.77333497";"7860.52569161";"1586";"217.52524454"
"BAL";"2022-01-22";"70.97732999";"64.68528";"61.08235";"70.97732999";"30445.10306436";"461.50222161";"59";"65.96956989"
"BAND";"2022-01-22";"22.11351";"19.56325";"17.523";"22.11351";"74785.45602457";"3677.23966985";"78";"20.33738965"
"BARFT";"2022-01-22";"36";"30.52549";"28.01";"37.9814";"16635.21254517";"510.49351810";"37";"32.58653039"
"BAT";"2022-01-22";"4.42215";"4.03092999";"3.69729";"4.4255";"66119.71771608";"16288.19227087";"132";"4.059365"
"BCH";"2022-01-22";"1740.04";"1600.81116";"1475.00001";"1741.1182";"330818.51305736";"208.33285236";"553";"1587.93252869"
"BNT";"2022-01-22";"12.5217";"12.9782";"10.1595";"13.98017";"7229.37769795";"615.22699139";"41";"11.75074858"
"BTC";"2022-01-22";"201417.80000001";"193082.93976";"189003.22001";"202000";"18199014.49909715";"93.55149030";"10248";"194534.73633329"
"CAIFT";"2022-01-22";"3.22001";"3.15";"2.56707999";"3.97";"16403.67488606";"5230.33734663";"49";"3.13625561"
"CHZ";"2022-01-22";"1.09869";"1.10101";"1.0974";"1.10840999";"13147.99776454";"11931.96941630";"21";"1.10191346"
"CITYFT";"2022-01-22";"54";"50.52";"50.52";"54";"2416.46081626";"47.23394620";"5";"51.15940993"
"COMP";"2022-01-22";"762.89801";"690.28099";"618.71712";"762.89801";"56744.32393740";"83.67088849";"98";"678.18478997"
"CRV";"2022-01-22";"18.957";"16.04704999";"14.2544";"18.957";"360065.92609445";"22063.66494756";"421";"16.3194069"
"CVX";"2022-01-22";"184.94846";"156";"128";"184.94846";"161586.86754050";"1038.86143710";"280";"155.54227134"
"DAI";"2022-01-22";"5.49999";"5.51324";"5.49397";"5.54912";"10400.90301657";"1885.36408215";"57";"5.5166549"
"DOGE";"2022-01-22";"0.79925";"0.76149";"0.68001";"0.81344";"427267.53513837";"585577.90621438";"1702";"0.72965105"
"DOT";"2022-01-22";"110.64838";"100.02";"89.19965";"121.07";"381736.52195560";"3745.24777175";"1299";"101.92557214"
"DYDX";"2022-01-22";"45.94999";"32.15005";"29.94998";"45.94999";"92609.48895308";"2768.59468564";"228";"33.44999881"
"ENJ";"2022-01-22";"9.45273";"8.5";"7.50123";"9.45273";"478008.30992307";"55726.66888070";"400";"8.57772982"
"ETH";"2022-01-22";"14362.4";"13272.41953";"12585.99035";"14423.14";"11912487.51784454";"889.55922209";"6413";"13391.44963261"
"FIL";"2022-01-22";"123.8265";"103.86281";"90";"132.98999";"71130.74482593";"661.18051344";"202";"107.58142954"
