"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-12";"613.12";"609.787";"607.39101";"622.02665";"43252.30764353";"70.43925688";"66";"614.03696687"
"ACMFT";"2022-03-12";"22.98";"24.5";"21.39999999";"25.97";"28431.14064297";"1191.43194586";"84";"23.8630001"
"ADA";"2022-03-12";"4.09939899";"4.04999";"4.01999999";"4.09999999";"90723.53757798";"22353.19068864";"590";"4.05863927"
"ALCX";"2022-03-12";"522.98";"516.99";"471.00005";"527.88829";"28601.70963443";"57.76777669";"74";"495.11529218"
"ALGO";"2022-03-12";"3.62";"3.58459";"3.58";"3.74238";"27966.72674249";"7646.50343183";"269";"3.65745297"
"ALICE";"2022-03-12";"29.88001";"30.00882208";"29.8";"31.78995";"34954.60403479";"1151.54379625";"46";"30.35455894"
"ALLFT";"2022-03-12";"2.08";"2.14606";"2.00254999";"2.2872";"21912.01691523";"10349.98309316";"129";"2.11710654"
"AMFT";"2022-03-12";"5.01004999";"5.69456";"5.01";"5.8599";"5207.91621824";"957.24896810";"41";"5.44050335"
"AMP";"2022-03-12";"0.12783";"0.1262";"0.1262";"0.13533";"15379.20810871";"120053.40485878";"169";"0.12810305"
"ANKR";"2022-03-12";"0.36365";"0.36421";"0.36193";"0.3699";"40785.40636300";"111650.06420011";"113";"0.36529675"
"ARGFT";"2022-03-12";"8.59999";"8.5";"8.15455";"8.6";"1349.59647114";"158.20183942";"9";"8.53085195"
"ASRFT";"2022-03-12";"14.47995";"16.15852";"14.47995";"17.35";"31992.80390209";"2029.50761974";"80";"15.76382546"
"ATMFT";"2022-03-12";"28.19993";"29.58033";"26.01";"33.39999";"124986.25014060";"4137.16783072";"151";"30.21058251"
"ATOM";"2022-03-12";"141.9351";"139.27631";"139";"145.4084";"104140.02333190";"735.88084293";"480";"141.51750834"
"AUDIO";"2022-03-12";"3.63279";"3.76256999";"3.60018";"3.94992";"2857.73073497";"770.64181760";"34";"3.70824768"
"AVAX";"2022-03-12";"374.94";"371.90957";"362.274";"374.94";"85170.64089015";"231.17859247";"597";"368.41923804"
"AXS";"2022-03-12";"241.692";"241.74685";"235.9486";"243.21887";"59895.37851150";"249.58053814";"118";"239.98417087"
"BAL";"2022-03-12";"56.30719";"56.12";"55.75386";"56.30719";"4875.91506540";"86.88833390";"6";"56.11702798"
"BAND";"2022-03-12";"17.8293";"17.55849";"17.32";"17.8294";"1600.30469694";"90.48357860";"9";"17.68613401"
"BARFT";"2022-03-12";"40.9179002";"41.29999999";"38.89005";"47.75";"50579.42943418";"1186.16529187";"88";"42.64113086"
"BAT";"2022-03-12";"3.40329";"3.474";"3.3655";"3.58135";"12408.73013149";"3545.71501055";"60";"3.49964114"
"BCH";"2022-03-12";"1488.5502";"1495.10005";"1477.07005";"1499.98999";"27723.04834870";"18.61196571";"216";"1489.52823042"
"BLZ";"2022-03-12";"0.7382";"0.7099";"0.68";"0.75";"49547.62819405";"70212.75453180";"146";"0.70567845"
"BNT";"2022-03-12";"11.24516";"10.5807";"10.25524";"11.24516";"2878.29154400";"265.81393175";"37";"10.82821929"
"BTC";"2022-03-12";"199263.38144";"199163.00909";"197489.26800001";"200159.54";"2095328.69349709";"10.53142078";"2160";"198959.73556353"
"CAIFT";"2022-03-12";"3.02479";"3.11001";"3.01769";"3.54994";"25306.98911687";"7610.68577095";"54";"3.32519169"
"CHZ";"2022-03-12";"0.99271001";"1.04187001";"0.98224001";"1.07798999";"943384.98405293";"902395.36003328";"856";"1.04542313"
"CITYFT";"2022-03-12";"53.9972";"62.2";"52.4";"66.8978";"630104.02026029";"10328.31513320";"507";"61.00743559"
"COMP";"2022-03-12";"525.707";"519.462";"519.462";"530.84218";"11704.02698916";"22.49576320";"13";"520.2769466"
