"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-13";"617.63786";"587.56461";"582.301";"617.63786";"21432.65079275";"35.85405394";"79";"597.77482425"
"ACMFT";"2022-03-13";"22.9";"25";"22.51";"28.99995";"138400.44899180";"5307.93058057";"125";"26.07427638"
"ADA";"2022-03-13";"4.0499";"4.02639999";"3.99";"4.16477999";"165205.82079462";"40687.21621408";"710";"4.06038643"
"ALCX";"2022-03-13";"473.00001";"493.86";"420.00321";"516.67987";"25601.42462906";"54.29919184";"57";"471.48813382"
"ALGO";"2022-03-13";"3.68";"3.51329";"3.40005";"3.7";"50074.19585066";"13976.27406125";"288";"3.58280008"
"ALICE";"2022-03-13";"30.56665";"28";"28";"31.29518";"25628.72147443";"880.80799811";"86";"29.09683101"
"ALLFT";"2022-03-13";"2.15672";"2.02999999";"1.76";"2.37";"17246.01712600";"8228.29802209";"120";"2.09593977"
"AMFT";"2022-03-13";"5.55412";"7.16204";"5.4927";"7.9999";"32640.20097360";"5001.39311760";"108";"6.52622183"
"AMP";"2022-03-13";"0.13045";"0.12809";"0.1228";"0.13045";"14266.13640487";"112920.06886641";"136";"0.12633836"
"ANKR";"2022-03-13";"0.36324";"0.34087";"0.3401";"0.36575";"92676.12369267";"261807.36911619";"315";"0.35398592"
"ARGFT";"2022-03-13";"8.5";"8.08";"8.08";"8.98";"6920.40274878";"813.24909988";"34";"8.5095732"
"ASRFT";"2022-03-13";"16.18563";"21.92";"14.52138";"26.75995";"186298.86545255";"8554.60243961";"264";"21.77761816"
"ATMFT";"2022-03-13";"30.19";"35.79995";"28.0396";"44.9989";"425906.70748145";"11881.79842813";"458";"35.84530658"
"ATOM";"2022-03-13";"141.83406";"133.03621999";"131.01173";"141.83406";"60485.89441726";"447.09635095";"266";"135.2860391"
"AUDIO";"2022-03-13";"3.66478001";"3.4956";"3.41005";"4.15";"25769.01256223";"6959.05856900";"92";"3.7029452"
"AVAX";"2022-03-13";"367.01028";"357.88592";"348.0002";"374.94";"134351.32596921";"371.99448167";"600";"361.16483601"
"AXS";"2022-03-13";"243.3347";"230.62000001";"230";"243.3347";"81528.19294781";"347.76082430";"148";"234.43754227"
"BAL";"2022-03-13";"55.8555";"54.2983";"53.9761";"60.63999";"11681.72940424";"210.67255578";"35";"55.44969709"
"BAND";"2022-03-13";"17.56299";"16.88399";"16.70382";"17.56299";"1704.85298476";"98.87895119";"18";"17.24181905"
"BARFT";"2022-03-13";"43.99999";"41.48399";"41.45";"48.79995";"77342.12686141";"1755.27332412";"106";"44.06272561"
"BAT";"2022-03-13";"3.5069";"3.44269";"3.41523";"3.72202";"23650.42443431";"6497.80696796";"50";"3.63975485"
"BCH";"2022-03-13";"1495.83";"1437.36";"1425.07007";"1513.39999";"78228.33951944";"53.68369545";"267";"1457.20854094"
"BLZ";"2022-03-13";"0.71";"0.675";"0.6599";"0.73";"16980.73730001";"24106.76033226";"111";"0.70439731"
"BNT";"2022-03-13";"11.04859";"10.91637";"10.65757";"11.09995";"4561.57404720";"418.79398699";"16";"10.892167"
"BTC";"2022-03-13";"199163.01001001";"194400.9929";"192007.8";"199629.64846274";"4249660.48895019";"21.78017610";"3899";"195115.98388546"
"CAIFT";"2022-03-13";"3.20001";"3.23";"3.09";"3.4495";"3628.06153377";"1120.30502308";"45";"3.23845868"
"CHZ";"2022-03-13";"1.04137001";"0.98077";"0.978";"1.08822999";"995729.66773238";"966941.19199683";"929";"1.02977272"
"CITYFT";"2022-03-13";"62.2";"60.33848";"58.33";"70.57859999";"637359.54907222";"9624.88395677";"409";"66.2199723"
"COMP";"2022-03-13";"526.75999";"506.72604";"504.21104";"526.75999";"8227.73760681";"16.10884079";"26";"510.75913618"
"CRV";"2022-03-13";"10.26163";"9.93662999";"9.72204";"10.36";"69853.81623802";"7000.06462286";"113";"9.97902448"
"CSCONS01";"2022-03-13";"100";"100";"100";"100";"100.00000000";"1.00000000";"1";"100"
"CTSI";"2022-03-13";"1.53011";"1.46659";"1.42005";"1.57999";"7069.11408064";"4622.56836240";"53";"1.52926112"
"CVX";"2022-03-13";"82.80934";"81.51";"80.5";"84.98976999";"12882.43501878";"156.65375598";"39";"82.23508551"
"DAI";"2022-03-13";"5.0784";"5.08785";"5.0784";"5.11262";"1885.32991054";"369.79957118";"24";"5.09824796"
"DOGE";"2022-03-13";"0.58864998";"0.56958999";"0.56281";"0.59287999";"70304.71194756";"121196.88392887";"549";"0.58008679"
"DOT";"2022-03-13";"92.65005001";"90.01587";"87";"94.46366999";"80004.90113073";"883.83217618";"299";"90.52046676"
"DYDX";"2022-03-13";"24.64981";"22.5";"22.5";"24.65";"14198.49399611";"613.58057588";"34";"23.14039028"
"ENJ";"2022-03-13";"6.95";"6.65";"6.56040001";"7.01725";"24035.92666808";"3553.32252042";"81";"6.76435266"
"ENS";"2022-03-13";"70.80665";"70.59999";"64.26727";"70.80665";"4337.30009524";"63.23198657";"35";"68.59344977"
"ETH";"2022-03-13";"13199.99015001";"12933.9997";"12750";"13209.28293";"1342810.36557220";"103.41325814";"1649";"12984.89564804"
"FET";"2022-03-13";"1.72137";"1.61";"1.60837";"1.76054";"30158.58194537";"18123.65643197";"80";"1.66404511"
"FIL";"2022-03-13";"92.49954";"91.19993";"85.82804";"93.98999";"14391.97110955";"160.56071061";"99";"89.63569639"
"GALA";"2022-03-13";"1.19915999";"1.0911";"1.08420999";"1.22895";"368732.44531071";"321426.35033363";"480";"1.14717553"
"GALFT";"2022-03-13";"19.25";"20.25";"19.25";"21.00017";"12102.65526345";"594.86782631";"56";"20.34511655"
"GALOFT";"2022-03-13";"3.3386";"3.44";"3.20661";"3.48995";"5679.84820983";"1702.52207142";"54";"3.33613778"
"GNO";"2022-03-13";"1511.05001";"1510.51001";"1510.51";"1598.99989";"579.06559655";"0.37266281";"12";"1553.85936296"
"GODS";"2022-03-13";"5.72";"5.77993";"5.2";"5.94";"41312.44919580";"7823.66184368";"63";"5.28044923"
"GRT";"2022-03-13";"1.69987";"1.68231";"1.67704";"1.8231";"50805.88167899";"28782.85529582";"127";"1.7651439"
"ICP";"2022-03-13";"83.92";"79.00010001";"79";"84.05112999";"37590.18538626";"457.82651041";"100";"82.10574209"
"ILV";"2022-03-13";"2598.99976";"2598.4";"2410.0001";"2599.99994";"28176.56191448";"11.03611346";"61";"2553.12361698"
"IMX";"2022-03-13";"9.291";"8.62395";"8.31181";"9.99995";"38768.73466434";"4258.57313339";"147";"9.10369117"
"INTERFT";"2022-03-13";"28.69731";"29.00005";"28.69731";"34.28994999";"16288.01668418";"519.23333928";"42";"31.36935834"
"JUVFT";"2022-03-13";"34.69993";"34";"33.02771";"42";"145031.37726951";"3827.43176994";"165";"37.89260945"
"KNC";"2022-03-13";"14.22319";"13.0329";"12.9";"14.31915";"15632.45744215";"1155.26449078";"43";"13.53149652"
"KP3R";"2022-03-13";"1925.1212";"1895.8923";"1202.19028";"1998.58598";"6953.92901054";"3.79173068";"25";"1833.97229323"
"LDO";"2022-03-13";"12.02";"12.01";"12.01";"12.6";"1556.21612376";"126.66356301";"29";"12.28621781"
"LINK";"2022-03-13";"67.82729999";"65.01691";"64.3919";"68.04888";"114668.81660843";"1720.10732596";"179";"66.66375689"
"LPT";"2022-03-13";"118.90922";"113.94";"112.50005";"118.90922";"22122.88249091";"188.74441165";"29";"117.21079473"
"LRC";"2022-03-13";"3.61384";"3.51874";"3.4";"3.6315";"2633.30378510";"748.98333701";"23";"3.5158376"
"LTC";"2022-03-13";"544.68993001";"520.15955999";"515";"544.97993999";"104955.05385519";"200.50098826";"275";"523.46402262"
"MANA";"2022-03-13";"12.1782";"11.54226";"11.35967001";"12.1782";"132334.04975828";"11238.80592244";"241";"11.77474285"
"MATIC";"2022-03-13";"7.23378";"6.93721999";"6.88673001";"7.23378";"65658.89125848";"9350.58223836";"161";"7.02190404"
"MBCCSH01";"2022-03-13";"100";"100";"100";"100";"1091.46000000";"10.91460000";"5";"100"
"MBPRK01";"2022-03-13";"135";"127.3029";"127.3016";"138";"1792.18136875";"13.60641510";"11";"131.71591161"
"MBPRK03";"2022-03-13";"106.01";"106.01";"106.01";"106.01";"99.27467479";"0.93646519";"1";"106.01"
"MBPRK05";"2022-03-13";"108.9899";"108.9898";"101.0022";"108.9899";"407.93608547";"3.88723836";"3";"104.94239037"
"MBSANTOS01";"2022-03-13";"50";"50";"50";"50";"250.00000000";"5.00000000";"5";"50"
"MBVASCO01";"2022-03-13";"28.34";"28.42";"25.83";"28.43";"1930.86657393";"69.21360495";"24";"27.89721147"
"MC";"2022-03-13";"9.80211";"10.26989";"9.50005";"10.39999";"3581.68167732";"363.91571698";"22";"9.84206372"
"MCO2";"2022-03-13";"52.82525";"52.25";"51.509";"52.82525";"52852.28321447";"1011.82199700";"81";"52.23476399"
"MENGOFT";"2022-03-13";"4.95200999";"4.85025999";"4.84";"5.15794999";"26901.51203504";"5339.55731734";"90";"5.03815399"
"MIR";"2022-03-13";"9.71365";"8.61267999";"8.33114999";"9.96359";"95217.54142998";"10434.08455916";"384";"9.12562485"
"MKR";"2022-03-13";"9036.55999";"8588.17052";"8580.10103";"9036.55999";"5526.50194122";"0.63334250";"22";"8725.92940031"
"NAVIFT";"2022-03-13";"3.42953";"3.71995";"3.42953";"3.71995";"4027.73683139";"1098.62788588";"11";"3.666152"
"NFTOKN01";"2022-03-13";"100";"100";"100";"100";"548.66000000";"5.48660000";"2";"100"
"OGFT";"2022-03-13";"17.29999";"24.40132";"17.29999";"30.5";"725457.21638459";"28344.64033269";"808";"25.59415846"
"OMG";"2022-03-13";"20.63029999";"19.6992";"19.6992";"20.70245";"13919.62802425";"679.69353316";"29";"20.47927094"
"OXT";"2022-03-13";"1.18829";"1.24";"1.12005";"1.3199";"11583.80912997";"9401.11130163";"50";"1.23217444"
"PAXG";"2022-03-13";"10095.3001";"10129.19983999";"10095.3001";"10169.79999";"22215.93461576";"2.19552036";"114";"10118.75590885"
"PERP";"2022-03-13";"20.5";"20.87";"19.55289";"20.91";"12928.80061934";"637.57118364";"49";"20.27820728"
"PFLFT";"2022-03-13";"2.74011";"2.8702";"2.74";"2.9698";"7546.99963289";"2662.29672222";"33";"2.83477028"
"PLA";"2022-03-13";"4.13957999";"4.13720999";"3.8001";"4.1396";"1102.89888249";"276.89455510";"21";"3.98310065"
"POLS";"2022-03-13";"5.76308";"5.67141";"5.50161";"6.19988";"1578.32259996";"268.00369852";"28";"5.88918215"
"PORFT";"2022-03-13";"4.66";"4.5";"4.0575";"4.84995";"3903.56715009";"851.25308669";"25";"4.58567165"
"PSGFT";"2022-03-13";"73.02";"68.59";"68.11";"82.09994";"378943.50324413";"5163.32414549";"420";"73.39138364"
"QNT";"2022-03-13";"594.99999";"596.73958";"550.21304";"596.74";"3961.84880605";"6.76796871";"12";"585.38225807"
"RACA";"2022-03-13";"0.0072";"0.00688";"0.0065";"0.0075";"203919.94805611";"28911183.99294664";"953";"0.00705332"
"RAD";"2022-03-13";"22.03";"22.03001";"21.70005";"23.5369299";"112438.68601722";"5016.98341329";"60";"22.41161206"
"RARI";"2022-03-13";"38.5";"38";"35.35";"40.04";"27092.62890731";"699.37331793";"49";"38.73843655"
