"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-05-10";"535";"549.66504";"520.52521";"612.42999999";"62081.69003990";"108.34871748";"145";"572.98038669"
"ACMFT";"2022-05-10";"20";"21.12207";"19.00007";"24";"5090.74552177";"237.57320121";"51";"21.4281135"
"ADA";"2022-05-10";"3.30172";"3.31663999";"3.10667";"3.62";"460787.95948289";"134951.72358406";"1253";"3.41446516"
"ADS";"2022-05-10";"19.63969";"15.2101";"14.00005";"19.69";"17233.21289899";"1012.93851721";"136";"17.01308875"
"AGIX";"2022-05-10";"0.41999";"0.41479";"0.355";"0.48";"33581.44138055";"78997.58334829";"129";"0.42509454"
"ALCX";"2022-05-10";"242";"232.00708";"224.59512";"253.86523";"8330.24051066";"36.15436411";"37";"230.40760681"
"ALGO";"2022-05-10";"3.17652";"3.09337";"2.89754";"3.3977";"109915.91867030";"34336.80275712";"546";"3.20111104"
"ALICE";"2022-05-10";"19.03637";"19.58838";"18.81019999";"21.61174";"30448.53643744";"1459.41625462";"36";"20.8635037"
"ALLFT";"2022-05-10";"1.16019999";"1.32";"1.16019999";"1.35";"406.67200652";"346.03659533";"19";"1.17522832"
"ALPHA";"2022-05-10";"1.14887";"1.18727999";"0.8501";"1.51";"13042.40332857";"9558.51705883";"119";"1.36447978"
"AMFT";"2022-05-10";"3.1338";"3";"3";"3.76099";"10312.44795859";"3399.33651767";"36";"3.03366492"
"AMP";"2022-05-10";"0.076";"0.07";"0.06784999";"0.08";"32000.83168735";"439302.97474872";"283";"0.07284456"
"ANKR";"2022-05-10";"0.23762";"0.23959";"0.22913";"0.26429999";"134267.58281485";"526923.38205864";"275";"0.25481424"
"ANT";"2022-05-10";"13.52005";"12.10006";"12.1";"14.3";"907.65430315";"69.15653389";"26";"13.12463554"
"APE";"2022-05-10";"44.05983";"47.28391001";"41.50001";"52.6006";"1275231.31324504";"26926.98941519";"1705";"47.35885225"
