"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-07";"956.16994";"962.59423";"930.62";"984.53699";"160274.90365046";"166.79238458";"155";"960.92458929"
"ACMFT";"2022-04-07";"32.14558";"33";"31.90005";"35";"15585.19381465";"458.35258542";"51";"34.00263096"
"ADA";"2022-04-07";"5.05733";"5.2566";"5.00206";"5.38";"326597.99025800";"63033.81419527";"1036";"5.1813141"
"AGIX";"2022-04-07";"0.45";"0.79";"0.45";"0.98";"284864.48539261";"349685.58921417";"1551";"0.81463032"
"ALCX";"2022-04-07";"500";"518.01999";"458.75667";"519.92999";"3293.81587392";"6.70121780";"36";"491.52496937"
"ALGO";"2022-04-07";"3.73669";"3.97829";"3.65005";"4.16";"59460.28580858";"15611.51991036";"607";"3.80874419"
"ALICE";"2022-04-07";"31.25605";"34.70849";"31.25605";"34.70849";"3523.36337439";"106.67866523";"23";"33.02781645"
"ALLFT";"2022-04-07";"2.14001";"2.13201";"2";"2.265";"6444.29131257";"3096.34030214";"47";"2.08126067"
"AMFT";"2022-04-07";"5.24";"5.30999999";"5.24";"5.78499";"320.62208401";"58.06860257";"9";"5.52143619"
"AMP";"2022-04-07";"0.1226";"0.12133";"0.119";"0.12499";"8863.96808003";"72938.72901207";"174";"0.12152622"
"ANKR";"2022-04-07";"0.37001";"0.39029";"0.37001";"0.39146";"78939.13844175";"204774.99076157";"268";"0.38549208"
"ANT";"2022-04-07";"24";"24.79999";"23.61001";"25.24999";"2110.28007803";"86.46399190";"28";"24.40646136"
"APE";"2022-04-07";"54.5734";"54.84034";"50.01";"55.97989";"328197.30358796";"6199.61902897";"792";"52.93830186"
"ARGFT";"2022-04-07";"6.1";"6.1489";"5.70005";"6.2";"1850.87349752";"304.92981945";"11";"6.06983436"
"ASRFT";"2022-04-07";"17.77005";"17.91554";"17.77005";"20.09";"22991.83513349";"1153.95590841";"21";"19.92436189"
"ATMFT";"2022-04-07";"31.5";"30.0113";"30";"32.46";"27272.34559286";"880.69721972";"66";"30.96676699"
"ATOM";"2022-04-07";"126.93228";"133.4899";"126.51";"141.9";"127376.52970479";"951.71156623";"277";"133.83942596"
"AUDIO";"2022-04-07";"6.53494";"6.44935";"6.13082";"6.80999999";"36825.61960233";"5718.69205974";"122";"6.43951785"
"AVAX";"2022-04-07";"396.28";"429.99999";"385.28507";"440.7778";"237151.29831944";"572.25343372";"865";"414.41655802"
"AXS";"2022-04-07";"257.45999999";"263.87748001";"254.58702001";"267.32999";"217107.72882688";"833.43836913";"316";"260.49644085"
"BADGER";"2022-04-07";"40";"48.99295";"39.0011";"60";"231358.63436049";"4870.71688233";"556";"47.49991427"
"BAL";"2022-04-07";"86.8181";"99";"82.73005";"100";"102795.90687457";"1111.41253908";"186";"92.49122468"
"BAND";"2022-04-07";"20.71605";"21.22";"20.56565";"21.22586";"1271.59997650";"60.79349714";"14";"20.91671044"
"BARFT";"2022-04-07";"43.94998";"42.10005";"40.21129";"44.98";"27037.93758287";"617.25110925";"49";"43.80378937"
"BAT";"2022-04-07";"3.64";"3.79356";"3.64";"3.79963";"3303.69778448";"882.92454898";"41";"3.74176682"
"BCH";"2022-04-07";"1584.24157";"1614.90001";"1577.23011";"1628.58999";"77495.42583324";"48.21814249";"346";"1607.18397332"
"BLZ";"2022-04-07";"0.8688";"0.92493";"0.82024";"0.92639";"24704.79359230";"28344.04248695";"182";"0.87160445"
"BNT";"2022-04-07";"12.81197";"12.61639";"11.55";"12.84976";"4343.49837789";"360.70923531";"43";"12.04155023"
"BTC";"2022-04-07";"206372.34386999";"209001.60810851";"205335.04";"209967.98958";"5349711.35152401";"25.70272011";"4657";"208137.94526917"
"CAIFT";"2022-04-07";"2.95035";"2.95";"2.95";"3.03";"945.65577384";"320.22097593";"18";"2.953135"
"CHZ";"2022-04-07";"1.10561";"1.16931";"1.0939";"1.17612999";"549885.78367143";"476316.44740443";"616";"1.15445474"
"CITYFT";"2022-04-07";"70.89344";"75.57004999";"70.89344";"78.47995";"130357.22810387";"1730.10318503";"120";"75.34650489"
"COMP";"2022-04-07";"635.86";"665.86199";"635.86";"669.15698999";"1969.71338640";"3.00128631";"26";"656.28973145"
"CRV";"2022-04-07";"11.72474";"12.30897";"11.62";"12.30897";"29082.88516580";"2407.49986378";"96";"12.08011913"
"CSCONS01";"2022-04-07";"100";"100.0001";"100";"104.4899";"3536.81912084";"35.23092298";"17";"100.38962427"
"CTSI";"2022-04-07";"2.15999";"2.04999";"1.91001";"2.15999";"2248.04688673";"1123.97508132";"60";"2.00008605"
"CVX";"2022-04-07";"166.9";"167.5";"160.00004999";"167.5";"29857.90776270";"180.57329513";"52";"165.35062807"
"DAI";"2022-04-07";"4.75253";"4.78613";"4.72973";"4.80858";"52487.22194945";"10990.63383368";"61";"4.77563193"
"DOGE";"2022-04-07";"0.67726001";"0.71466001";"0.67506001";"0.72";"197311.08176937";"283181.09642898";"1194";"0.69676643"
"DOT";"2022-04-07";"96.50157999";"97.52543001";"86";"101.9999";"150963.65103462";"1570.03086224";"508";"96.15330161"
"DYDX";"2022-04-07";"26.5";"27.00005";"23.1";"29.95";"20891.43398853";"776.70117346";"95";"26.897647"
"ENJ";"2022-04-07";"7.28";"8.05547999";"7.28";"8.23784";"79169.55959182";"10073.63731860";"182";"7.85908377"
"ENS";"2022-04-07";"78.02423";"83.19978999";"77.06401";"83.68989";"2858.21537219";"35.27809561";"40";"81.01954832"
"ETH";"2022-04-07";"15171.99848999";"15666.31351999";"15081.1";"15666.33";"3512121.39486006";"227.73894834";"2461";"15421.69848618"
"FET";"2022-04-07";"2.12968";"2.19";"2.05005";"2.21012";"9215.29375486";"4283.79568417";"53";"2.15119824"
"FIL";"2022-04-07";"106";"107.084";"90.11";"110.20999";"47016.42589216";"456.16948601";"189";"103.06788887"
"GALA";"2022-04-07";"1.06796998";"1.11";"1.03011999";"1.12989999";"93675.12308578";"85934.36484491";"390";"1.09007756"
"GALFT";"2022-04-07";"15.0138";"16.20005";"15.0138";"16.48999999";"3314.74221276";"210.18581786";"11";"15.77053222"
"GALOFT";"2022-04-07";"3.03";"3.13388";"2.85";"3.62";"53415.95290135";"16480.55392168";"222";"3.24115033"
"GNO";"2022-04-07";"1822.2001";"1935.26258";"1822.2001";"2044.49906";"14488.53717767";"7.68799738";"60";"1884.56583184"
"GODS";"2022-04-07";"6.7";"6.25";"5.87888";"6.7";"12561.59619483";"1975.34886438";"62";"6.35917858"
"GRT";"2022-04-07";"1.98706";"2.05311";"1.98434";"2.09103";"44281.33294233";"21842.56115958";"79";"2.02729582"
"ICP";"2022-04-07";"91.49042999";"93.83998999";"80";"94";"48683.44073902";"539.04563736";"190";"90.31413551"
"ILV";"2022-04-07";"2826.71999";"2927.01508";"2780.00006";"2966.84999";"12581.50094048";"4.36431842";"81";"2882.81003577"
"IMOB02";"2022-04-07";"100";"100";"100";"100";"300.00000000";"3.00000000";"2";"100"
"IMX";"2022-04-07";"9.52521";"10.45001";"9.52521";"12.0325";"18799.91913024";"1806.34288698";"87";"10.4077245"
"INTERFT";"2022-04-07";"30.55691";"34.78989";"30.55691";"34.89982";"1130.49610435";"35.94402460";"11";"31.45157274"
"JUVFT";"2022-04-07";"29";"31.51";"28.0001";"31.52";"2828.19716294";"95.05537812";"29";"29.75315251"
"KEEP";"2022-04-07";"2.70243";"2.97";"2.58";"2.97";"7819.25116421";"2692.07425304";"94";"2.90454513"
"KNC";"2022-04-07";"14.95239";"16.05108999";"14.68471";"16.38";"39681.39808192";"2524.50352331";"88";"15.71849582"
"KP3R";"2022-04-07";"2075.90014";"2337";"2075.90014";"2337";"2852.06344707";"1.27145792";"23";"2243.14419077"
"LDO";"2022-04-07";"18.08001";"19.37999";"18.00001";"19.45";"17838.42217973";"935.23754722";"112";"19.07368051"
"LINK";"2022-04-07";"73.41269";"76.15519999";"72.88735";"85";"570894.64762779";"7494.56808334";"266";"76.17445612"
"LPT";"2022-04-07";"113.90821702";"113.90821702";"110.00175";"113.90821702";"1286.23602058";"11.31655198";"10";"113.65971038"
"LQTY";"2022-04-07";"13.1499";"12.3997";"10.8";"13.1598";"24274.03218310";"2106.61694910";"182";"11.52275557"
"LRC";"2022-04-07";"4.98989";"4.97668";"4.73";"4.98989";"7103.74210783";"1482.45787452";"41";"4.79186776"
