"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-22";"834.94041";"848.40705";"819.65396";"853.44194";"63246.13281804";"75.68592317";"86";"835.63931268"
"ACMFT";"2022-04-22";"27.5";"29.59644";"26.28";"30.78999";"3244.48485861";"118.03447818";"46";"27.48760284"
"ADA";"2022-04-22";"4.26352";"4.32000001";"4.248052";"4.39990999";"168241.54081186";"38847.72731481";"635";"4.33079493"
"AGIX";"2022-04-22";"0.69102";"0.71879";"0.673";"0.7201";"6691.14264626";"9605.72657684";"185";"0.6965785"
"ALCX";"2022-04-22";"369.09";"360.99026";"356.04128";"371";"3785.42763352";"10.31727197";"42";"366.90199158"
"ALGO";"2022-04-22";"3.393";"3.49";"3.3";"3.65";"23264.99325271";"6785.26104170";"346";"3.42875434"
"ALICE";"2022-04-22";"30.04";"30.89122";"30.01005";"32.99481";"6018.55214566";"194.33033859";"23";"30.97072844"
"ALLFT";"2022-04-22";"1.75999";"1.77373";"1.75529";"1.81217";"45.17819791";"25.37117651";"10";"1.7806899"
"AMFT";"2022-04-22";"4.55001";"4.61672";"4.55001";"4.976";"506.19588910";"103.22149215";"14";"4.90397763"
"AMP";"2022-04-22";"0.10907";"0.10705";"0.10125";"0.1193";"83211.85859506";"743719.44353495";"375";"0.11188608"
"ANKR";"2022-04-22";"0.35846";"0.36621";"0.35846";"0.38149";"128775.39519773";"350516.25788960";"210";"0.36738779"
"ANT";"2022-04-22";"20.03006";"19.84589";"17.9371";"21.86948";"10615.39769883";"494.76048701";"33";"21.45562949"
"APE";"2022-04-22";"66.3883";"76.50582998";"64.08895";"77.5656";"760872.46196970";"10727.04207095";"1305";"70.93031396"
"ARGFT";"2022-04-22";"5.6899";"5.55";"5.55";"5.6899";"44.60989984";"7.95155489";"6";"5.61021089"
"ASRFT";"2022-04-22";"16.02";"16.98488";"16.00005";"16.98488";"331.12411386";"20.56374852";"10";"16.10232266"
"ATMFT";"2022-04-22";"24.1";"24.98995";"23.00005";"25";"27257.15549457";"1125.30950678";"26";"24.22191879"
"ATOM";"2022-04-22";"109.4246";"110.9952";"91.00005";"116.7689";"95244.15943330";"896.40095774";"261";"106.25173769"
"AUDIO";"2022-04-22";"5.94921";"5.67";"5.56678001";"6.01999999";"10799.46304490";"1886.12743259";"69";"5.72573351"
"AVAX";"2022-04-22";"364";"356.0471";"353.78";"369.88";"79059.94294078";"219.28004453";"420";"360.54326379"
"AXS";"2022-04-22";"213.32780999";"219.20101";"213.32780999";"223.24089999";"130138.44837012";"592.45563274";"179";"219.65939925"
"BADGER";"2022-04-22";"42.88756999";"41.90903999";"38.00806";"42.89999";"1941.79845354";"47.70337360";"47";"40.70568404"
"BAL";"2022-04-22";"72.46225";"72.50494999";"72.02873";"73.84990999";"4989.20772552";"68.05461492";"12";"73.31182068"
"BAND";"2022-04-22";"17.4135";"18.17449999";"17.3148";"18.40945";"9376.57184807";"530.04908828";"29";"17.69000655"
"BARFT";"2022-04-22";"28.8";"30.29";"28.79";"30.55";"11582.81576531";"387.21392383";"36";"29.91322122"
"BAT";"2022-04-22";"3.59301";"3.56";"3.51781";"3.65268";"18221.36984226";"5123.78163137";"38";"3.55623466"
"BCH";"2022-04-22";"1516.64023";"1545.46109";"1491.69152";"1559.43993";"86654.62960495";"56.71231299";"376";"1527.96853163"
"BLZ";"2022-04-22";"0.76979";"0.74022";"0.71595";"0.78";"11242.54259679";"15093.69654532";"105";"0.74485018"
"BNT";"2022-04-22";"10.87999";"10.85732";"10";"10.87999";"1067.91565668";"100.88655589";"28";"10.58531186"
"BTC";"2022-04-22";"188973";"190716.59458";"187581.35569";"191999.99999999";"4898187.74200845";"25.74234122";"3426";"190277.47710075"
"CAIFT";"2022-04-22";"2.8";"2.77879";"2.75";"2.948";"160.29278247";"57.49738317";"12";"2.78782743"
"CHZ";"2022-04-22";"1.04184";"1.05816001";"1.0265";"1.06979998";"262781.75710187";"249259.93299955";"408";"1.05424788"
"CITYFT";"2022-04-22";"68.81348";"67.71795";"66.6601";"70.48999999";"52824.66383504";"779.97590175";"68";"67.7260204"
