"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-02-24";"626.16306999";"648.42963";"570.01707";"668.3078";"95859.26023348";"157.55191477";"234";"608.42967458"
"ACMFT";"2022-02-24";"20.50067";"21.19";"16.00005";"21.49994";"3202.99182666";"163.16889073";"27";"19.62991727"
"ADA";"2022-02-24";"4.23005001";"4.44999999";"3.6021";"4.59999999";"1756794.64502287";"431669.10424051";"2701";"4.06977156"
"ALCX";"2022-02-24";"633.333";"576.82921";"484.01261";"710.85902";"11685.58133169";"20.07005984";"58";"582.23948632"
"ALGO";"2022-02-24";"3.85";"4.06993";"2.02999999";"4.84999999";"158712.90481101";"43115.27992909";"581";"3.68112894"
"ALICE";"2022-02-24";"36.31772";"35.96432999";"30.02013";"36.31781";"43844.31963486";"1295.16636116";"90";"33.85226867"
"ALLFT";"2022-02-24";"2.05004";"2.1";"1.80005";"2.1999";"11853.76455400";"5742.55745422";"46";"2.06419607"
"AMFT";"2022-02-24";"5.28895";"4.52647";"4.42448";"5.28899999";"921.89190564";"200.27113462";"17";"4.60321906"
"AMP";"2022-02-24";"0.14479";"0.14419";"0.10586";"0.14602";"104390.86365196";"838253.87704048";"440";"0.1245337"
"ANKR";"2022-02-24";"0.29171";"0.31933";"0.25849";"0.31933";"568223.09501332";"2048678.94514038";"687";"0.27736073"
"ARGFT";"2022-02-24";"7.5";"7.9999";"6.46";"8";"627.98898839";"84.99304405";"13";"7.38871039"
"ASRFT";"2022-02-24";"12.01487";"13.21";"11.40005";"13.98795";"856.08880766";"65.58589985";"22";"13.05293987"
"ATMFT";"2022-02-24";"22.75";"23.16";"19.0001";"24.6999";"15299.43423728";"709.69494019";"50";"21.55776147"
"ATOM";"2022-02-24";"125.00093";"127.01367";"82.02";"132.89994999";"383895.77599239";"3293.64997436";"762";"116.55633688"
"AUDIO";"2022-02-24";"3.9";"4.07742999";"3.20301001";"4.08909999";"45149.56209875";"12579.97311134";"144";"3.58900306"
"AVAX";"2022-02-24";"365.05758";"400";"300.00321";"409.98927";"596303.53840386";"1655.75200960";"1776";"360.14060979"
"AXS";"2022-02-24";"242";"252.60480001";"211.62314001";"256.427";"518861.06725584";"2260.68614198";"827";"229.51486171"
"BAL";"2022-02-24";"56.84274";"61.78739";"53.16367";"61.78739";"13208.93666737";"234.90294647";"34";"56.23146438"
"BAND";"2022-02-24";"17.89999999";"18.22171";"15.95";"18.553";"17363.31653670";"992.15252137";"64";"17.50065253"
"BARFT";"2022-02-24";"27.99993";"28";"20.11";"28";"32341.90673416";"1321.62313765";"81";"24.4713533"
"BAT";"2022-02-24";"3.2";"3.4626";"2.89077";"3.47396";"41848.59322453";"13431.28104721";"145";"3.1157559"
"BCH";"2022-02-24";"1422";"1571.56999";"1308.51";"1600";"744325.85175169";"529.36402800";"687";"1406.07561598"
"BLZ";"2022-02-24";"0.86793";"0.87995";"0.66507";"0.87995";"64760.52289805";"85039.56579376";"320";"0.76153402"
"BNT";"2022-02-24";"11.018";"11";"8.42";"13.2";"17561.00709723";"1677.07060490";"101";"10.47123898"
"BTC";"2022-02-24";"182700";"199793.20767";"173600.01461001";"201267.23";"26730294.91227331";"145.38506738";"14365";"183858.59974468"
"CAIFT";"2022-02-24";"2.87";"2.51865";"2.11";"3.05999";"8161.80815840";"3232.21311727";"74";"2.52514542"
