"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-05-07";"695.76661";"656.00001";"656.00001";"710.315";"22107.61361064";"32.27671255";"65";"684.94006557"
"ACMFT";"2022-05-07";"26.52294";"26.51001";"26.5";"30.48";"35784.29169386";"1240.59294606";"53";"28.84450682"
"ADA";"2022-05-07";"4";"3.86171";"3.78000001";"4.03895999";"128680.52110668";"32890.18716642";"659";"3.91242897"
"ADS";"2022-05-07";"18.29985";"18.25005";"18.23004999";"20.98593";"4812.77428441";"239.70715438";"46";"20.07772482"
"AGIX";"2022-05-07";"0.55";"0.47078";"0.4201";"0.55";"5521.92912593";"11209.23439383";"97";"0.49262321"
"ALCX";"2022-05-07";"287.849";"323.99";"250.23";"334.97999";"4620.15416361";"15.88225294";"72";"290.9004271"
"ALGO";"2022-05-07";"3.47";"3.80582";"3.36";"3.989";"173815.91340198";"45902.87243277";"1198";"3.7866021"
"ALICE";"2022-05-07";"22.83102";"23.20564";"22.83102";"26.42372";"2004.46814401";"82.82960711";"23";"24.19989921"
"ALLFT";"2022-05-07";"1.54";"1.3911";"1.3911";"1.55";"11484.50770098";"7776.64773390";"47";"1.47679412"
"ALPHA";"2022-05-07";"1.43957";"1.3001";"1.2707";"1.4397";"3166.00220117";"2242.60547412";"124";"1.41175174"
"AMFT";"2022-05-07";"3.84999";"3.72";"3.72";"3.84999";"433.80924076";"116.50388938";"14";"3.72356015"
"AMP";"2022-05-07";"0.09589";"0.09379";"0.075";"0.09589";"20559.09660863";"239994.44546714";"162";"0.08566488"
"ANKR";"2022-05-07";"0.29670999";"0.27792";"0.27605";"0.29789";"58968.64239101";"202801.31550533";"448";"0.29077051"
"ANT";"2022-05-07";"15.13031";"15.05001";"15.05001";"17.27989";"385.55444102";"24.18126304";"23";"15.94434667"
"APE";"2022-05-07";"66.4401";"61.65741998";"60.57001";"67.94559999";"452829.21845370";"7067.04353763";"804";"64.07618915"
"ARGFT";"2022-05-07";"4.57998999";"4.88999999";"4.11219999";"4.94";"2933.61671127";"620.65739503";"20";"4.72662814"
"ASRFT";"2022-05-07";"15.16999";"13.23001";"13.01001";"15.16999";"534.89383417";"38.61828042";"12";"13.85079367"
"ATMFT";"2022-05-07";"21.9984";"20.00001";"20";"21.99944";"5620.93994941";"271.46382795";"14";"20.70603657"
