"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-04-08";"963.352";"865.192";"865.192";"1049.95746";"232958.02720991";"257.27508049";"191";"905.48228287"
"ACMFT";"2022-04-08";"33.79519";"31.21744";"30.59822";"34.79954";"12708.70921196";"395.63110482";"49";"32.12262397"
"ADA";"2022-04-08";"5.26";"4.91289998";"4.832001";"5.5";"371088.44025880";"72808.42982875";"1086";"5.0967785"
"AGIX";"2022-04-08";"0.79";"0.80964";"0.70017";"0.8899";"123900.28908432";"154849.60129678";"738";"0.80013308"
"ALCX";"2022-04-08";"490.2952";"440.69";"435.00009";"600";"28021.54363684";"57.34786784";"120";"488.62398363"
"ALGO";"2022-04-08";"3.81182";"3.7346";"3.6";"3.97399";"44728.92288076";"11943.45239909";"500";"3.74505807"
"ALICE";"2022-04-08";"33.83347";"32.2173";"30.04005";"33.83347";"14160.40799346";"442.74288237";"43";"31.98336677"
"ALLFT";"2022-04-08";"2.2";"2.06999999";"2.05005";"2.2";"944.21421068";"449.53164407";"12";"2.10043992"
"AMFT";"2022-04-08";"5.32";"5.79";"3.9";"5.79";"15077.23571229";"3016.10312573";"65";"4.99891253"
"AMP";"2022-04-08";"0.12263";"0.11572";"0.11405";"0.13";"60860.89579924";"501375.25497449";"234";"0.12138791"
"ANKR";"2022-04-08";"0.39029";"0.3669";"0.3608";"0.39093";"39584.66310584";"105064.89664301";"231";"0.37676392"
"ANT";"2022-04-08";"24.79529";"24.01329";"22.5";"24.79529";"10021.33165259";"433.23362815";"38";"23.13147226"
"APE";"2022-04-08";"54.99";"51.45";"50.03036";"55";"279979.97187389";"5275.29153082";"582";"53.07383871"
"ARGFT";"2022-04-08";"6.12241";"6.0999";"5.66";"6.39979";"13466.49788497";"2250.64034999";"48";"5.98340729"
"ASRFT";"2022-04-08";"19.20615";"17.5";"17.5";"19.42867";"23240.57290968";"1298.66780691";"30";"17.89570264"
"ATMFT";"2022-04-08";"31.5";"29.5";"29.3509";"33.49989999";"29954.44396993";"972.20829608";"67";"30.81072656"
"ATOM";"2022-04-08";"132.07284";"126";"126";"139.94999";"53373.32689491";"402.14540836";"304";"132.72146289"
"AUDIO";"2022-04-08";"6.4499";"5.81458999";"5.01011999";"6.45";"45333.97991288";"7905.12497086";"145";"5.73475815"
"AVAX";"2022-04-08";"423.014";"402.58432";"396.88";"433.9999";"201902.91875462";"484.62452219";"762";"416.61721499"
"AXS";"2022-04-08";"265";"242.12854";"238.28";"281.00349999";"358697.87463520";"1422.64434254";"526";"252.1346087"
"BADGER";"2022-04-08";"48.99295";"41.99035";"41.99035";"49.49";"59739.17866185";"1294.34256065";"213";"46.15407116"
"BAL";"2022-04-08";"99.61479";"97.86066";"94.81295";"104.50299";"68250.18717895";"694.58116640";"118";"98.26092396"
"BAND";"2022-04-08";"21.07813";"19.26";"19.19159";"21.07813";"7035.11265543";"353.43679774";"29";"19.90486757"
