"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-02-04";"818.245";"889.73609";"813.199";"911.76397";"68094.43791586";"77.79808997";"180";"875.27133303"
"ACMFT";"2022-02-04";"22.30416";"22.73867";"21.40363";"23.99994";"13699.82270907";"608.99340580";"41";"22.49584737"
"ADA";"2022-02-04";"5.64160834";"6.08";"5.61006";"6.11999999";"951372.64920012";"161688.38931754";"1771";"5.88398866"
"ALCX";"2022-02-04";"863.27644688";"949.82006";"841.3535";"990";"60195.47441101";"64.69902689";"166";"930.3922687"
"ALGO";"2022-02-04";"4.95328";"5.38005";"4.93924";"5.55";"166433.11426600";"31706.04894886";"625";"5.24925431"
"ALICE";"2022-02-04";"36.31";"40.05914";"35.73555";"40.05914";"48496.87471164";"1279.95951118";"118";"37.88938188"
"ALLFT";"2022-02-04";"2.64";"2.65";"2.43005";"2.65";"3746.55421568";"1442.83764515";"32";"2.59665682"
"AMFT";"2022-02-04";"5.63";"5.98";"5.21005";"6.3999";"2943.77510394";"515.90889992";"41";"5.7059979"
"AMP";"2022-02-04";"0.161309";"0.16697999";"0.15334999";"0.168";"35105.53201585";"214891.78779706";"491";"0.16336376"
"ANKR";"2022-02-04";"0.42";"0.4494";"0.41256";"0.45573";"175892.00654650";"404995.10011020";"414";"0.4343065"
"ARGFT";"2022-02-04";"10.15";"10.0999";"9.01";"10.15";"7231.09071457";"772.06840609";"32";"9.36586791"
"ASRFT";"2022-02-04";"16.6997";"17.47994999";"16.21408999";"17.52";"9276.06919772";"532.66684033";"23";"17.41439206"
"ATMFT";"2022-02-04";"28.21";"29.51183";"27.18292";"29.9";"75292.32664766";"2644.83437771";"76";"28.46769056"
"ATOM";"2022-02-04";"159.46";"168.74";"145.07";"170";"564126.51585601";"3470.92829338";"750";"162.52900324"
"AUDIO";"2022-02-04";"4.96856999";"5.31137001";"4.75";"5.6";"99067.64792191";"19008.10897470";"151";"5.21186237"
"AVAX";"2022-02-04";"365.96655";"414.67025";"362.94";"435";"692815.43663910";"1734.74202735";"1418";"399.37663682"
"AXS";"2022-02-04";"258.54983999";"285.13";"255";"285.13";"532362.10325401";"1969.11477088";"632";"270.35605599"
"BAL";"2022-02-04";"67";"72.30191";"67";"72.98283";"10119.66208621";"145.04840777";"40";"69.76748136"
"BAND";"2022-02-04";"18.2668";"20.43235";"18.2668";"20.8937";"41249.00629737";"2074.92330807";"114";"19.87977393"
"BARFT";"2022-02-04";"32.26";"34.4064";"32.1";"34.54999999";"25419.38108888";"752.36515473";"46";"33.78596274"
"BAT";"2022-02-04";"4.41005";"4.95";"4.41005";"4.95";"90870.50886689";"19636.44671204";"107";"4.62764522"
"BCH";"2022-02-04";"1492.97";"1634.34999";"1485.56";"1652.98999";"367775.11923830";"229.51911395";"631";"1602.37251228"
"BNT";"2022-02-04";"14.02";"16.7";"10.24";"18.5";"62998.69596608";"4104.12364224";"283";"15.35009699"
"BTC";"2022-02-04";"199726.04";"222108.3118873";"198655";"224799.99";"21965543.31923393";"102.87824776";"10961";"213510.08398273"
"CAIFT";"2022-02-04";"3.37055";"3.46655";"3.36";"3.67989";"1618.82950545";"467.47424474";"43";"3.46292768"
