"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-05-12";"401.149";"417.22903";"333.4379";"428.95001";"231715.36169669";"589.26713658";"257";"393.22634389"
"ACMFT";"2022-05-12";"14";"14.9999";"11.15005";"17";"5158.61268026";"383.26214391";"80";"13.4597501"
"ADA";"2022-05-12";"2.51907";"2.73739998";"2.04999999";"4.2";"1072180.38334908";"430038.87677815";"2086";"2.49321733"
"ADS";"2022-05-12";"14";"13.99977";"7.81001";"14";"2872.59851251";"234.65737613";"52";"12.24167149"
"AGIX";"2022-05-12";"0.32823999";"0.3501";"0.3";"0.39979";"21824.96156741";"67400.49682147";"136";"0.32381009"
"ALCX";"2022-05-12";"164.40705";"155.46399";"144.66999999";"164.40705";"15453.73300496";"100.21621784";"59";"154.20391367"
"ALGO";"2022-05-12";"2.24742";"2.38994999";"1.89485";"2.4";"51849.49320820";"24144.12239076";"811";"2.1474996"
"ALICE";"2022-05-12";"12.01975";"11.89539";"9.98";"12.46054";"61649.32849884";"5473.37581935";"119";"11.26349268"
"ALLFT";"2022-05-12";"1.39";"1.1";"0.55";"1.68";"7024.58405591";"7236.12183155";"74";"0.97076641"
"ALPHA";"2022-05-12";"0.8436";"0.65281999";"0.46015";"0.9";"1379.42110879";"1771.21709775";"89";"0.77879843"
"AMFT";"2022-05-12";"3.76999";"2.15";"1.8";"6.5798";"33338.12011448";"7167.01862775";"126";"4.65160227"
"AMP";"2022-05-12";"0.05876";"0.06042";"0.05";"0.07";"34814.73234934";"573481.86302935";"325";"0.06070764"
"ANKR";"2022-05-12";"0.16";"0.17665";"0.13";"0.17665";"123251.60989300";"782251.24795026";"471";"0.15756013"
"ANT";"2022-05-12";"6.85";"9.48999";"6.00005";"9.97993999";"2649.15217009";"291.49395687";"38";"9.08818899"
"APE";"2022-05-12";"30.93829002";"42.07142";"28";"46.23";"2945809.79177348";"75282.57257183";"3056";"39.13003622"
"ARGFT";"2022-05-12";"3.3";"3.14999";"2.4467";"3.79987";"8108.15263264";"2966.35575715";"56";"2.73337161"
"ASRFT";"2022-05-12";"8.49799";"7.58388";"6.23005";"9.49999";"4324.40972249";"592.12138706";"63";"7.30324865"
"ATMFT";"2022-05-12";"11";"13.2";"10.03004999";"18";"14403.60389035";"1217.85684922";"90";"11.82700897"
"ATOM";"2022-05-12";"51.0808";"50.8434";"45";"54.5";"79442.23254876";"1655.66569086";"314";"47.98204914"
"AUDIO";"2022-05-12";"2.08131999";"2.36261";"1.735";"2.67999";"38501.98959279";"18832.76267873";"199";"2.04441537"
"AVAX";"2022-05-12";"156.90584";"164.413";"120.00001";"175.368";"277292.33279032";"1826.55860588";"700";"151.81135272"
"AXS";"2022-05-12";"100.22789";"107.394";"88.72441";"122.92596";"394131.51647584";"3710.64942101";"525";"106.21631735"
"BADGER";"2022-05-12";"19.60001";"18.11171999";"14.55";"31.29993";"16079.33003715";"633.13512170";"56";"25.39636404"
"BAL";"2022-05-12";"49.19633";"45.0409";"41.59196";"100";"99270.40717745";"2179.04560771";"141";"45.55682856"
"BAND";"2022-05-12";"8.56";"8.42137999";"7";"8.59708";"33038.01046289";"4146.41152299";"72";"7.96785612"
"BARFT";"2022-05-12";"14.5009";"14.98969";"12.45";"18.09988";"13204.19127222";"937.89323718";"82";"14.07856539"
"BAT";"2022-05-12";"1.77535";"1.96015";"1.58894";"2.54999999";"9580.31330733";"5374.48848178";"68";"1.78255351"
"BCH";"2022-05-12";"976.14698";"1078.31000999";"805.405";"1172.04";"504034.40019198";"499.62242413";"873";"1008.83062058"
"BLZ";"2022-05-12";"0.30428";"0.31999";"0.2601";"0.39569";"18245.97937245";"60324.92162879";"122";"0.30246171"
"BNT";"2022-05-12";"7.12";"6.72006";"6.72005";"7.69864";"1075.43797931";"153.61523013";"26";"7.00085517"
"BTC";"2022-05-12";"149109.79416146";"155578.94323842";"135007.00181746";"155895.78050776";"26820783.98749917";"183.24830574";"13157";"146363.06665532"
"CAIFT";"2022-05-12";"1.8";"1.7";"1.19";"1.99998";"888.61812727";"650.61983952";"33";"1.36580238"
"CHZ";"2022-05-12";"0.52115";"0.53863998";"0.44";"0.56605";"1367500.36998030";"2702406.34000599";"1719";"0.50603062"
"CITYFT";"2022-05-12";"22";"24";"15.5";"24.39735";"22760.32833060";"1061.63874682";"88";"21.43886364"
"COMP";"2022-05-12";"328.97098";"327.05399999";"273.57";"342.32";"96813.63603842";"301.33798216";"67";"321.27923385"
"CRV";"2022-05-12";"7.2";"7.11575";"5.66";"7.5";"334846.63912087";"50379.61892542";"278";"6.64647026"
"CSCONS01";"2022-05-12";"103";"100";"100";"103";"372.50700234";"3.69594381";"3";"100.78805888"
"CSCONS02";"2022-05-12";"100.348467";"100.348467";"100.348467";"100.348467";"7200.22106420";"71.75217798";"18";"100.348467"
"CTSI";"2022-05-12";"1.07919";"0.85501";"0.85011";"1.07919";"1024.42654882";"1064.21356742";"37";"0.96261369"
"CVX";"2022-05-12";"74.50005";"72.59777";"40.7778";"82.15929";"58970.27177193";"879.67722379";"119";"67.03626077"
"DAI";"2022-05-12";"5.1935";"5.19";"5.13654";"5.54842";"214891.04576656";"40999.33325552";"148";"5.24133025"
"DIA";"2022-05-12";"2.6001";"1.66005";"1.66005";"2.9899";"6619.21675898";"3204.80219331";"138";"2.06540571"
"DOGE";"2022-05-12";"0.42738";"0.46148999";"0.36761335";"0.46719";"278285.24861356";"663646.66481642";"1418";"0.41932742"
"DOT";"2022-05-12";"44.72215";"50.89999";"39";"50.9";"223008.31943587";"5099.84410518";"715";"43.72845813"
"DYDX";"2022-05-12";"9.87001";"9.87825";"8.13279";"12.36763";"4987.07897736";"538.09251149";"65";"9.26806984"
"ENJ";"2022-05-12";"3.01635";"3.33576";"2.5";"3.34";"242198.06634703";"81621.09975152";"258";"2.96734627"
"ENS";"2022-05-12";"46.42599";"50.82635";"38.7521";"87.51";"47658.09005157";"991.45597703";"192";"48.0687909"
"ETH";"2022-05-12";"10628.81920999";"10639.52";"9000";"11500";"13160617.40880553";"1309.58733668";"7423";"10049.43850646"
"FARM";"2022-05-12";"265.2296";"143.08501999";"114.26837";"265.2296";"1181.79430109";"7.23608811";"18";"163.31950124"
"FET";"2022-05-12";"0.73005";"0.75001";"0.71365";"1.04999";"3219.20145977";"3769.86467905";"67";"0.85393024"
"FIL";"2022-05-12";"41.50016999";"42.74196";"36";"66";"26115.96953088";"641.12632404";"105";"40.73451448"
"GALA";"2022-05-12";"0.32051";"0.3894";"0.261";"0.4299";"200220.76926184";"587172.90193858";"814";"0.34099116"
"GALFT";"2022-05-12";"9.022";"8.5";"8.5";"9.89971";"5137.59981812";"556.09326023";"32";"9.23873779"
"GALOFT";"2022-05-12";"1.23313";"1.4885";"1.17";"1.68217";"4490.53752678";"3510.78621122";"80";"1.27906892"
"GHST";"2022-05-12";"8.52009999";"8.0204";"8.00015";"8.72059";"5195.37893994";"631.88243522";"39";"8.22206576"
"GNO";"2022-05-12";"1229.98719";"915.74459";"610.01";"1229.9872";"17213.15875080";"16.74479533";"69";"1027.9706865"
"GODS";"2022-05-12";"1.61909";"1.49011";"1.14999999";"1.98";"3610.84818305";"2280.85011397";"88";"1.58311506"
"GRT";"2022-05-12";"0.7512";"0.73284";"0.6342";"0.75413";"153195.35813523";"219910.93804523";"252";"0.69662454"
"HOT";"2022-05-12";"0.0158";"0.0152";"0.011";"0.02";"21497.40410480";"1378016.72431647";"417";"0.01560024"
"ICP";"2022-05-12";"36";"47.49";"31.91633";"47.5";"40131.35541521";"1117.91268405";"215";"35.89847041"
"ILV";"2022-05-12";"1550.00001";"1489.12747";"1111.11004";"1799.14316";"7014.40653280";"5.43665646";"54";"1290.20595367"
"IMX";"2022-05-12";"4.0001";"4.64989999";"3.11103";"5.13974";"8114.31082068";"1989.52110053";"75";"4.07852463"
"INTERFT";"2022-05-12";"12.60019";"13.05";"12.58";"17.99999";"2230.19201115";"164.89421254";"27";"13.52498657"
"JASMY";"2022-05-12";"0.075";"0.0581";"0.04";"0.0776";"15307.67304473";"275124.79455590";"308";"0.05563901"
"JUVFT";"2022-05-12";"12.05";"12.56739";"10";"14";"5708.37559570";"527.71293827";"47";"10.81719848"
"KEEP";"2022-05-12";"1.15999999";"1.77984";"1.00001";"1.98";"10233.98161857";"6972.73356894";"119";"1.46771442"
"KNC";"2022-05-12";"6.986";"7.51682";"5.83";"7.54317";"36783.78915686";"5626.92320108";"116";"6.53710524"
"KP3R";"2022-05-12";"1098.6242";"678.999";"525.36258";"1098.6242";"13884.03657726";"21.46247999";"80";"646.89805575"
"LDO";"2022-05-12";"7.35094";"8.09999";"6.8501";"8.97918";"9492.47118930";"1270.57483944";"52";"7.47100516"
"LINK";"2022-05-12";"34.43";"35.86867";"28.4";"36.24398999";"461271.57190669";"13666.70990475";"566";"33.75147165"
"LOOKS";"2022-05-12";"4.49986";"4.49999";"2.85";"5.8998";"10070.51570325";"2252.75993869";"128";"4.4703013"
"LPT";"2022-05-12";"70.0001";"57.3322";"52";"80.14999";"2068.65694636";"29.72958522";"22";"69.58243551"
"LQTY";"2022-05-12";"4.7";"5.60211";"3.63124";"8.4";"13207.54967114";"1988.62717280";"140";"6.64154138"
"LRC";"2022-05-12";"2.03076";"2.25779";"1.78626";"2.33605999";"10624.68122984";"5381.35747889";"47";"1.97434964"
"LTC";"2022-05-12";"333.183";"346.87699";"276.52002";"350.53999";"509503.93501742";"1565.25720787";"812";"325.50812253"
"MANA";"2022-05-12";"3.90118";"4.1425";"3.15747";"4.28";"395665.72108152";"104439.90473863";"650";"3.78845348"
"MATIC";"2022-05-12";"3.33056";"3.39935";"2.55001";"3.48233999";"198840.63254644";"64609.33047060";"369";"3.07758385"
"MBCCSH02";"2022-05-12";"112.05";"102.98";"102.98";"112.05";"2373.32172839";"21.90939352";"8";"108.32439182"
"MBCCSH03";"2022-05-12";"100";"100";"100";"100";"50296.68000000";"502.96680000";"6";"100"
"MBPRK01";"2022-05-12";"125.2";"125.2";"125.2";"136.5984";"1026.40599084";"7.86488421";"6";"130.50490807"
"MBPRK06";"2022-05-12";"104.36";"104.35";"100";"104.36";"456.33833006";"4.39209935";"4";"103.89981958"
"MBPRK07";"2022-05-12";"106.42";"114.9";"106.42";"115";"839.61318183";"7.60915597";"5";"110.34248544"
"MBSANTOS01";"2022-05-12";"50";"50";"50";"50";"659.99999950";"13.19999999";"14";"50"
"MBVASCO01";"2022-05-12";"17.94";"12.37";"12.34";"17.94";"2176.74930399";"133.63210289";"21";"16.28911958"
"MC";"2022-05-12";"5.38543";"5.64322";"3.21001";"6.11884";"429.46216112";"80.78782682";"21";"5.31592664"
"MCO2";"2022-05-12";"33.33";"33.1179";"30";"37.5";"113629.97414687";"3507.96052983";"156";"32.39203325"
"MENGOFT";"2022-05-12";"1.58898";"1.3798";"1.25";"1.8";"23426.63754195";"17017.65718754";"230";"1.37660767"
"METIS";"2022-05-12";"150.00899";"178";"80.00001";"185.98998";"3310.60435995";"26.28038382";"50";"125.97245088"
"MIR";"2022-05-12";"2.71999";"2.29999";"1.24584";"2.71999";"14288.89984747";"7877.31433458";"123";"1.81393038"
"MKR";"2022-05-12";"5280";"8139.95";"4861.00211";"8145.64";"49975.57222412";"7.74596767";"128";"6451.81781711"
"MPL";"2022-05-12";"118.9503";"129.05985";"80";"161";"2491.65578584";"22.05227914";"53";"112.98858363"
"NAVIFT";"2022-05-12";"2.08998999";"1.75";"1.13999999";"2.08998999";"1111.76691947";"724.16857177";"34";"1.53523221"
"NFTOKN01";"2022-05-12";"100";"100";"100";"100";"200.00000000";"2.00000000";"1";"100"
"OCEAN";"2022-05-12";"1.1";"1.09";"0.85";"1.14989999";"2973.82510066";"2665.46023753";"34";"1.11568916"
"OGFT";"2022-05-12";"7.33013";"6.3798";"6";"9";"10736.25566742";"1650.70920614";"81";"6.50402604"
"OGN";"2022-05-12";"1.37737";"1.0205";"0.82501";"1.37933";"6743.22938524";"5675.03635431";"66";"1.18822664"
"OMG";"2022-05-12";"11.87442";"12.55133";"10.01";"13.2997464";"123263.51459270";"10161.23408822";"185";"12.13076222"
"OPUL";"2022-05-12";"1.49961";"0.93";"0.9";"1.54109";"12208.80168477";"11264.30473981";"86";"1.08384866"
"OXT";"2022-05-12";"0.5002";"0.44001";"0.37005";"0.63908";"6654.02706365";"11936.38018026";"50";"0.5574577"
"PAXG";"2022-05-12";"9643.67946999";"9461.23000999";"9418.06";"9750";"97212.46565074";"10.17540468";"360";"9553.6707097"
"PERP";"2022-05-12";"6.61";"5.50001";"5.00005";"8.56777";"1092.08137880";"186.36875075";"25";"5.85978805"
"PFLFT";"2022-05-12";"1.378";"1.22998999";"0.7201";"1.378";"4203.55480752";"4304.35122776";"38";"0.97658266"
"PLA";"2022-05-12";"2.79562";"1.70001";"1.57";"2.79562";"4583.46263269";"2539.42579634";"52";"1.80492087"
"POLS";"2022-05-12";"3.749";"3.3";"2.67";"4.69998999";"13018.31810048";"4076.23361026";"42";"3.19371246"
"PORFT";"2022-05-12";"1.80091";"1.99852";"1.61";"2.23218";"8204.03095515";"4535.12392204";"45";"1.80899818"
"POWR";"2022-05-12";"1.5";"0.91";"0.61";"1.8499";"15616.00936584";"12885.06437691";"143";"1.21194655"
"PSGFT";"2022-05-12";"23.23";"24.30337";"21.01105";"26.47398";"68604.88055177";"2939.60232740";"230";"23.33815016"
"QNT";"2022-05-12";"326.84455";"285.13520999";"266.00004";"385";"6665.89217880";"20.03376797";"41";"332.73282334"
"RACA";"2022-05-12";"0.0025";"0.00266";"0.0021";"0.0032";"210006.98226725";"81082636.05882113";"1415";"0.00259003"
"RAD";"2022-05-12";"9.10863";"8.0029";"7.35081";"10.19";"3648.69778663";"395.10173654";"48";"9.23483105"
"RARE";"2022-05-12";"1.0327";"1.17987";"0.7755";"1.4999";"3989.23312081";"4348.94527122";"50";"0.91728749"
"RARI";"2022-05-12";"16.89499";"13.215";"10.6";"16.89499";"2711.70194015";"206.20578069";"25";"13.15046518"
"REN";"2022-05-12";"0.75776";"0.76749";"0.33";"0.78209";"364078.68321405";"536492.78117464";"423";"0.67862736"
"REQ";"2022-05-12";"0.56";"0.46573";"0.40695";"0.59229";"4180.75815015";"8331.77108894";"155";"0.50178504"
"RLY";"2022-05-12";"0.35041";"0.40999";"0.3503";"0.42";"2929.80071055";"7685.55672429";"71";"0.38120865"
"RNDR";"2022-05-12";"3.16005";"3.40011";"3.14";"5.94884";"1403.56488988";"390.33274012";"43";"3.59581645"
"SAND";"2022-05-12";"6.29681";"6.35169";"5.11";"8.78999999";"271949.66880992";"45943.60296466";"469";"5.9192064"
"SAUBERFT";"2022-05-12";"2.00254999";"1.89899";"1.82";"2.00254999";"1268.85380725";"656.17390751";"20";"1.93371573"
"SCCPFT";"2022-05-12";"1.37001";"1.35";"1.3";"1.68";"6601.08939879";"4494.48017570";"119";"1.46871031"
"SDAO";"2022-05-12";"3.771";"4.39968999";"3.15";"4.39989999";"67390.96071413";"18518.64221895";"346";"3.63908757"
"SKL";"2022-05-12";"0.39";"0.35001";"0.3005";"0.4731";"11087.50284814";"29420.64557973";"112";"0.3768613"
