"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-23";"754.47299";"750.10557";"735.78504";"770.5592";"78813.30514833";"104.42194667";"126";"754.75805289"
"ACMFT";"2022-03-23";"26.7501";"25.76869";"25.50303";"28.99959";"9869.90990685";"365.54213184";"36";"27.00074505"
"ADA";"2022-03-23";"4.82538999";"5.37988";"4.46";"5.4";"1404861.72331926";"274182.16033253";"2616";"5.12382615"
"ALCX";"2022-03-23";"511.12504";"483.97965";"480.75362";"512.99999";"8202.29365111";"16.60897090";"35";"493.84719261"
"ALGO";"2022-03-23";"4.04487";"4.01999999";"3.85719";"4.1066";"25685.92438094";"6378.12729511";"378";"4.02718904"
"ALICE";"2022-03-23";"32.69339";"33.69043";"32.69339";"34.49995";"14245.39972092";"424.21901392";"41";"33.58029521"
"ALLFT";"2022-03-23";"2.04279";"2.00599999";"2.00184";"2.12418";"2109.87445406";"1034.94268444";"22";"2.03863893"
"AMFT";"2022-03-23";"5.30999999";"5.57981";"5.13221";"5.79995";"5615.89236395";"1023.56620203";"37";"5.48659417"
"AMP";"2022-03-23";"0.13464";"0.12963";"0.1281";"0.13669";"41892.28778674";"320797.35249632";"261";"0.13058801"
"ANKR";"2022-03-23";"0.37214";"0.37499";"0.36382";"0.37619";"72612.15987466";"197294.76402899";"197";"0.36803896"
"ANT";"2022-03-23";"24.22001";"23.00184";"22.85";"25.28999";"55028.17500139";"2280.11475090";"119";"24.13394982"
"APE";"2022-03-23";"59.98952998";"67.68";"58.4";"70";"2112909.98419244";"32480.76967435";"4518";"65.05110578"
"ARGFT";"2022-03-23";"7.03";"6.83323";"6.53025";"7.03";"9294.47356251";"1364.88858270";"61";"6.80969397"
"ASRFT";"2022-03-23";"20.25";"19.98";"18.28066";"22.47987";"44494.20535305";"2346.21183877";"175";"18.9642745"
"ATMFT";"2022-03-23";"32.60605";"32.43535";"32.0001";"33.99987";"7052.80592788";"216.03591361";"53";"32.64645127"
"ATOM";"2022-03-23";"137.9676";"138.89206999";"133.33";"140.50993";"132309.03860217";"970.48494609";"315";"136.33291184"
"AUDIO";"2022-03-23";"5.3899";"5.1901";"4.99";"5.4106998";"40957.23864211";"7764.46883615";"179";"5.27495692"
"AVAX";"2022-03-23";"419.87";"419.29";"409.06";"431";"289898.47855510";"692.12102668";"834";"418.85518194"
"AXS";"2022-03-23";"256.00808001";"290.947";"250.60922001";"303.02999999";"770963.92160901";"2794.66255743";"698";"275.87012949"
"BAL";"2022-03-23";"58.84155";"61.5";"58.84154";"62.2615";"5339.79072950";"88.42101204";"30";"60.39051811"
"BAND";"2022-03-23";"18.87464";"19.77";"18.87464";"19.77321999";"6673.11233146";"345.14465513";"17";"19.33424792"
"BARFT";"2022-03-23";"42.99999";"40";"40";"42.99999";"17513.73698674";"434.82386404";"46";"40.27777322"
"BAT";"2022-03-23";"4.00506";"4.12";"3.99969";"4.13005";"17709.11393404";"4356.54247478";"54";"4.06494692"
"BCH";"2022-03-23";"1772.97999";"1737.53";"1732";"1823.04";"256738.97522943";"144.44396202";"645";"1777.42961103"
"BLZ";"2022-03-23";"0.76";"0.75312";"0.72006";"0.79749";"16169.39129760";"20987.14337516";"148";"0.77044269"
