"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-02-02";"862.71813";"801.044";"799.712";"870.076";"105592.25216641";"125.52828359";"156";"841.18295213"
"ACMFT";"2022-02-02";"22.3";"22.09999";"21.00005";"22.39";"4630.57952016";"214.97217518";"20";"21.54036687"
"ADA";"2022-02-02";"5.81";"5.49999999";"5.45";"5.82";"604263.18923153";"108289.48718781";"1279";"5.58007249"
"ALCX";"2022-02-02";"945.00008";"859.9999";"826.00004";"970";"58690.99152366";"65.51907314";"130";"895.78482586"
"ALGO";"2022-02-02";"5.28";"5.05";"4.97";"6";"204850.35781402";"38816.63874230";"577";"5.27738527"
"ALICE";"2022-02-02";"39.79";"36.13031999";"36.08897";"40";"26306.31881083";"693.23243867";"54";"37.94732811"
"ALLFT";"2022-02-02";"2.48";"2.5";"2.48";"2.65";"3450.94947249";"1344.21840007";"26";"2.56725356"
"AMFT";"2022-02-02";"5.62";"5.66995";"5.62";"5.67";"1453.85693819";"257.17697654";"16";"5.65313799"
"AMP";"2022-02-02";"0.16125";"0.1275";"0.1275";"0.16547999";"28570.24382505";"189327.85774638";"404";"0.15090353"
"ANKR";"2022-02-02";"0.41727";"0.391";"0.39";"0.42994";"108899.42041041";"267068.21519778";"237";"0.40775882"
"ARGFT";"2022-02-02";"9.85";"10.19999999";"9.85";"10.4998";"9140.21122190";"913.61892305";"32";"10.00440226"
"ASRFT";"2022-02-02";"16.74988";"16.6998";"16.14999999";"16.74988";"365.43406495";"22.20288781";"4";"16.45885292"
"ATMFT";"2022-02-02";"28.07";"28.48619";"26.75";"29.04284";"12853.09341109";"463.72632344";"40";"27.71698038"
"ATOM";"2022-02-02";"152.30019999";"143.67707999";"130";"154.65775";"200906.15573985";"1382.05930215";"526";"145.36724685"
"AUDIO";"2022-02-02";"5.29535";"4.9";"4.9";"5.78998";"74813.53058561";"14385.85633990";"211";"5.20049198"
"AVAX";"2022-02-02";"391.09085";"363.51529";"359.16073";"394.99979";"273628.47095690";"724.63978711";"620";"377.60619251"
"AXS";"2022-02-02";"281.98012999";"258.16318";"255.72228001";"285.086";"281934.52283414";"1049.23656304";"477";"268.70443974"
"BAL";"2022-02-02";"66.83259";"61.9275";"61.74585";"67.34399";"13610.47480579";"213.17555487";"27";"63.84632053"
"BAND";"2022-02-02";"18.72951";"17.8262";"17.8262";"18.72951";"3867.96271991";"212.94228225";"25";"18.16437148"
"BARFT";"2022-02-02";"34.39965999";"31.3772";"31.30005";"35.9";"11974.89136611";"354.17892121";"37";"33.8102881"
"BAT";"2022-02-02";"4.42211";"4.30588";"4.30096";"4.56874";"24588.38307622";"5499.62681723";"49";"4.47091846"
"BCH";"2022-02-02";"1539.86999";"1479.78998";"1467.15";"1584.03999";"195357.15948854";"128.45020819";"409";"1520.87849635"
"BNT";"2022-02-02";"13.96983";"14.4";"13.0775";"14.65";"3867.64802811";"272.69249424";"48";"14.18318475"
"BTC";"2022-02-02";"205269.87598";"196850.99";"195678.9";"205686.21";"9672459.49993255";"48.25562512";"6628";"200442.11376144"
"CAIFT";"2022-02-02";"3.49";"3.4";"3.29027";"4.5";"16708.78490053";"4693.51561892";"105";"3.55997215"
"CHZ";"2022-02-02";"0.99486";"0.96988999";"0.95502";"1.04";"1029587.21969128";"1048947.84392048";"1048";"0.98154281"
"CITYFT";"2022-02-02";"53.98979";"48.1049";"48.1049";"53.98979";"64287.19648791";"1279.17697819";"62";"50.25668659"
"COMP";"2022-02-02";"674.64797999";"633.135";"633.135";"684.00001";"6455.57117611";"9.65044278";"28";"668.94041271"
"CRV";"2022-02-02";"18.28";"16.48614999";"16.33146";"18.29";"181391.35038765";"10601.03417677";"191";"17.11072215"
"CTSI";"2022-02-02";"2.52";"2.44";"2.21119999";"2.52";"19363.01423366";"8131.37277825";"155";"2.38127248"
"CVX";"2022-02-02";"144.10001";"138.9";"138.9";"154.97999999";"65654.69104971";"448.47304942";"123";"146.39606802"
"DAI";"2022-02-02";"5.3";"5.31995";"5.3";"5.34623";"22462.83553618";"4224.00590782";"32";"5.3178987"
"DOGE";"2022-02-02";"0.76081";"0.73639426";"0.72094";"0.77845";"177649.71038911";"237297.89757430";"1014";"0.74863583"
"DOT";"2022-02-02";"108.1";"98.68288999";"98.01";"110";"171847.63356561";"1674.62458414";"580";"102.61860192"
"DYDX";"2022-02-02";"32.30046";"30.86";"30.61";"34.07148999";"22480.05436073";"688.78576188";"66";"32.63722278"
"ENJ";"2022-02-02";"9.77999999";"8.94602999";"8.79624001";"9.86941";"61858.27330975";"6666.96137140";"145";"9.27833084"
"ENS";"2022-02-02";"109.33";"103.98";"98";"109.33";"32056.23561352";"313.63072335";"129";"102.21012556"
"ETH";"2022-02-02";"14810.29999";"14330.49151999";"14000";"14940.09999";"3865359.09983640";"267.75017211";"3006";"14436.43927238"
"FET";"2022-02-02";"1.69106";"1.62995";"1.6";"1.76";"10329.55629839";"6250.00550671";"93";"1.65272755"
"FIL";"2022-02-02";"110.31552";"111.4999";"106.423";"113.54999";"28110.87968244";"255.38361664";"99";"110.07315211"
"GALA";"2022-02-02";"1.07999";"1.0099";"0.95003";"1.09874999";"321524.35405631";"316630.77299882";"773";"1.01545516"
"GALFT";"2022-02-02";"14.5";"14.16544";"14.16005";"14.98593";"5705.07361874";"390.37511697";"31";"14.61433726"
