"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-02-03";"803.85099";"819.67899";"783.924";"820.08998";"32860.46626272";"41.12352612";"108";"799.06733111"
"ACMFT";"2022-02-03";"21.05554";"22.34964";"21.05554";"22.38995";"5613.12340654";"255.73213666";"30";"21.94922969"
"ADA";"2022-02-03";"5.49999999";"5.62000001";"5.45";"6";"557334.01989230";"99475.56588594";"1104";"5.60272278"
"ALCX";"2022-02-03";"840";"878.25005984";"785.00004";"878.25005984";"25548.02228536";"30.74490805";"74";"830.96759449"
"ALGO";"2022-02-03";"5.05999999";"4.98";"4.78805";"5.28";"130426.34314003";"26121.36576658";"387";"4.99309049"
"ALICE";"2022-02-03";"36";"36.31";"34.7";"36.4272";"22347.06175058";"627.12165059";"49";"35.63433303"
"ALLFT";"2022-02-03";"2.5";"2.42004999";"2.42";"2.5";"716.78085022";"286.92805498";"13";"2.49812047"
"AMFT";"2022-02-03";"5.66995";"5.62995";"5.13105";"5.66995";"912.17602167";"169.57025622";"13";"5.37933976"
"AMP";"2022-02-03";"0.15206";"0.16";"0.1301";"0.16128";"25518.46282861";"163568.36540367";"202";"0.15601099"
"ANKR";"2022-02-03";"0.3932";"0.42121";"0.39";"0.435";"121165.96192967";"296553.93672350";"259";"0.40857984"
"ARGFT";"2022-02-03";"9.88";"9.81";"9.8";"10.19999999";"3684.77921425";"371.81863374";"14";"9.9101521"
"ASRFT";"2022-02-03";"16.48999999";"15.87845";"15.8784";"16.75";"2730.01957261";"167.29115677";"13";"16.31897122"
"ATMFT";"2022-02-03";"28.39136";"27.05662";"26.70324";"28.39859";"6087.41003665";"223.03901266";"26";"27.29302808"
"ATOM";"2022-02-03";"138.00933";"159.46995";"130.01";"159.47999999";"420577.10907421";"2828.77710640";"621";"148.67806591"
"AUDIO";"2022-02-03";"4.92";"4.96736";"4.71";"5.22975999";"73692.98688653";"15107.53411634";"113";"4.87789644"
"AVAX";"2022-02-03";"362.00227";"362.94221";"346.00072";"379.88";"142194.93478810";"395.69804031";"400";"359.35213294"
"AXS";"2022-02-03";"258.90398";"258.93505";"248";"260.15499999";"455835.00956905";"1802.38176691";"458";"252.90702443"
"BAL";"2022-02-03";"62.08165";"65.46993";"61.03655";"65.46993";"6210.75758534";"98.69220141";"20";"62.9305811"
"BAND";"2022-02-03";"17.7183";"17.994";"17.2621";"18.11355";"34382.82092371";"1950.09394971";"42";"17.63136639"
"BARFT";"2022-02-03";"34.99";"32.25005";"32.1";"35";"11341.31701878";"351.52001794";"23";"32.26364485"
"BAT";"2022-02-03";"4.33866999";"4.3973";"4.23163999";"4.40533";"21828.87323748";"5076.76544408";"39";"4.29976005"
"BCH";"2022-02-03";"1482.81999";"1485.56001";"1451.00001";"1505.96999";"103795.75489252";"70.61556302";"290";"1469.8708111"
"BNT";"2022-02-03";"13.1";"13.2";"13.1";"14.15";"1347.29143559";"100.04400810";"27";"13.46698779"
