"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-04";"656.02";"628.66";"625.20406";"672.60657";"76506.20291867";"118.21420314";"133";"647.18283325"
"ACMFT";"2022-03-04";"22.65501";"22.16492";"21.48916";"23.5";"4225.72881286";"186.69345618";"26";"22.63458451"
"ADA";"2022-03-04";"4.45";"4.27542";"4.2102";"4.557682";"446338.77098867";"101961.83575887";"993";"4.37750818"
"ALCX";"2022-03-04";"617.98999";"566.49794358";"416.67321";"624.79986";"18651.98538185";"34.10929337";"67";"546.83001431"
"ALGO";"2022-03-04";"4.01";"3.80251";"3.80005";"4.19998999";"64232.10431302";"16368.73640405";"321";"3.92407225"
"ALICE";"2022-03-04";"37.58988999";"33.3179";"33.22065";"37.58988999";"10927.14598284";"310.30961731";"44";"35.21368779"
"ALLFT";"2022-03-04";"2.1692";"2.08672";"1.99874";"2.32994";"2451.11628270";"1130.42880806";"14";"2.16830663"
"AMFT";"2022-03-04";"5.89894";"5.27838";"5.2001";"5.92";"6539.95522951";"1228.24373715";"31";"5.32463959"
"AMP";"2022-03-04";"0.13793";"0.14107";"0.13371";"0.14149999";"16955.60734882";"123242.78959681";"120";"0.13757889"
"ANKR";"2022-03-04";"0.35071";"0.32679999";"0.32061";"0.37";"74371.56678191";"218541.32762456";"241";"0.34030893"
"ARGFT";"2022-03-04";"8.61999";"8.57999";"8.25677";"8.99982";"10652.24060725";"1272.90827128";"20";"8.36842751"
"ASRFT";"2022-03-04";"15.3899";"14.20853";"13.93916";"16.05";"16631.81938098";"1074.57791347";"42";"15.47753696"
"ATMFT";"2022-03-04";"26.17509";"27.1";"25.65";"29.89861";"31128.16668123";"1104.35193816";"68";"28.18681763"
"ATOM";"2022-03-04";"171.14218";"153.41942";"150.02534";"174";"304895.68295890";"1866.77589435";"873";"163.32741593"
"AUDIO";"2022-03-04";"3.91819";"3.52164";"3.12008";"4.08816";"18795.10406487";"5278.18139851";"80";"3.56090529"
"AVAX";"2022-03-04";"397.92951";"381.15056";"376";"429";"413999.25590072";"1033.91281471";"1480";"400.41989035"
"AXS";"2022-03-04";"257.58836";"254.695";"250.5";"269.97689";"133965.92464873";"516.01277011";"319";"259.61745989"
"BAL";"2022-03-04";"60.71994";"57.33175";"57.33175";"61.77865";"6614.42171453";"109.37144866";"26";"60.47667646"
"BAND";"2022-03-04";"19.65317";"18.40617";"18.40009999";"20.2906";"35140.35898578";"1789.06882883";"65";"19.64170322"
"BARFT";"2022-03-04";"39.89999";"41.00005";"38.40005";"49.25995";"114550.67990083";"2565.32484325";"165";"44.65347934"
"BAT";"2022-03-04";"3.44";"3.31987";"3.29259";"3.51";"13166.94199336";"3819.18816243";"52";"3.44757614"
"BCH";"2022-03-04";"1547.6975";"1463.28259";"1460.00051";"1570.03724";"115965.61626266";"76.31180379";"303";"1519.62881891"
"BLZ";"2022-03-04";"0.77969";"0.73993";"0.71";"0.8199";"46554.06717597";"61985.38098669";"256";"0.75104914"
"BNT";"2022-03-04";"12.53077";"11.14005";"11.14";"12.65679";"7146.24079157";"610.65488648";"30";"11.70258512"
"BTC";"2022-03-04";"209974.5";"199369.98889";"198000";"212890.155";"12765861.83502786";"62.23231427";"7922";"205132.36547241"
"CAIFT";"2022-03-04";"3.06912";"2.92063";"2.61095";"3.13995";"6313.13000461";"2126.49473562";"24";"2.96879644"
"CHZ";"2022-03-04";"0.985";"0.97272";"0.9101";"1.04425997";"1420353.18281341";"1422662.53845942";"1451";"0.99837673"
"CITYFT";"2022-03-04";"50.898";"53.5";"48.94551";"58";"108443.37985541";"2029.82096615";"105";"53.42509593"
"COMP";"2022-03-04";"625";"543.51904";"543.51904";"625";"18828.90152477";"32.99260128";"47";"570.70072665"
"CRV";"2022-03-04";"11.85286";"11.28387";"11.214";"12.7";"66368.20964935";"5577.73876954";"161";"11.89876621"
"CSCONS01";"2022-03-04";"100";"100";"100";"100";"17868.81499900";"178.68814999";"11";"100"
"CTSI";"2022-03-04";"1.95999";"1.77204";"1.7401";"2.02115";"10696.12879371";"5825.73169743";"66";"1.83601465"
"CVX";"2022-03-04";"98.82";"87.99937";"76.00005";"98.82191";"343660.95763733";"3969.01027157";"522";"86.58605902"
"DAI";"2022-03-04";"5.11";"5.10798";"5.03639";"5.13413";"9167.49991295";"1807.93494053";"39";"5.07070232"
"DOGE";"2022-03-04";"0.64083999";"0.62700999";"0.61610001";"0.65797";"147585.11985731";"233029.79313365";"720";"0.63333154"
"DOT";"2022-03-04";"87.20289";"84.14995";"80.209765";"94.4775";"176284.66540116";"2019.65538540";"689";"87.28452719"
"DYDX";"2022-03-04";"27.00051";"27.96999";"24.05014";"28.99";"23079.62859556";"882.86854223";"86";"26.14163659"
"ENJ";"2022-03-04";"7.16999";"6.92811";"6.81005";"7.41795";"74168.80035362";"10489.46398073";"169";"7.07079031"
"ENS";"2022-03-04";"70.01000999";"76.04";"70.01000999";"89.99995";"64774.46335694";"789.00053026";"262";"82.09685655"
"ETH";"2022-03-04";"13886.55017";"13376.88987999";"13200";"14080.7699";"4780333.94890206";"349.99514058";"4134";"13658.28662929"
"FET";"2022-03-04";"1.64011";"1.51461";"1.51212";"1.83995";"30889.69764573";"18470.37969623";"100";"1.67239104"
"FIL";"2022-03-04";"103.98999";"100.99994";"93.10355";"103.98999";"7806.93389060";"78.93514938";"83";"98.90313696"
"GALA";"2022-03-04";"1.22429994";"1.11125";"1.1";"1.2492";"309740.20043365";"264555.95970793";"715";"1.17079275"
"GALFT";"2022-03-04";"14";"15.03577";"13.5001";"17";"44486.52276432";"2824.20102305";"53";"15.75189669"
"GALOFT";"2022-03-04";"3.08";"3.10015";"3.00005";"3.39975";"7736.03082948";"2346.81375858";"64";"3.29639742"
"GNO";"2022-03-04";"1570.00001";"1739.87135";"1485.00007";"1849.79999";"17569.61962453";"10.81388103";"79";"1624.72840008"
"GODS";"2022-03-04";"6.02";"6.44999";"5.57467";"6.59273";"30143.73670338";"4856.10787091";"46";"6.20738614"
"GRT";"2022-03-04";"1.8";"1.70602";"1";"1.83994";"232784.61594877";"134693.72797395";"271";"1.72825134"
"ICP";"2022-03-04";"94.09129";"91.2496";"85.00005";"105.5";"117898.39019450";"1263.29844494";"330";"93.3258413"
"IMX";"2022-03-04";"7.24001";"6.95";"6.6502";"7.94979";"35324.50780816";"5036.85982995";"91";"7.01320048"
"INTERFT";"2022-03-04";"30";"29.30019";"26.01";"31.999";"3843.24408423";"130.64052464";"21";"29.41846792"
"JUVFT";"2022-03-04";"31.5";"31.1685";"30.01005";"34";"18920.01587176";"587.52211920";"46";"32.20306989"
"KNC";"2022-03-04";"14.82749";"12.2703";"12.23384";"14.82749";"5963.78905006";"449.35039353";"42";"13.27202365"
"KP3R";"2022-03-04";"3299.85156";"2949.82886";"2700";"3299.85156";"17838.37692435";"6.13172487";"71";"2909.1939548"
"LINK";"2022-03-04";"72.39297999";"69.88968";"69";"75.7397";"142896.66967724";"1995.30534706";"314";"71.616442"
"LPT";"2022-03-04";"120.03792";"113.05955";"111.10005";"133.95553";"18133.21417722";"147.68810461";"52";"122.78046512"
