"Cripto";"date";"opening";"closing";"lowest";"highest";"volume";"quantity";"amount";"avg_price"
"AAVE";"2022-03-11";"584.23688";"610.71";"584.17684999";"611.06601";"36422.49422620";"61.06009116";"96";"596.50245412"
"ACMFT";"2022-03-11";"20.36183";"21.1596";"20.36183";"23";"8444.41875392";"380.49333010";"41";"22.19334239"
"ADA";"2022-03-11";"3.996";"4.097899";"3.99";"4.17";"197671.05823905";"48660.68053043";"698";"4.06223374"
"ALCX";"2022-03-11";"558.03988";"522.98999";"470.77805";"558.03988";"4857.55897556";"9.58757126";"47";"506.65166848"
"ALGO";"2022-03-11";"3.5601";"3.68497";"3.56001";"3.7291";"25282.18832213";"6992.43531044";"234";"3.61564851"
"ALICE";"2022-03-11";"30.42994";"29.86664";"29.19005";"32.06966";"8044.19280093";"267.35266573";"40";"30.0883209"
"ALLFT";"2022-03-11";"2.05684999";"2.06542";"2.03005";"2.12751";"9164.26013661";"4464.72964739";"19";"2.05259015"
"AMFT";"2022-03-11";"5";"5.30497";"5";"5.49999";"469.32539632";"87.17727767";"9";"5.38357481"
"AMP";"2022-03-11";"0.1318";"0.12994";"0.121";"0.13289";"26982.40093698";"212127.82497446";"157";"0.12719878"
"ANKR";"2022-03-11";"0.3668";"0.36403";"0.36151";"0.37647";"44988.89057113";"122382.47627785";"141";"0.36760892"
"ARGFT";"2022-03-11";"8.6";"7.90091";"7.80007";"8.6";"898.97401631";"113.01984157";"10";"7.95412561"
"ASRFT";"2022-03-11";"13.89982";"14.48";"12.3";"19.8";"47627.92744879";"3265.86017129";"136";"14.58357827"
"ATMFT";"2022-03-11";"25.90005";"27.01005";"25.9";"28.5";"6095.05956447";"223.01040397";"25";"27.33083056"
"ATOM";"2022-03-11";"139.26453";"142.01505";"135.61005";"156";"253566.86296511";"1723.15230087";"256";"147.15290275"
"AUDIO";"2022-03-11";"3.58005";"3.55522";"3.44121001";"3.74805999";"29554.86829235";"8045.41467302";"46";"3.67350466"
"AVAX";"2022-03-11";"393.57976";"374.94";"355.00321";"395";"234504.70351879";"625.85464837";"712";"374.69515346"
"AXS";"2022-03-11";"228.72828";"242.1";"226.17245";"246.94585";"245336.97611486";"1045.35988135";"266";"234.69140196"
